,date,iso_code,total_cases_per_million,people_vaccinated_per_hundred,median_age,icu_patients_per_million,total_deaths_per_million
7939,2021-01-02,AUT,40285.204,0.06,44.4,42.574,693.9010000000001
7940,2021-01-03,AUT,40447.317,0.06,44.4,40.141,699.32
7941,2021-01-04,AUT,40628.892,0.06,44.4,40.694,702.9689999999999
7942,2021-01-05,AUT,40884.447,0.08,44.4,41.026,714.0269999999999
7943,2021-01-06,AUT,41157.474,0.09,44.4,39.92,721.547
7944,2021-01-07,AUT,41438.352,0.12,44.4,41.247,726.302
7945,2021-01-08,AUT,41666.482,0.27,44.4,41.026,734.3739999999999
7946,2021-01-09,AUT,41918.388,0.32,44.4,40.805,739.461
7947,2021-01-10,AUT,42100.959,0.35,44.4,41.136,743.442
7948,2021-01-11,AUT,42270.812000000005,0.41,44.4,41.911,746.096
7949,2021-01-12,AUT,42444.97900000001,0.58,44.4,41.8,754.058
7950,2021-01-13,AUT,42656.96400000001,0.75,44.4,39.146,759.4760000000001
7951,2021-01-14,AUT,43045.107,0.94,44.4,39.92,765.337
7952,2021-01-15,AUT,43214.075999999994,1.15,44.4,37.266,772.6360000000001
7953,2021-01-16,AUT,43404.609000000004,1.22,44.4,37.819,779.934
7954,2021-01-17,AUT,43544.71599999999,1.28,44.4,36.271,783.1410000000001
7955,2021-01-18,AUT,43673.100999999995,1.4,44.4,36.934,787.564
7956,2021-01-19,AUT,43837.426,1.68,44.4,36.713,796.079
7957,2021-01-20,AUT,44022.208,1.92,44.4,35.718,800.2810000000001
7958,2021-01-21,AUT,44210.419,2.14,44.4,37.598,805.921
7959,2021-01-22,AUT,44441.314000000006,2.26,44.4,36.603,810.565
7960,2021-01-23,AUT,44621.12,2.3,44.4,35.718,817.09
7961,2021-01-24,AUT,44754.039000000004,2.31,44.4,35.718,820.296
7962,2021-01-25,AUT,44865.615999999995,2.33,44.4,35.497,823.946
7963,2021-01-26,AUT,45022.310999999994,2.42,44.4,34.611999999999995,831.023
7964,2021-01-27,AUT,45203.776,2.5,44.4,33.617,836.441
7965,2021-01-28,AUT,45364.009000000005,2.58,44.4,33.617,841.196
7966,2021-01-29,AUT,45529.882000000005,2.64,44.4,32.622,846.836
7967,2021-01-30,AUT,45693.322,2.66,44.4,32.843,851.812
7968,2021-01-31,AUT,45824.914000000004,2.66,44.4,32.843,853.803
7969,2021-02-01,AUT,45949.208,2.68,44.4,32.510999999999996,860.1060000000001
7970,2021-02-02,AUT,46086.441,2.71,44.4,33.175,867.7360000000001
7971,2021-02-03,AUT,46254.525,2.75,44.4,33.506,873.818
7972,2021-02-04,AUT,46422.388,2.78,44.4,32.953,877.578
7973,2021-02-05,AUT,46575.876,2.83,44.4,33.175,881.669
7974,2021-02-06,AUT,46723.282,2.86,44.4,33.175,883.992
7975,2021-02-07,AUT,46868.918,2.86,44.4,31.516,885.982
7976,2021-02-08,AUT,46985.803,2.89,44.4,31.074,888.194
7977,2021-02-09,AUT,47118.17,2.92,44.4,30.851999999999997,892.5060000000001
7978,2021-02-10,AUT,47280.614,2.96,44.4,29.304000000000002,897.2610000000001
7979,2021-02-11,AUT,47455.002,3.02,44.4,29.304000000000002,899.915
