Row Labels,Count of iso_code
NOR,346
USA,339
CAN,337
LVA,336
DNK,334
ISR,332
CHE,328
CHL,325
FRA,324
AUT,324
CZE,324
BEL,323
IRL,322
SVN,321
ITA,321
EST,318
BHR,316
DEU,314
LTU,314
SVK,310
GBR,307
GRC,297
IND,294
MLT,292
ARG,290
MEX,284
LUX,281
ECU,279
TUR,275
KHM,271
PER,270
ROU,268
NZL,264
KOR,263
AUS,263
POL,262
IDN,259
UKR,259
PRT,256
URY,252
MYS,251
BRB,249
FIN,247
LKA,241
BRA,239
GTM,236
ZWE,234
HRV,229
HUN,229
RUS,226
LBN,221
PAN,218
VNM,218
ESP,217
JPN,216
DOM,216
BGR,215
THA,211
AZE,209
MNG,206
TUN,199
TTO,197
PRY,194
KAZ,190
BGD,184
SUR,182
COL,181
ZAF,177
MAR,174
ETH,160
BOL,156
MWI,156
KEN,155
ALB,151
JOR,150
NPL,144
GEO,142
BRN,132
QAT,126
SLV,125
CYP,124
SGP,121
SAU,121
GIN,118
MDA,117
KGZ,111
ISL,109
ARE,107
BLZ,105
PAK,101
PHL,97
ZMB,93
BTN,88
LAO,83
OMN,76
JAM,73
UZB,73
SYC,71
UGA,66
GUY,65
SWE,50
BWA,47
CRI,47
EGY,47
IRN,46
NLD,43
CMR,42
HTI,40
HND,40
GAB,39
TJK,39
SWZ,39
CPV,34
LBY,31
BHS,30
FJI,30
GMB,28
TLS,28
MUS,27
MLI,27
BLR,26
MOZ,25
AFG,24
GHA,23
IRQ,22
SDN,21
TGO,20
BIH,19
VEN,18
LBR,17
NER,17
MMR,17
NIC,17
SLB,17
MDG,15
YEM,13
DJI,13
BEN,13
TON,12
BFA,11
CAF,10
DZA,10
KIR,8
BDI,7
KWT,5
TZA,5
CHN,4
TKM,2
Grand Total,22881
