Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements
Albania,ALB,1/1/20,0,0,0,0,0
Albania,ALB,2/1/20,0,0,0,0,0
Albania,ALB,3/1/20,0,0,0,0,0
Albania,ALB,4/1/20,0,0,0,0,0
Albania,ALB,5/1/20,0,0,0,0,0
Albania,ALB,6/1/20,0,0,0,0,0
Albania,ALB,7/1/20,0,0,0,0,0
Albania,ALB,8/1/20,0,0,0,0,0
Albania,ALB,9/1/20,0,0,0,0,0
Albania,ALB,10/1/20,0,0,0,0,0
Albania,ALB,11/1/20,0,0,0,0,0
Albania,ALB,12/1/20,0,0,0,0,0
Albania,ALB,13/1/20,0,0,0,0,0
Albania,ALB,14/1/20,0,0,0,0,0
Albania,ALB,15/1/20,0,0,0,0,0
Albania,ALB,16/1/20,0,0,0,0,0
Albania,ALB,17/1/20,0,0,0,0,0
Albania,ALB,18/1/20,0,0,0,0,0
Albania,ALB,19/1/20,0,0,0,0,0
Albania,ALB,20/1/20,0,0,0,0,0
Albania,ALB,21/1/20,0,0,0,0,0
Albania,ALB,22/1/20,0,0,0,0,0
Albania,ALB,23/1/20,0,0,0,0,0
Albania,ALB,24/1/20,0,0,0,0,0
Albania,ALB,25/1/20,0,0,0,0,0
Albania,ALB,26/1/20,0,0,0,0,0
Albania,ALB,27/1/20,0,0,0,0,0
Albania,ALB,28/1/20,0,0,0,0,0
Albania,ALB,29/1/20,0,0,0,0,0
Albania,ALB,30/1/20,0,0,0,0,0
Albania,ALB,31/1/20,0,0,0,0,0
Albania,ALB,1/2/20,0,0,0,0,0
Albania,ALB,2/2/20,0,0,0,0,0
Albania,ALB,3/2/20,0,0,0,0,0
Albania,ALB,4/2/20,0,0,0,0,0
Albania,ALB,5/2/20,0,0,0,0,0
Albania,ALB,6/2/20,0,0,0,0,0
Albania,ALB,7/2/20,0,0,0,0,0
Albania,ALB,8/2/20,0,0,0,0,0
Albania,ALB,9/2/20,0,0,0,0,0
Albania,ALB,10/2/20,0,0,0,0,0
Albania,ALB,11/2/20,0,0,0,0,0
Albania,ALB,12/2/20,0,0,0,0,0
Albania,ALB,13/2/20,0,0,0,0,0
Albania,ALB,14/2/20,0,0,0,0,0
Albania,ALB,15/2/20,0,0,0,0,0
Albania,ALB,16/2/20,0,0,0,0,0
Albania,ALB,17/2/20,0,0,0,0,0
Albania,ALB,18/2/20,0,0,0,0,0
Albania,ALB,19/2/20,0,0,0,0,0
Albania,ALB,20/2/20,0,0,0,0,0
Albania,ALB,21/2/20,0,0,0,0,0
Albania,ALB,22/2/20,0,0,0,0,0
Albania,ALB,23/2/20,0,0,0,0,0
Albania,ALB,24/2/20,0,0,0,0,0
Albania,ALB,25/2/20,0,0,1,0,0
Albania,ALB,26/2/20,0,0,1,0,0
Albania,ALB,27/2/20,0,0,1,0,0
Albania,ALB,28/2/20,0,0,1,0,0
Albania,ALB,29/2/20,0,0,1,0,0
Albania,ALB,1/3/20,0,0,1,0,0
Albania,ALB,2/3/20,0,0,1,0,0
Albania,ALB,3/3/20,0,0,1,0,0
Albania,ALB,4/3/20,0,0,1,0,0
Albania,ALB,5/3/20,0,0,1,0,0
Albania,ALB,6/3/20,0,0,1,0,0
Albania,ALB,7/3/20,0,0,1,0,0
Albania,ALB,8/3/20,1,0,1,0,0
Albania,ALB,9/3/20,1,0,1,2,0
Albania,ALB,10/3/20,1,0,1,2,0
Albania,ALB,11/3/20,1,0,1,2,0
Albania,ALB,12/3/20,1,0,1,2,0
Albania,ALB,13/3/20,1,0,1,2,2
Albania,ALB,14/3/20,1,0,1,2,2
Albania,ALB,15/3/20,1,0,1,2,2
Albania,ALB,16/3/20,1,0,1,2,2
Albania,ALB,17/3/20,1,0,1,2,2
Albania,ALB,18/3/20,1,0,1,2,2
Albania,ALB,19/3/20,1,0,1,2,2
Albania,ALB,20/3/20,1,0,1,2,2
Albania,ALB,21/3/20,1,0,1,2,2
Albania,ALB,22/3/20,1,0,1,2,2
Albania,ALB,23/3/20,1,0,1,2,2
Albania,ALB,24/3/20,1,0,1,2,2
Albania,ALB,25/3/20,1,0,1,2,2
Albania,ALB,26/3/20,1,0,1,2,2
Albania,ALB,27/3/20,1,0,1,2,2
Albania,ALB,28/3/20,1,0,1,2,2
Albania,ALB,29/3/20,1,0,1,2,2
Albania,ALB,30/3/20,1,0,1,2,2
Albania,ALB,31/3/20,1,0,1,2,2
Albania,ALB,1/4/20,1,0,1,2,2
