,Entity,Code,Day,vaccination_policy,testing_policy,facial_coverings,restriction_gatherings,stay_home_requirements
624,Afghanistan,AFG,2021-09-16,1.0,1.0,3.0,,
624,Afghanistan,AFG,2021-09-16,1.0,1.0,3.0,,
2991,Angola,AGO,2020-10-21,0.0,3.0,,4.0,1.0
3558,Argentina,ARG,2020-07-02,0.0,,3.0,4.0,2.0
4278,Aruba,ABW,2020-08-27,0.0,1.0,,4.0,1.0
7758,Bahrain,BHR,2021-01-05,5.0,3.0,,4.0,1.0
7759,Bahrain,BHR,2021-01-06,5.0,3.0,,4.0,1.0
7760,Bahrain,BHR,2021-01-07,5.0,3.0,,4.0,1.0
7761,Bahrain,BHR,2021-01-08,5.0,3.0,,4.0,1.0
7762,Bahrain,BHR,2021-01-09,5.0,3.0,,4.0,1.0
7763,Bahrain,BHR,2021-01-10,5.0,3.0,,4.0,1.0
7764,Bahrain,BHR,2021-01-11,5.0,3.0,,4.0,1.0
7765,Bahrain,BHR,2021-01-12,5.0,3.0,,4.0,1.0
7766,Bahrain,BHR,2021-01-13,5.0,3.0,,4.0,1.0
7767,Bahrain,BHR,2021-01-14,5.0,3.0,,4.0,1.0
7768,Bahrain,BHR,2021-01-15,5.0,3.0,,4.0,1.0
7769,Bahrain,BHR,2021-01-16,5.0,3.0,,4.0,1.0
7770,Bahrain,BHR,2021-01-17,5.0,3.0,,4.0,1.0
7771,Bahrain,BHR,2021-01-18,5.0,3.0,,4.0,1.0
13936,Bolivia,BOL,2021-05-02,2.0,1.0,4.0,0.0,
13937,Bolivia,BOL,2021-05-03,2.0,1.0,4.0,0.0,
13938,Bolivia,BOL,2021-05-04,2.0,1.0,4.0,0.0,
13939,Bolivia,BOL,2021-05-05,2.0,1.0,4.0,0.0,
13940,Bolivia,BOL,2021-05-06,2.0,1.0,4.0,0.0,
13941,Bolivia,BOL,2021-05-07,2.0,1.0,4.0,0.0,
13942,Bolivia,BOL,2021-05-08,2.0,1.0,4.0,0.0,
13943,Bolivia,BOL,2021-05-09,2.0,1.0,4.0,0.0,
13944,Bolivia,BOL,2021-05-10,2.0,1.0,4.0,0.0,
17953,Burkina Faso,BFA,2021-04-26,0.0,3.0,,0.0,2.0
17954,Burkina Faso,BFA,2021-04-27,0.0,3.0,,0.0,2.0
17955,Burkina Faso,BFA,2021-04-28,0.0,3.0,,0.0,2.0
17956,Burkina Faso,BFA,2021-04-29,0.0,3.0,,0.0,2.0
17957,Burkina Faso,BFA,2021-04-30,0.0,3.0,,0.0,2.0
17958,Burkina Faso,BFA,2021-05-01,0.0,3.0,,0.0,2.0
17959,Burkina Faso,BFA,2021-05-02,0.0,3.0,,0.0,2.0
17960,Burkina Faso,BFA,2021-05-03,0.0,3.0,,0.0,2.0
17961,Burkina Faso,BFA,2021-05-04,0.0,3.0,,0.0,2.0
17962,Burkina Faso,BFA,2021-05-05,0.0,3.0,,0.0,2.0
17963,Burkina Faso,BFA,2021-05-06,0.0,3.0,,0.0,2.0
17964,Burkina Faso,BFA,2021-05-07,0.0,3.0,,0.0,2.0
17965,Burkina Faso,BFA,2021-05-08,0.0,3.0,,0.0,2.0
