,Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements,total_cases_per_million
0,Albania,ALB,1/1/2020,0,0,0,0,0,0.696
1,Albania,ALB,2/1/2020,0,0,0,0,0,0.696
2,Albania,ALB,3/1/2020,0,0,0,0,0,0.696
3,Albania,ALB,4/1/2020,0,0,0,0,0,0.696
4,Albania,ALB,5/1/2020,0,0,0,0,0,0.696
5,Albania,ALB,6/1/2020,0,0,0,0,0,0.696
6,Albania,ALB,7/1/2020,0,0,0,0,0,0.696
7,Albania,ALB,8/1/2020,0,0,0,0,0,0.696
8,Albania,ALB,9/1/2020,0,0,0,0,0,0.696
9,Albania,ALB,10/1/2020,0,0,0,0,0,0.696
10,Albania,ALB,11/1/2020,0,0,0,0,0,0.696
11,Albania,ALB,12/1/2020,0,0,0,0,0,0.696
12,Albania,ALB,13/1/2020,0,0,0,0,0,0.696
13,Albania,ALB,14/1/2020,0,0,0,0,0,0.696
14,Albania,ALB,15/1/2020,0,0,0,0,0,0.696
15,Albania,ALB,16/1/2020,0,0,0,0,0,0.696
16,Albania,ALB,17/1/2020,0,0,0,0,0,0.696
17,Albania,ALB,18/1/2020,0,0,0,0,0,0.696
18,Albania,ALB,19/1/2020,0,0,0,0,0,0.696
19,Albania,ALB,20/1/2020,0,0,0,0,0,0.696
20,Albania,ALB,21/1/2020,0,0,0,0,0,0.696
21,Albania,ALB,22/1/2020,0,0,0,0,0,0.696
22,Albania,ALB,23/1/2020,0,0,0,0,0,0.696
23,Albania,ALB,24/1/2020,0,0,0,0,0,0.696
24,Albania,ALB,25/1/2020,0,0,0,0,0,0.696
25,Albania,ALB,26/1/2020,0,0,0,0,0,0.696
26,Albania,ALB,27/1/2020,0,0,0,0,0,0.696
27,Albania,ALB,28/1/2020,0,0,0,0,0,0.696
28,Albania,ALB,29/1/2020,0,0,0,0,0,0.696
29,Albania,ALB,30/1/2020,0,0,0,0,0,0.696
30,Albania,ALB,31/1/2020,0,0,0,0,0,0.696
31,Albania,ALB,1/2/2020,0,0,0,0,0,0.696
32,Albania,ALB,2/2/2020,0,0,0,0,0,0.696
33,Albania,ALB,3/2/2020,0,0,0,0,0,0.696
34,Albania,ALB,4/2/2020,0,0,0,0,0,0.696
35,Albania,ALB,5/2/2020,0,0,0,0,0,0.696
36,Albania,ALB,6/2/2020,0,0,0,0,0,0.696
37,Albania,ALB,7/2/2020,0,0,0,0,0,0.696
38,Albania,ALB,8/2/2020,0,0,0,0,0,0.696
39,Albania,ALB,9/2/2020,0,0,0,0,0,0.696
40,Albania,ALB,10/2/2020,0,0,0,0,0,0.696
41,Albania,ALB,11/2/2020,0,0,0,0,0,0.696
42,Albania,ALB,12/2/2020,0,0,0,0,0,0.696
43,Albania,ALB,13/2/2020,0,0,0,0,0,0.696
44,Albania,ALB,14/2/2020,0,0,0,0,0,0.696
45,Albania,ALB,15/2/2020,0,0,0,0,0,0.696
46,Albania,ALB,16/2/2020,0,0,0,0,0,0.696
47,Albania,ALB,17/2/2020,0,0,0,0,0,0.696
48,Albania,ALB,18/2/2020,0,0,0,0,0,0.696
49,Albania,ALB,19/2/2020,0,0,0,0,0,0.696
50,Albania,ALB,20/2/2020,0,0,0,0,0,0.696
51,Albania,ALB,21/2/2020,0,0,0,0,0,0.696
52,Albania,ALB,22/2/2020,0,0,0,0,0,0.696
53,Albania,ALB,23/2/2020,0,0,0,0,0,0.696
54,Albania,ALB,24/2/2020,0,0,0,0,0,0.696
55,Albania,ALB,25/2/2020,0,0,1,0,0,0.696
56,Albania,ALB,26/2/2020,0,0,1,0,0,0.696
57,Albania,ALB,27/2/2020,0,0,1,0,0,0.696
58,Albania,ALB,28/2/2020,0,0,1,0,0,0.696
59,Albania,ALB,29/2/2020,0,0,1,0,0,0.696
60,Albania,ALB,1/3/2020,0,0,1,0,0,0.696
61,Albania,ALB,2/3/2020,0,0,1,0,0,0.696
62,Albania,ALB,3/3/2020,0,0,1,0,0,0.696
63,Albania,ALB,4/3/2020,0,0,1,0,0,0.696
64,Albania,ALB,5/3/2020,0,0,1,0,0,0.696
65,Albania,ALB,6/3/2020,0,0,1,0,0,0.696
66,Albania,ALB,7/3/2020,0,0,1,0,0,0.696
67,Albania,ALB,8/3/2020,1,0,1,0,0,0.696
68,Albania,ALB,9/3/2020,1,0,1,2,0,0.696
69,Albania,ALB,10/3/2020,1,0,1,2,0,0.696
70,Albania,ALB,11/3/2020,1,0,1,2,0,0.696
71,Albania,ALB,12/3/2020,1,0,1,2,0,0.696
72,Albania,ALB,13/3/2020,1,0,1,2,2,0.696
73,Albania,ALB,14/3/2020,1,0,1,2,2,0.696
74,Albania,ALB,15/3/2020,1,0,1,2,2,0.696
75,Albania,ALB,16/3/2020,1,0,1,2,2,0.696
76,Albania,ALB,17/3/2020,1,0,1,2,2,0.696
77,Albania,ALB,18/3/2020,1,0,1,2,2,0.696
78,Albania,ALB,19/3/2020,1,0,1,2,2,0.696
79,Albania,ALB,20/3/2020,1,0,1,2,2,0.696
80,Albania,ALB,21/3/2020,1,0,1,2,2,0.696
81,Albania,ALB,22/3/2020,1,0,1,2,2,0.696
82,Albania,ALB,23/3/2020,1,0,1,2,2,0.696
83,Albania,ALB,24/3/2020,1,0,1,2,2,0.696
84,Albania,ALB,25/3/2020,1,0,1,2,2,0.696
85,Albania,ALB,26/3/2020,1,0,1,2,2,0.696
86,Albania,ALB,27/3/2020,1,0,1,2,2,0.696
87,Albania,ALB,28/3/2020,1,0,1,2,2,0.696
88,Albania,ALB,29/3/2020,1,0,1,2,2,0.696
89,Albania,ALB,30/3/2020,1,0,1,2,2,0.696
90,Albania,ALB,31/3/2020,1,0,1,2,2,0.696
91,Albania,ALB,1/4/2020,1,0,1,2,2,0.696
92,Albania,ALB,2/4/2020,1,0,1,2,2,0.696
93,Albania,ALB,3/4/2020,1,0,1,2,2,0.696
94,Albania,ALB,4/4/2020,1,0,1,2,2,0.696
95,Albania,ALB,5/4/2020,1,0,1,2,2,0.696
96,Albania,ALB,6/4/2020,1,0,1,2,2,0.696
97,Albania,ALB,7/4/2020,1,0,1,2,2,0.696
98,Albania,ALB,8/4/2020,1,0,1,2,2,0.696
99,Albania,ALB,9/4/2020,1,0,1,2,2,0.696
100,Albania,ALB,10/4/2020,1,0,1,2,2,0.696
101,Albania,ALB,11/4/2020,1,0,1,2,2,0.696
102,Albania,ALB,12/4/2020,1,0,1,2,2,0.696
103,Albania,ALB,13/4/2020,1,0,1,2,2,0.696
104,Albania,ALB,14/4/2020,1,0,1,2,2,0.696
105,Albania,ALB,15/4/2020,1,0,1,2,2,0.696
106,Albania,ALB,16/4/2020,1,0,1,2,2,0.696
107,Albania,ALB,17/4/2020,1,0,1,2,2,0.696
108,Albania,ALB,18/4/2020,1,0,1,4,2,0.696
109,Albania,ALB,19/4/2020,1,0,1,4,2,0.696
110,Albania,ALB,20/4/2020,1,0,1,4,2,0.696
111,Albania,ALB,21/4/2020,2,0,1,4,2,0.696
112,Albania,ALB,22/4/2020,2,0,1,4,2,0.696
113,Albania,ALB,23/4/2020,2,0,1,4,2,0.696
114,Albania,ALB,24/4/2020,2,0,1,4,2,0.696
115,Albania,ALB,25/4/2020,2,0,1,4,2,0.696
116,Albania,ALB,26/4/2020,2,0,1,4,2,0.696
117,Albania,ALB,27/4/2020,2,0,1,4,2,0.696
118,Albania,ALB,28/4/2020,2,0,1,4,2,0.696
119,Albania,ALB,29/4/2020,2,0,1,4,2,0.696
120,Albania,ALB,30/4/2020,2,0,1,4,2,0.696
121,Albania,ALB,1/5/2020,2,0,1,4,2,0.696
122,Albania,ALB,2/5/2020,2,0,1,4,2,0.696
123,Albania,ALB,3/5/2020,2,0,1,4,2,0.696
124,Albania,ALB,4/5/2020,2,0,1,4,2,0.696
125,Albania,ALB,5/5/2020,2,0,1,4,2,0.696
126,Albania,ALB,6/5/2020,2,0,1,4,2,0.696
127,Albania,ALB,7/5/2020,2,0,1,4,2,0.696
128,Albania,ALB,8/5/2020,2,0,1,4,2,0.696
129,Albania,ALB,9/5/2020,2,0,1,4,2,0.696
130,Albania,ALB,10/5/2020,2,0,1,4,2,0.696
131,Albania,ALB,11/5/2020,2,0,1,4,2,0.696
132,Albania,ALB,12/5/2020,2,0,1,4,2,0.696
133,Albania,ALB,13/5/2020,2,0,1,4,2,0.696
134,Albania,ALB,14/5/2020,2,0,1,4,2,0.696
135,Albania,ALB,15/5/2020,2,0,1,4,2,0.696
136,Albania,ALB,16/5/2020,2,0,1,4,2,0.696
137,Albania,ALB,17/5/2020,2,0,1,4,2,0.696
138,Albania,ALB,18/5/2020,2,0,1,4,2,0.696
139,Albania,ALB,19/5/2020,2,0,1,4,2,0.696
140,Albania,ALB,20/5/2020,2,0,1,4,2,0.696
141,Albania,ALB,21/5/2020,2,0,1,4,2,0.696
142,Albania,ALB,22/5/2020,2,0,1,4,2,0.696
143,Albania,ALB,23/5/2020,2,0,1,4,2,0.696
144,Albania,ALB,24/5/2020,2,0,1,4,2,0.696
145,Albania,ALB,25/5/2020,2,0,1,4,2,0.696
146,Albania,ALB,26/5/2020,1,0,1,4,2,0.696
147,Albania,ALB,27/5/2020,1,0,1,4,2,0.696
148,Albania,ALB,28/5/2020,1,0,1,4,2,0.696
149,Albania,ALB,29/5/2020,1,0,1,4,2,0.696
150,Albania,ALB,30/5/2020,1,0,1,4,2,0.696
151,Albania,ALB,31/5/2020,1,0,1,4,2,0.696
152,Albania,ALB,1/6/2020,1,0,1,4,1,0.696
153,Albania,ALB,2/6/2020,1,0,1,4,1,0.696
154,Albania,ALB,3/6/2020,1,0,1,4,1,0.696
155,Albania,ALB,4/6/2020,1,0,1,4,1,0.696
156,Albania,ALB,5/6/2020,1,0,1,4,1,0.696
157,Albania,ALB,6/6/2020,1,0,1,4,1,0.696
158,Albania,ALB,7/6/2020,1,0,1,4,1,0.696
159,Albania,ALB,8/6/2020,1,0,1,4,1,0.696
160,Albania,ALB,9/6/2020,1,0,1,4,1,0.696
161,Albania,ALB,10/6/2020,1,0,1,4,1,0.696
162,Albania,ALB,11/6/2020,1,0,1,4,1,0.696
163,Albania,ALB,12/6/2020,1,0,1,4,1,0.696
164,Albania,ALB,13/6/2020,1,0,1,4,1,0.696
165,Albania,ALB,14/6/2020,1,0,1,4,1,0.696
166,Albania,ALB,15/6/2020,1,0,1,4,1,0.696
167,Albania,ALB,16/6/2020,1,0,1,4,1,0.696
168,Albania,ALB,17/6/2020,1,0,1,4,1,0.696
169,Albania,ALB,18/6/2020,1,0,1,4,1,0.696
170,Albania,ALB,19/6/2020,1,0,1,4,1,0.696
171,Albania,ALB,20/6/2020,1,0,1,4,1,0.696
172,Albania,ALB,21/6/2020,1,0,1,4,1,0.696
173,Albania,ALB,22/6/2020,1,0,1,4,1,0.696
174,Albania,ALB,23/6/2020,1,0,1,4,1,0.696
175,Albania,ALB,24/6/2020,1,0,1,4,1,0.696
176,Albania,ALB,25/6/2020,1,0,1,4,1,0.696
