,Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements,total_cases_per_million
1290,Algeria,DZA,4/9/2021,2,3,3,4,2,0.696
1291,Algeria,DZA,5/9/2021,2,3,3,4,2,3.4810000000000003
1292,Algeria,DZA,6/9/2021,2,3,3,4,2,4.177
1293,Algeria,DZA,7/9/2021,2,3,3,4,2,8.006
1294,Algeria,DZA,8/9/2021,2,3,3,4,2,11.487
1295,Algeria,DZA,9/9/2021,2,3,3,4,2,13.227
1296,Algeria,DZA,10/9/2021,2,3,3,4,2,14.619000000000002
1297,Algeria,DZA,11/9/2021,2,3,3,4,2,17.752
1298,Algeria,DZA,12/9/2021,2,3,3,4,2,19.144000000000002
1299,Algeria,DZA,13/9/2021,2,3,3,4,2,20.535999999999998
1300,Algeria,DZA,14/9/2021,2,3,3,4,2,22.276999999999997
1301,Algeria,DZA,15/9/2021,2,3,3,4,2,24.365
1302,Algeria,DZA,16/9/2021,2,3,3,4,2,26.454
1303,Algeria,DZA,17/9/2021,2,3,3,4,2,30.979
1304,Algeria,DZA,18/9/2021,2,3,3,4,2,36.2
1305,Algeria,DZA,19/9/2021,2,3,3,4,2,42.813
1306,Algeria,DZA,20/9/2021,2,3,3,4,2,50.818999999999996
1307,Algeria,DZA,21/9/2021,2,3,3,4,2,60.565
1308,Algeria,DZA,22/9/2021,2,3,3,4,2,64.742
1309,Algeria,DZA,23/9/2021,2,3,3,4,2,68.571
1310,Algeria,DZA,24/9/2021,2,3,3,4,2,73.792
1311,Algeria,DZA,25/9/2021,2,3,3,4,2,77.62100000000001
1312,Algeria,DZA,26/9/2021,2,3,3,4,2,84.583
1313,Algeria,DZA,27/9/2021,2,3,3,4,2,90.152
1314,Algeria,DZA,28/9/2021,2,3,3,4,2,96.417
1315,Algeria,DZA,29/9/2021,2,3,3,4,2,105.815
1316,Algeria,DZA,30/9/2021,2,3,3,4,2,115.90899999999999
1317,Algeria,DZA,1/10/2021,2,3,3,4,2,125.656
1318,Algeria,DZA,2/10/2021,2,3,3,4,2,131.225
1319,Algeria,DZA,3/10/2021,2,3,3,4,2,133.313
1320,Algeria,DZA,4/10/2021,2,3,3,4,2,139.23
1321,Algeria,DZA,5/10/2021,2,3,3,4,2,142.363
1322,Algeria,DZA,6/10/2021,2,3,3,4,2,144.8
1323,Algeria,DZA,7/10/2021,2,3,3,4,2,150.717
1324,Algeria,DZA,8/10/2021,2,3,3,4,2,155.24200000000002
1325,Algeria,DZA,9/10/2021,2,3,3,4,2,162.55200000000002
1326,Algeria,DZA,10/10/2021,2,3,3,4,2,165.33599999999998
1327,Algeria,DZA,11/10/2021,2,3,3,4,2,171.95
1328,Algeria,DZA,12/10/2021,2,3,3,4,2,180.303
1329,Algeria,DZA,13/10/2021,2,3,3,4,2,187.613
1330,Algeria,DZA,14/10/2021,2,3,3,4,2,190.74599999999998
1331,Algeria,DZA,15/10/2021,2,3,3,4,2,195.61900000000003
1332,Algeria,DZA,16/10/2021,2,3,3,4,2,203.27700000000002
1333,Algeria,DZA,17/10/2021,2,3,3,4,2,211.97799999999998
1334,Algeria,DZA,18/10/2021,2,3,3,4,2,220.68
1335,Algeria,DZA,19/10/2021,2,3,3,4,2,230.775
1336,Algeria,DZA,20/10/2021,2,3,3,4,0,235.99599999999998
1337,Algeria,DZA,21/10/2021,2,3,3,4,0,247.83
1338,Algeria,DZA,22/10/2021,2,3,3,4,0,252.703
1339,Algeria,DZA,23/10/2021,2,3,3,4,0,256.184
1340,Algeria,DZA,24/10/2021,2,3,3,4,0,261.057
