,Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements,total_cases
0,Albania,ALB,1/1/2020,0,0,0,0,0,5.0
1,Albania,ALB,2/1/2020,0,0,0,0,0,5.0
2,Albania,ALB,3/1/2020,0,0,0,0,0,5.0
3,Albania,ALB,4/1/2020,0,0,0,0,0,5.0
4,Albania,ALB,5/1/2020,0,0,0,0,0,5.0
5,Albania,ALB,6/1/2020,0,0,0,0,0,5.0
6,Albania,ALB,7/1/2020,0,0,0,0,0,5.0
7,Albania,ALB,8/1/2020,0,0,0,0,0,5.0
8,Albania,ALB,9/1/2020,0,0,0,0,0,5.0
9,Albania,ALB,10/1/2020,0,0,0,0,0,5.0
10,Albania,ALB,11/1/2020,0,0,0,0,0,5.0
11,Albania,ALB,12/1/2020,0,0,0,0,0,5.0
12,Albania,ALB,13/1/2020,0,0,0,0,0,8.0
13,Albania,ALB,14/1/2020,0,0,0,0,0,8.0
14,Albania,ALB,15/1/2020,0,0,0,0,0,8.0
15,Albania,ALB,16/1/2020,0,0,0,0,0,8.0
16,Albania,ALB,17/1/2020,0,0,0,0,0,11.0
17,Albania,ALB,18/1/2020,0,0,0,0,0,11.0
18,Albania,ALB,19/1/2020,0,0,0,0,0,11.0
19,Albania,ALB,20/1/2020,0,0,0,0,0,14.0
20,Albania,ALB,21/1/2020,0,0,0,0,0,20.0
21,Albania,ALB,22/1/2020,0,0,0,0,0,25.0
22,Albania,ALB,23/1/2020,0,0,0,0,0,26.0
23,Albania,ALB,24/1/2020,0,0,0,0,0,26.0
24,Albania,ALB,25/1/2020,0,0,0,0,0,26.0
25,Albania,ALB,26/1/2020,0,0,0,0,0,24.0
26,Albania,ALB,27/1/2020,0,0,0,0,0,24.0
27,Albania,ALB,28/1/2020,0,0,0,0,0,34.0
28,Albania,ALB,29/1/2020,0,0,0,0,0,40.0
29,Albania,ALB,30/1/2020,0,0,0,0,0,42.0
30,Albania,ALB,31/1/2020,0,0,0,0,0,74.0
31,Albania,ALB,1/2/2020,0,0,0,0,0,80.0
32,Albania,ALB,2/2/2020,0,0,0,0,0,91.0
33,Albania,ALB,3/2/2020,0,0,0,0,0,106.0
34,Albania,ALB,4/2/2020,0,0,0,0,0,114.0
35,Albania,ALB,5/2/2020,0,0,0,0,0,114.0
36,Albania,ALB,6/2/2020,0,0,0,0,0,166.0
37,Albania,ALB,7/2/2020,0,0,0,0,0,192.0
38,Albania,ALB,8/2/2020,0,0,0,0,0,235.0
39,Albania,ALB,9/2/2020,0,0,0,0,0,269.0
40,Albania,ALB,10/2/2020,0,0,0,0,0,270.0
41,Albania,ALB,11/2/2020,0,0,0,0,0,299.0
42,Albania,ALB,12/2/2020,0,0,0,0,0,337.0
43,Albania,ALB,13/2/2020,0,0,0,0,0,367.0
44,Albania,ALB,14/2/2020,0,0,0,0,0,423.0
