,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
1277,Albania,ALB,2020-02-25,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1278,Albania,ALB,2020-02-26,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1279,Albania,ALB,2020-02-27,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1280,Albania,ALB,2020-02-28,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1281,Albania,ALB,2020-02-29,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1282,Albania,ALB,2020-03-01,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1283,Albania,ALB,2020-03-02,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1284,Albania,ALB,2020-03-03,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1285,Albania,ALB,2020-03-04,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1286,Albania,ALB,2020-03-05,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1287,Albania,ALB,2020-03-06,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1288,Albania,ALB,2020-03-07,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1289,Albania,ALB,2020-03-08,,,,,,,,,,8.33,2872934.0,38.0,11803.431,2.89,0.795
1290,Albania,ALB,2020-03-09,0.696,0.696,,,,,,,,36.11,2872934.0,38.0,11803.431,2.89,0.795
1291,Albania,ALB,2020-03-10,3.4810000000000003,2.785,,,,,,,,41.67,2872934.0,38.0,11803.431,2.89,0.795
1292,Albania,ALB,2020-03-11,4.177,0.696,0.348,0.348,,,,,,51.85,2872934.0,38.0,11803.431,2.89,0.795
1293,Albania,ALB,2020-03-12,8.006,3.8289999999999997,0.348,0.0,,,,,,51.85,2872934.0,38.0,11803.431,2.89,0.795
1294,Albania,ALB,2020-03-13,11.487,3.4810000000000003,0.348,0.0,,,,,,78.7,2872934.0,38.0,11803.431,2.89,0.795
1295,Albania,ALB,2020-03-14,13.227,1.74,0.348,0.0,,,,,,78.7,2872934.0,38.0,11803.431,2.89,0.795
1296,Albania,ALB,2020-03-15,14.619000000000002,1.392,0.348,0.0,,,,,,81.48,2872934.0,38.0,11803.431,2.89,0.795
1297,Albania,ALB,2020-03-16,17.752,3.133,0.348,0.0,,,,,,81.48,2872934.0,38.0,11803.431,2.89,0.795
