,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
2541,Andorra,AND,2020-03-02,12.927999999999999,12.927999999999999,,,,,,,,0.0,77354.0,,,,0.868
2542,Andorra,AND,2020-03-03,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2543,Andorra,AND,2020-03-04,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2544,Andorra,AND,2020-03-05,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2545,Andorra,AND,2020-03-06,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2546,Andorra,AND,2020-03-07,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2547,Andorra,AND,2020-03-08,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2548,Andorra,AND,2020-03-09,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2549,Andorra,AND,2020-03-10,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2550,Andorra,AND,2020-03-11,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2551,Andorra,AND,2020-03-12,12.927999999999999,0.0,,,,,,,,0.0,77354.0,,,,0.868
2552,Andorra,AND,2020-03-13,12.927999999999999,0.0,,,,,,,,9.26,77354.0,,,,0.868
2553,Andorra,AND,2020-03-14,12.927999999999999,0.0,,,,,,,,20.37,77354.0,,,,0.868
2554,Andorra,AND,2020-03-15,12.927999999999999,0.0,,,,,,,,20.37,77354.0,,,,0.868
2555,Andorra,AND,2020-03-16,25.855,12.927999999999999,,,,,,,,31.48,77354.0,,,,0.868
2556,Andorra,AND,2020-03-17,504.176,478.32,,,,,,,,31.48,77354.0,,,,0.868
2557,Andorra,AND,2020-03-18,504.176,0.0,,,,,,,,31.48,77354.0,,,,0.868
2558,Andorra,AND,2020-03-19,685.1619999999999,180.986,,,,,,,,31.48,77354.0,,,,0.868
2559,Andorra,AND,2020-03-20,969.568,284.407,,,,,,,,31.48,77354.0,,,,0.868
2560,Andorra,AND,2020-03-21,1137.627,168.05900000000003,,,,,,,,31.48,77354.0,,,,0.868
2561,Andorra,AND,2020-03-22,1460.817,323.189,12.927999999999999,12.927999999999999,,,,,,31.48,77354.0,,,,0.868
2562,Andorra,AND,2020-03-23,1719.368,258.552,12.927999999999999,0.0,,,,,,31.48,77354.0,,,,0.868
2563,Andorra,AND,2020-03-24,2120.123,400.755,12.927999999999999,0.0,,,,,,31.48,77354.0,,,,0.868
2564,Andorra,AND,2020-03-25,2430.385,310.262,12.927999999999999,0.0,,,,,,48.15,77354.0,,,,0.868
2565,Andorra,AND,2020-03-26,2895.778,465.39300000000003,38.783,25.855,,,,,,48.15,77354.0,,,,0.868
2566,Andorra,AND,2020-03-27,3451.664,555.886,38.783,0.0,,,,,,48.15,77354.0,,,,0.868
2567,Andorra,AND,2020-03-28,3981.695,530.031,38.783,0.0,,,,,,48.15,77354.0,,,,0.868
2568,Andorra,AND,2020-03-29,4317.812,336.11699999999996,77.565,38.783,,,,,,48.15,77354.0,,,,0.868
2569,Andorra,AND,2020-03-30,4783.204000000001,465.39300000000003,103.421,25.855,,,,,,48.15,77354.0,,,,0.868
2570,Andorra,AND,2020-03-31,4860.77,77.565,155.131,51.71,,,,,,48.15,77354.0,,,,0.868
2571,Andorra,AND,2020-04-01,5041.755999999999,180.986,180.986,25.855,,,,,,48.15,77354.0,,,,0.868
2572,Andorra,AND,2020-04-02,5533.004,491.24800000000005,193.91400000000002,12.927999999999999,,,,,,48.15,77354.0,,,,0.868
2573,Andorra,AND,2020-04-03,5675.206999999999,142.203,206.84099999999998,12.927999999999999,,,,,,48.15,77354.0,,,,0.868
2574,Andorra,AND,2020-04-04,6024.2519999999995,349.045,219.769,12.927999999999999,,,,,,48.15,77354.0,,,,0.868
2575,Andorra,AND,2020-04-05,6476.717,452.465,232.696,12.927999999999999,,,,,,48.15,77354.0,,,,0.868
2576,Andorra,AND,2020-04-06,6786.979,310.262,271.47900000000004,38.783,,,,,,48.15,77354.0,,,,0.868
2577,Andorra,AND,2020-04-07,7045.531,258.552,284.407,12.927999999999999,,,,,,48.15,77354.0,,,,0.868
2578,Andorra,AND,2020-04-08,7291.155,245.62400000000002,297.334,12.927999999999999,,,,,,56.48,77354.0,,,,0.868
2579,Andorra,AND,2020-04-09,7536.779,245.62400000000002,323.189,25.855,,,,,,56.48,77354.0,,,,0.868
