,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
125161,United Arab Emirates,ARE,2020-01-29,0.4,0.4,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125162,United Arab Emirates,ARE,2020-01-30,0.4,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125163,United Arab Emirates,ARE,2020-01-31,0.4,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125164,United Arab Emirates,ARE,2020-02-01,0.4,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125165,United Arab Emirates,ARE,2020-02-02,0.5,0.1,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125166,United Arab Emirates,ARE,2020-02-03,0.5,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125167,United Arab Emirates,ARE,2020-02-04,0.5,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125168,United Arab Emirates,ARE,2020-02-05,0.5,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125169,United Arab Emirates,ARE,2020-02-06,0.5,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125170,United Arab Emirates,ARE,2020-02-07,0.5,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125171,United Arab Emirates,ARE,2020-02-08,0.701,0.2,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125172,United Arab Emirates,ARE,2020-02-09,0.701,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125173,United Arab Emirates,ARE,2020-02-10,0.8009999999999999,0.1,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125174,United Arab Emirates,ARE,2020-02-11,0.8009999999999999,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125175,United Arab Emirates,ARE,2020-02-12,0.8009999999999999,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125176,United Arab Emirates,ARE,2020-02-13,0.8009999999999999,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125177,United Arab Emirates,ARE,2020-02-14,0.8009999999999999,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
125178,United Arab Emirates,ARE,2020-02-15,0.8009999999999999,0.0,,,,,,,,2.78,9991083.0,34.0,67293.483,1.2,0.89
