,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
6886,Australia,AUS,2020-01-26,0.155,0.155,,,,,,,,5.56,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6887,Australia,AUS,2020-01-27,0.19399999999999998,0.039,,,,,,,,5.56,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6888,Australia,AUS,2020-01-28,0.19399999999999998,0.0,,,,,,,,5.56,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6889,Australia,AUS,2020-01-29,0.233,0.039,,,,,,,,5.56,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6890,Australia,AUS,2020-01-30,0.349,0.11599999999999999,,,,,,,,5.56,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6891,Australia,AUS,2020-01-31,0.349,0.0,,,,,,,,5.56,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6892,Australia,AUS,2020-02-01,0.465,0.11599999999999999,,,,,,,,13.89,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6893,Australia,AUS,2020-02-02,0.465,0.0,,,,,,,,13.89,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6894,Australia,AUS,2020-02-03,0.465,0.0,,,,,,,,19.44,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6895,Australia,AUS,2020-02-04,0.504,0.039,,,,,,,,19.44,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6896,Australia,AUS,2020-02-05,0.504,0.0,,,,,,,,19.44,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6897,Australia,AUS,2020-02-06,0.5429999999999999,0.039,,,,,,,,19.44,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6898,Australia,AUS,2020-02-07,0.5820000000000001,0.039,,,,,,,,19.44,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6899,Australia,AUS,2020-02-08,0.5820000000000001,0.0,,,,,,,,19.44,25788217.0,37.9,44648.71,3.84,0.9440000000000001
6900,Australia,AUS,2020-02-09,0.5820000000000001,0.0,,,,,,,,19.44,25788217.0,37.9,44648.71,3.84,0.9440000000000001
