,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
7548,Austria,AUT,2020-02-25,0.221,0.221,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7549,Austria,AUT,2020-02-26,0.221,0.0,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7550,Austria,AUT,2020-02-27,0.332,0.111,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7551,Austria,AUT,2020-02-28,0.332,0.0,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7552,Austria,AUT,2020-02-29,0.995,0.6629999999999999,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7553,Austria,AUT,2020-03-01,1.548,0.5529999999999999,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7554,Austria,AUT,2020-03-02,1.99,0.442,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7555,Austria,AUT,2020-03-03,2.322,0.332,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7556,Austria,AUT,2020-03-04,3.207,0.885,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7557,Austria,AUT,2020-03-05,4.534,1.327,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7558,Austria,AUT,2020-03-06,6.082000000000001,1.548,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7559,Austria,AUT,2020-03-07,8.736,2.654,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7560,Austria,AUT,2020-03-08,11.501,2.765,,,,,,,,11.11,9043072.0,44.4,45436.685999999994,7.37,0.922
7561,Austria,AUT,2020-03-09,14.485999999999999,2.986,,,,,,,,19.44,9043072.0,44.4,45436.685999999994,7.37,0.922
7562,Austria,AUT,2020-03-10,20.125999999999998,5.64,,,,,,,,19.44,9043072.0,44.4,45436.685999999994,7.37,0.922
7563,Austria,AUT,2020-03-11,27.203000000000003,7.077000000000001,,,,,,,,30.56,9043072.0,44.4,45436.685999999994,7.37,0.922
7564,Austria,AUT,2020-03-12,33.396,6.193,0.111,0.111,,,,,,34.26,9043072.0,44.4,45436.685999999994,7.37,0.922
7565,Austria,AUT,2020-03-13,55.733000000000004,22.338,0.111,0.0,,,,,,48.15,9043072.0,44.4,45436.685999999994,7.37,0.922
7566,Austria,AUT,2020-03-14,72.431,16.698,0.111,0.0,,,,,,48.15,9043072.0,44.4,45436.685999999994,7.37,0.922
7567,Austria,AUT,2020-03-15,95.1,22.669,0.111,0.0,,,,,,48.15,9043072.0,44.4,45436.685999999994,7.37,0.922
7568,Austria,AUT,2020-03-16,112.572,17.472,0.332,0.221,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7569,Austria,AUT,2020-03-17,147.295,34.723,0.332,0.0,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7570,Austria,AUT,2020-03-18,182.018,34.723,0.442,0.111,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7571,Austria,AUT,2020-03-19,222.601,40.584,0.6629999999999999,0.221,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7572,Austria,AUT,2020-03-20,264.07,41.468,0.6629999999999999,0.0,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7573,Austria,AUT,2020-03-21,311.177,47.108000000000004,0.885,0.221,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7574,Austria,AUT,2020-03-22,396.10400000000004,84.927,1.7690000000000001,0.885,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7575,Austria,AUT,2020-03-23,494.74300000000005,98.639,2.322,0.5529999999999999,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7576,Austria,AUT,2020-03-24,584.2040000000001,89.461,3.096,0.774,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7577,Austria,AUT,2020-03-25,617.932,33.727,3.3169999999999997,0.221,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7578,Austria,AUT,2020-03-26,764.01,146.079,5.419,2.101,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
7579,Austria,AUT,2020-03-27,846.7260000000001,82.715,6.414,0.995,,,,,,81.48,9043072.0,44.4,45436.685999999994,7.37,0.922
