,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
8180,Azerbaijan,AZE,2020-03-01,0.293,0.293,,,,,,,,19.44,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8181,Azerbaijan,AZE,2020-03-02,0.293,0.0,,,,,,,,19.44,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8182,Azerbaijan,AZE,2020-03-03,0.293,0.0,,,,,,,,30.56,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8183,Azerbaijan,AZE,2020-03-04,0.293,0.0,,,,,,,,30.56,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8184,Azerbaijan,AZE,2020-03-05,0.5870000000000001,0.293,,,,,,,,30.56,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8185,Azerbaijan,AZE,2020-03-06,0.5870000000000001,0.0,,,,,,,,30.56,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8186,Azerbaijan,AZE,2020-03-07,0.88,0.293,,,,,,,,30.56,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8187,Azerbaijan,AZE,2020-03-08,0.88,0.0,,,,,,,,30.56,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8188,Azerbaijan,AZE,2020-03-09,0.88,0.0,,,,,,,,30.56,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8189,Azerbaijan,AZE,2020-03-10,1.0759999999999998,0.196,,,,,,,,36.11,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8190,Azerbaijan,AZE,2020-03-11,1.0759999999999998,0.0,,,,,,,,36.11,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8191,Azerbaijan,AZE,2020-03-12,1.0759999999999998,0.0,,,,,,,,36.11,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8192,Azerbaijan,AZE,2020-03-13,1.4669999999999999,0.391,0.098,0.098,,,,,,36.11,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8193,Azerbaijan,AZE,2020-03-14,1.4669999999999999,0.0,0.098,0.0,,,,,,52.78,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8194,Azerbaijan,AZE,2020-03-15,2.25,0.7829999999999999,0.098,0.0,,,,,,52.78,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8195,Azerbaijan,AZE,2020-03-16,2.739,0.489,0.098,0.0,,,,,,52.78,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8196,Azerbaijan,AZE,2020-03-17,2.739,0.0,0.098,0.0,,,,,,52.78,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8197,Azerbaijan,AZE,2020-03-18,2.739,0.0,0.098,0.0,,,,,,52.78,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8198,Azerbaijan,AZE,2020-03-19,4.303999999999999,1.565,0.098,0.0,,,,,,61.11,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8199,Azerbaijan,AZE,2020-03-20,4.303999999999999,0.0,0.098,0.0,,,,,,61.11,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8200,Azerbaijan,AZE,2020-03-21,5.184,0.88,0.098,0.0,,,,,,61.11,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8201,Azerbaijan,AZE,2020-03-22,6.358,1.1740000000000002,0.098,0.0,,,,,,61.11,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8202,Azerbaijan,AZE,2020-03-23,7.042999999999999,0.685,0.098,0.0,,,,,,68.52,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8203,Azerbaijan,AZE,2020-03-24,8.51,1.4669999999999999,0.098,0.0,,,,,,68.52,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8204,Azerbaijan,AZE,2020-03-25,9.097000000000001,0.5870000000000001,0.196,0.098,,,,,,68.52,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8205,Azerbaijan,AZE,2020-03-26,11.933,2.8369999999999997,0.293,0.098,,,,,,68.52,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8206,Azerbaijan,AZE,2020-03-27,16.14,4.206,0.293,0.0,,,,,,68.52,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8207,Azerbaijan,AZE,2020-03-28,17.802,1.663,0.391,0.098,,,,,,68.52,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8208,Azerbaijan,AZE,2020-03-29,20.442999999999998,2.641,0.391,0.0,,,,,,68.52,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8209,Azerbaijan,AZE,2020-03-30,26.704,6.26,0.391,0.0,,,,,,68.52,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8210,Azerbaijan,AZE,2020-03-31,29.149,2.445,0.489,0.098,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8211,Azerbaijan,AZE,2020-04-01,35.116,5.9670000000000005,0.489,0.0,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8212,Azerbaijan,AZE,2020-04-02,39.126,4.01,0.489,0.0,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8213,Azerbaijan,AZE,2020-04-03,43.332,4.206,0.489,0.0,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8214,Azerbaijan,AZE,2020-04-04,50.961999999999996,7.63,0.489,0.0,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8215,Azerbaijan,AZE,2020-04-05,57.123999999999995,6.162000000000001,0.685,0.196,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8216,Azerbaijan,AZE,2020-04-06,62.7,5.575,0.685,0.0,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8217,Azerbaijan,AZE,2020-04-07,70.134,7.434,0.7829999999999999,0.098,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8218,Azerbaijan,AZE,2020-04-08,80.404,10.270999999999999,0.7829999999999999,0.0,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8219,Azerbaijan,AZE,2020-04-09,90.57700000000001,10.173,0.88,0.098,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8220,Azerbaijan,AZE,2020-04-10,96.935,6.358,0.978,0.098,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8221,Azerbaijan,AZE,2020-04-11,103.48899999999999,6.553999999999999,1.0759999999999998,0.098,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8222,Azerbaijan,AZE,2020-04-12,107.40100000000001,3.9130000000000003,1.0759999999999998,0.0,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8223,Azerbaijan,AZE,2020-04-13,112.292,4.891,1.1740000000000002,0.098,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8224,Azerbaijan,AZE,2020-04-14,117.085,4.793,1.272,0.098,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
8225,Azerbaijan,AZE,2020-04-15,122.56299999999999,5.478,1.272,0.0,,,,,,88.89,10223344.0,32.4,15847.419,4.7,0.7559999999999999
