,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
19357,Burundi,BDI,2020-03-31,0.163,0.163,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19358,Burundi,BDI,2020-04-01,0.163,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19359,Burundi,BDI,2020-04-02,0.245,0.08199999999999999,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19360,Burundi,BDI,2020-04-03,0.245,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19361,Burundi,BDI,2020-04-04,0.245,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19362,Burundi,BDI,2020-04-05,0.245,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19363,Burundi,BDI,2020-04-06,0.245,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19364,Burundi,BDI,2020-04-07,0.245,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19365,Burundi,BDI,2020-04-08,0.245,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19366,Burundi,BDI,2020-04-09,0.245,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19367,Burundi,BDI,2020-04-10,0.245,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19368,Burundi,BDI,2020-04-11,0.408,0.163,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19369,Burundi,BDI,2020-04-12,0.408,0.0,,,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19370,Burundi,BDI,2020-04-13,0.408,0.0,0.08199999999999999,0.08199999999999999,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19371,Burundi,BDI,2020-04-14,0.408,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19372,Burundi,BDI,2020-04-15,0.408,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19373,Burundi,BDI,2020-04-16,0.408,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19374,Burundi,BDI,2020-04-17,0.408,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19375,Burundi,BDI,2020-04-18,0.408,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19376,Burundi,BDI,2020-04-19,0.408,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19377,Burundi,BDI,2020-04-20,0.408,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19378,Burundi,BDI,2020-04-21,0.408,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19379,Burundi,BDI,2020-04-22,0.898,0.49,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19380,Burundi,BDI,2020-04-23,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19381,Burundi,BDI,2020-04-24,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19382,Burundi,BDI,2020-04-25,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19383,Burundi,BDI,2020-04-26,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19384,Burundi,BDI,2020-04-27,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19385,Burundi,BDI,2020-04-28,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19386,Burundi,BDI,2020-04-29,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19387,Burundi,BDI,2020-04-30,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19388,Burundi,BDI,2020-05-01,0.898,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19389,Burundi,BDI,2020-05-02,1.224,0.326,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19390,Burundi,BDI,2020-05-03,1.224,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19391,Burundi,BDI,2020-05-04,1.224,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19392,Burundi,BDI,2020-05-05,1.224,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19393,Burundi,BDI,2020-05-06,1.224,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19394,Burundi,BDI,2020-05-07,1.224,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19395,Burundi,BDI,2020-05-08,1.224,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19396,Burundi,BDI,2020-05-09,1.224,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
19397,Burundi,BDI,2020-05-10,1.224,0.0,0.08199999999999999,0.0,,,,,,13.89,12255429.0,17.5,702.225,0.8,0.433
