,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
11917,Belgium,BEL,2020-02-04,0.086,0.086,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11918,Belgium,BEL,2020-02-05,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11919,Belgium,BEL,2020-02-06,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11920,Belgium,BEL,2020-02-07,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11921,Belgium,BEL,2020-02-08,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11922,Belgium,BEL,2020-02-09,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11923,Belgium,BEL,2020-02-10,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11924,Belgium,BEL,2020-02-11,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11925,Belgium,BEL,2020-02-12,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11926,Belgium,BEL,2020-02-13,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11927,Belgium,BEL,2020-02-14,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11928,Belgium,BEL,2020-02-15,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11929,Belgium,BEL,2020-02-16,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11930,Belgium,BEL,2020-02-17,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11931,Belgium,BEL,2020-02-18,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11932,Belgium,BEL,2020-02-19,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11933,Belgium,BEL,2020-02-20,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11934,Belgium,BEL,2020-02-21,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11935,Belgium,BEL,2020-02-22,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11936,Belgium,BEL,2020-02-23,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
11937,Belgium,BEL,2020-02-24,0.086,0.0,,,,,,,,11.11,11632334.0,41.8,42658.575999999994,5.64,0.9309999999999999
