,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
13175,Benin,BEN,2020-03-16,0.08,0.08,,,,,,,,16.67,12451031.0,18.8,2064.236,0.5,0.545
13176,Benin,BEN,2020-03-17,0.08,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13177,Benin,BEN,2020-03-18,0.161,0.08,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13178,Benin,BEN,2020-03-19,0.161,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13179,Benin,BEN,2020-03-20,0.161,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13180,Benin,BEN,2020-03-21,0.161,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13181,Benin,BEN,2020-03-22,0.161,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13182,Benin,BEN,2020-03-23,0.402,0.24100000000000002,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13183,Benin,BEN,2020-03-24,0.48200000000000004,0.08,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13184,Benin,BEN,2020-03-25,0.48200000000000004,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13185,Benin,BEN,2020-03-26,0.48200000000000004,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13186,Benin,BEN,2020-03-27,0.48200000000000004,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13187,Benin,BEN,2020-03-28,0.48200000000000004,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13188,Benin,BEN,2020-03-29,0.48200000000000004,0.0,,,,,,,,27.78,12451031.0,18.8,2064.236,0.5,0.545
13189,Benin,BEN,2020-03-30,0.48200000000000004,0.0,,,,,,,,70.83,12451031.0,18.8,2064.236,0.5,0.545
13190,Benin,BEN,2020-03-31,0.723,0.24100000000000002,,,,,,,,70.83,12451031.0,18.8,2064.236,0.5,0.545
13191,Benin,BEN,2020-04-01,1.044,0.321,,,,,,,,70.83,12451031.0,18.8,2064.236,0.5,0.545
13192,Benin,BEN,2020-04-02,1.044,0.0,,,,,,,,70.83,12451031.0,18.8,2064.236,0.5,0.545
13193,Benin,BEN,2020-04-03,1.285,0.24100000000000002,,,,,,,,70.83,12451031.0,18.8,2064.236,0.5,0.545
13194,Benin,BEN,2020-04-04,1.285,0.0,,,,,,,,70.83,12451031.0,18.8,2064.236,0.5,0.545
13195,Benin,BEN,2020-04-05,1.767,0.48200000000000004,,,,,,,,70.83,12451031.0,18.8,2064.236,0.5,0.545
