,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
10052,Bangladesh,BGD,2020-03-03,,,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10053,Bangladesh,BGD,2020-03-04,,,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10054,Bangladesh,BGD,2020-03-05,,,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10055,Bangladesh,BGD,2020-03-06,,,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10056,Bangladesh,BGD,2020-03-07,,,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10057,Bangladesh,BGD,2020-03-08,0.018000000000000002,0.018000000000000002,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10058,Bangladesh,BGD,2020-03-09,0.018000000000000002,0.0,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10059,Bangladesh,BGD,2020-03-10,0.018000000000000002,0.0,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10060,Bangladesh,BGD,2020-03-11,0.018000000000000002,0.0,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10061,Bangladesh,BGD,2020-03-12,0.018000000000000002,0.0,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10062,Bangladesh,BGD,2020-03-13,0.018000000000000002,0.0,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10063,Bangladesh,BGD,2020-03-14,0.018000000000000002,0.0,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10064,Bangladesh,BGD,2020-03-15,0.03,0.012,,,,,,,,13.89,166303494.0,27.5,3523.9840000000004,0.8,0.632
10065,Bangladesh,BGD,2020-03-16,0.048,0.018000000000000002,,,,,,,,33.33,166303494.0,27.5,3523.9840000000004,0.8,0.632
10066,Bangladesh,BGD,2020-03-17,0.06,0.012,,,,,,,,33.33,166303494.0,27.5,3523.9840000000004,0.8,0.632
10067,Bangladesh,BGD,2020-03-18,0.084,0.024,0.006,0.006,,,,,,33.33,166303494.0,27.5,3523.9840000000004,0.8,0.632
10068,Bangladesh,BGD,2020-03-19,0.102,0.018000000000000002,0.006,0.0,,,,,,75.93,166303494.0,27.5,3523.9840000000004,0.8,0.632
10069,Bangladesh,BGD,2020-03-20,0.12,0.018000000000000002,0.006,0.0,,,,,,75.93,166303494.0,27.5,3523.9840000000004,0.8,0.632
10070,Bangladesh,BGD,2020-03-21,0.15,0.03,0.012,0.006,,,,,,81.48,166303494.0,27.5,3523.9840000000004,0.8,0.632
10071,Bangladesh,BGD,2020-03-22,0.162,0.012,0.012,0.0,,,,,,81.48,166303494.0,27.5,3523.9840000000004,0.8,0.632
10072,Bangladesh,BGD,2020-03-23,0.198,0.036000000000000004,0.018000000000000002,0.006,,,,,,81.48,166303494.0,27.5,3523.9840000000004,0.8,0.632
10073,Bangladesh,BGD,2020-03-24,0.235,0.036000000000000004,0.024,0.006,,,,,,81.48,166303494.0,27.5,3523.9840000000004,0.8,0.632
10074,Bangladesh,BGD,2020-03-25,0.235,0.0,0.03,0.006,,,,,,82.41,166303494.0,27.5,3523.9840000000004,0.8,0.632
10075,Bangladesh,BGD,2020-03-26,0.265,0.03,0.03,0.0,,,,,,84.26,166303494.0,27.5,3523.9840000000004,0.8,0.632
10076,Bangladesh,BGD,2020-03-27,0.289,0.024,0.03,0.0,,,,,,84.26,166303494.0,27.5,3523.9840000000004,0.8,0.632
10077,Bangladesh,BGD,2020-03-28,0.289,0.0,0.03,0.0,,,,,,84.26,166303494.0,27.5,3523.9840000000004,0.8,0.632
10078,Bangladesh,BGD,2020-03-29,0.289,0.0,0.03,0.0,,,,,,84.26,166303494.0,27.5,3523.9840000000004,0.8,0.632
10079,Bangladesh,BGD,2020-03-30,0.295,0.006,0.03,0.0,,,,,,84.26,166303494.0,27.5,3523.9840000000004,0.8,0.632
10080,Bangladesh,BGD,2020-03-31,0.307,0.012,0.03,0.0,,,,,,87.04,166303494.0,27.5,3523.9840000000004,0.8,0.632
