,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
18119,Bulgaria,BGR,2020-03-08,0.58,0.58,,,,,,,,21.3,6896655.0,44.7,18563.307,7.454,0.816
18120,Bulgaria,BGR,2020-03-09,0.58,0.0,,,,,,,,21.3,6896655.0,44.7,18563.307,7.454,0.816
18121,Bulgaria,BGR,2020-03-10,0.58,0.0,,,,,,,,21.3,6896655.0,44.7,18563.307,7.454,0.816
18122,Bulgaria,BGR,2020-03-11,1.015,0.435,0.145,0.145,,,,,,26.85,6896655.0,44.7,18563.307,7.454,0.816
18123,Bulgaria,BGR,2020-03-12,1.015,0.0,0.145,0.0,,,,,,26.85,6896655.0,44.7,18563.307,7.454,0.816
18124,Bulgaria,BGR,2020-03-13,3.335,2.32,0.145,0.0,,,,,,50.93,6896655.0,44.7,18563.307,7.454,0.816
18125,Bulgaria,BGR,2020-03-14,5.945,2.61,0.29,0.145,,,,,,50.93,6896655.0,44.7,18563.307,7.454,0.816
18126,Bulgaria,BGR,2020-03-15,7.395,1.45,0.29,0.0,,,,,,50.93,6896655.0,44.7,18563.307,7.454,0.816
18127,Bulgaria,BGR,2020-03-16,7.54,0.145,0.29,0.0,,,,,,50.93,6896655.0,44.7,18563.307,7.454,0.816
18128,Bulgaria,BGR,2020-03-17,9.715,2.175,0.29,0.0,,,,,,56.48,6896655.0,44.7,18563.307,7.454,0.816
18129,Bulgaria,BGR,2020-03-18,13.34,3.625,0.29,0.0,,,,,,70.37,6896655.0,44.7,18563.307,7.454,0.816
18130,Bulgaria,BGR,2020-03-19,13.63,0.29,0.435,0.145,,,,,,70.37,6896655.0,44.7,18563.307,7.454,0.816
18131,Bulgaria,BGR,2020-03-20,18.415,4.785,0.435,0.0,,,,,,70.37,6896655.0,44.7,18563.307,7.454,0.816
