,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
15472,Bosnia and Herzegovina,BIH,2020-03-05,0.613,0.613,,,,,,,,0.0,3263459.0,42.5,11713.895,3.5,0.78
15473,Bosnia and Herzegovina,BIH,2020-03-06,0.613,0.0,,,,,,,,0.0,3263459.0,42.5,11713.895,3.5,0.78
15474,Bosnia and Herzegovina,BIH,2020-03-07,0.919,0.306,,,,,,,,0.0,3263459.0,42.5,11713.895,3.5,0.78
15475,Bosnia and Herzegovina,BIH,2020-03-08,0.919,0.0,,,,,,,,0.0,3263459.0,42.5,11713.895,3.5,0.78
15476,Bosnia and Herzegovina,BIH,2020-03-09,0.919,0.0,,,,,,,,0.0,3263459.0,42.5,11713.895,3.5,0.78
15477,Bosnia and Herzegovina,BIH,2020-03-10,1.5319999999999998,0.613,,,,,,,,18.06,3263459.0,42.5,11713.895,3.5,0.78
15478,Bosnia and Herzegovina,BIH,2020-03-11,2.145,0.613,,,,,,,,29.17,3263459.0,42.5,11713.895,3.5,0.78
15479,Bosnia and Herzegovina,BIH,2020-03-12,3.3710000000000004,1.226,,,,,,,,29.17,3263459.0,42.5,11713.895,3.5,0.78
15480,Bosnia and Herzegovina,BIH,2020-03-13,3.984,0.613,,,,,,,,29.17,3263459.0,42.5,11713.895,3.5,0.78
15481,Bosnia and Herzegovina,BIH,2020-03-14,5.516,1.5319999999999998,,,,,,,,29.17,3263459.0,42.5,11713.895,3.5,0.78
15482,Bosnia and Herzegovina,BIH,2020-03-15,7.354,1.839,,,,,,,,29.17,3263459.0,42.5,11713.895,3.5,0.78
15483,Bosnia and Herzegovina,BIH,2020-03-16,7.6610000000000005,0.306,,,,,,,,34.72,3263459.0,42.5,11713.895,3.5,0.78
15484,Bosnia and Herzegovina,BIH,2020-03-17,7.9670000000000005,0.306,,,,,,,,65.28,3263459.0,42.5,11713.895,3.5,0.78
15485,Bosnia and Herzegovina,BIH,2020-03-18,11.644,3.677,,,,,,,,72.22,3263459.0,42.5,11713.895,3.5,0.78
15486,Bosnia and Herzegovina,BIH,2020-03-19,19.305,7.6610000000000005,,,,,,,,72.22,3263459.0,42.5,11713.895,3.5,0.78
15487,Bosnia and Herzegovina,BIH,2020-03-20,27.272,7.9670000000000005,,,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15488,Bosnia and Herzegovina,BIH,2020-03-21,28.497,1.226,0.306,0.306,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15489,Bosnia and Herzegovina,BIH,2020-03-22,38.609,10.112,0.306,0.0,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15490,Bosnia and Herzegovina,BIH,2020-03-23,41.674,3.0639999999999996,0.306,0.0,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15491,Bosnia and Herzegovina,BIH,2020-03-24,50.86600000000001,9.193,0.919,0.613,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15492,Bosnia and Herzegovina,BIH,2020-03-25,53.931000000000004,3.0639999999999996,0.919,0.0,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15493,Bosnia and Herzegovina,BIH,2020-03-26,58.527,4.596,0.919,0.0,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15494,Bosnia and Herzegovina,BIH,2020-03-27,72.622,14.095,1.226,0.306,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15495,Bosnia and Herzegovina,BIH,2020-03-28,79.057,6.435,1.5319999999999998,0.306,,,,,,84.26,3263459.0,42.5,11713.895,3.5,0.78
15496,Bosnia and Herzegovina,BIH,2020-03-29,98.975,19.918,1.839,0.306,,,,,,89.81,3263459.0,42.5,11713.895,3.5,0.78
15497,Bosnia and Herzegovina,BIH,2020-03-30,112.764,13.789000000000001,3.0639999999999996,1.226,,,,,,89.81,3263459.0,42.5,11713.895,3.5,0.78
15498,Bosnia and Herzegovina,BIH,2020-03-31,128.69799999999998,15.934000000000001,3.984,0.919,,,,,,89.81,3263459.0,42.5,11713.895,3.5,0.78
15499,Bosnia and Herzegovina,BIH,2020-04-01,140.648,11.950999999999999,3.984,0.0,,,,,,89.81,3263459.0,42.5,11713.895,3.5,0.78
15500,Bosnia and Herzegovina,BIH,2020-04-02,163.32399999999998,22.675,4.9030000000000005,0.919,,,,,,89.81,3263459.0,42.5,11713.895,3.5,0.78
15501,Bosnia and Herzegovina,BIH,2020-04-03,177.419,14.095,5.209,0.306,,,,,,89.81,3263459.0,42.5,11713.895,3.5,0.78
15502,Bosnia and Herzegovina,BIH,2020-04-04,191.208,13.789000000000001,6.435,1.226,,,,,,89.81,3263459.0,42.5,11713.895,3.5,0.78
