,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
11288,Belarus,BLR,2020-02-28,0.106,0.106,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11289,Belarus,BLR,2020-02-29,0.106,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11290,Belarus,BLR,2020-03-01,0.106,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11291,Belarus,BLR,2020-03-02,0.106,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11292,Belarus,BLR,2020-03-03,0.106,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11293,Belarus,BLR,2020-03-04,0.635,0.53,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11294,Belarus,BLR,2020-03-05,0.635,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11295,Belarus,BLR,2020-03-06,0.635,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11296,Belarus,BLR,2020-03-07,0.635,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11297,Belarus,BLR,2020-03-08,0.635,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11298,Belarus,BLR,2020-03-09,0.635,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11299,Belarus,BLR,2020-03-10,0.953,0.318,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11300,Belarus,BLR,2020-03-11,0.953,0.0,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11301,Belarus,BLR,2020-03-12,1.271,0.318,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11302,Belarus,BLR,2020-03-13,2.859,1.589,,,,,,,,0.0,9442867.0,40.3,17167.967,11.0,0.823
11303,Belarus,BLR,2020-03-14,2.859,0.0,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11304,Belarus,BLR,2020-03-15,2.859,0.0,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11305,Belarus,BLR,2020-03-16,3.812,0.953,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11306,Belarus,BLR,2020-03-17,3.812,0.0,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11307,Belarus,BLR,2020-03-18,5.401,1.589,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11308,Belarus,BLR,2020-03-19,5.401,0.0,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11309,Belarus,BLR,2020-03-20,7.307,1.906,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11310,Belarus,BLR,2020-03-21,8.048,0.741,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11311,Belarus,BLR,2020-03-22,8.048,0.0,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11312,Belarus,BLR,2020-03-23,8.578,0.53,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11313,Belarus,BLR,2020-03-24,8.578,0.0,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11314,Belarus,BLR,2020-03-25,9.107000000000001,0.53,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11315,Belarus,BLR,2020-03-26,9.107000000000001,0.0,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11316,Belarus,BLR,2020-03-27,9.955,0.847,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
11317,Belarus,BLR,2020-03-28,9.955,0.0,,,,,,,,8.33,9442867.0,40.3,17167.967,11.0,0.823
