,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
13787,Bermuda,BMU,2021-01-10,,,,,,,0.0,,,61.11,62092.0,,50669.315,,
13788,Bermuda,BMU,2021-01-11,,,,,,,,,,61.11,62092.0,,50669.315,,
13789,Bermuda,BMU,2021-01-12,,,,,,,,,,61.11,62092.0,,50669.315,,
13790,Bermuda,BMU,2021-01-13,,,,,,,,,,57.41,62092.0,,50669.315,,
13791,Bermuda,BMU,2021-01-14,,,,,,,,,,57.41,62092.0,,50669.315,,
13792,Bermuda,BMU,2021-01-15,,,,,,,,,,57.41,62092.0,,50669.315,,
13793,Bermuda,BMU,2021-01-16,,,,,,,2.68,,,57.41,62092.0,,50669.315,,
13794,Bermuda,BMU,2021-01-17,,,,,,,,,,57.41,62092.0,,50669.315,,
13795,Bermuda,BMU,2021-01-18,,,,,,,,,,57.41,62092.0,,50669.315,,
13796,Bermuda,BMU,2021-01-19,,,,,,,,,,57.41,62092.0,,50669.315,,
13797,Bermuda,BMU,2021-01-20,,,,,,,,,,57.41,62092.0,,50669.315,,
13798,Bermuda,BMU,2021-01-21,,,,,,,,,,50.93,62092.0,,50669.315,,
13799,Bermuda,BMU,2021-01-22,,,,,,,,,,50.93,62092.0,,50669.315,,
13800,Bermuda,BMU,2021-01-23,,,,,,,4.72,,,50.93,62092.0,,50669.315,,
13801,Bermuda,BMU,2021-01-24,,,,,,,,,,50.93,62092.0,,50669.315,,
13802,Bermuda,BMU,2021-01-25,,,,,,,,,,50.93,62092.0,,50669.315,,
13803,Bermuda,BMU,2021-01-26,,,,,,,,,,50.93,62092.0,,50669.315,,
13804,Bermuda,BMU,2021-01-27,,,,,,,,,,50.93,62092.0,,50669.315,,
13805,Bermuda,BMU,2021-01-28,,,,,,,,,,50.93,62092.0,,50669.315,,
13806,Bermuda,BMU,2021-01-29,,,,,,,,,,50.93,62092.0,,50669.315,,
13807,Bermuda,BMU,2021-01-30,,,,,,,7.89,,,50.93,62092.0,,50669.315,,
13808,Bermuda,BMU,2021-01-31,,,,,,,,,,50.93,62092.0,,50669.315,,
13809,Bermuda,BMU,2021-02-01,,,,,,,,,,50.93,62092.0,,50669.315,,
13810,Bermuda,BMU,2021-02-02,,,,,,,,,,50.93,62092.0,,50669.315,,
13811,Bermuda,BMU,2021-02-03,,,,,,,,,,50.93,62092.0,,50669.315,,
13812,Bermuda,BMU,2021-02-04,,,,,,,,,,50.93,62092.0,,50669.315,,
13813,Bermuda,BMU,2021-02-05,,,,,,,,,,50.93,62092.0,,50669.315,,
13814,Bermuda,BMU,2021-02-06,,,,,,,12.09,2.56,,50.93,62092.0,,50669.315,,
13815,Bermuda,BMU,2021-02-07,,,,,,,,,,50.93,62092.0,,50669.315,,
13816,Bermuda,BMU,2021-02-08,,,,,,,,,,50.93,62092.0,,50669.315,,
13817,Bermuda,BMU,2021-02-09,,,,,,,13.53,2.58,,50.93,62092.0,,50669.315,,
13818,Bermuda,BMU,2021-02-10,,,,,,,,,,50.93,62092.0,,50669.315,,
13819,Bermuda,BMU,2021-02-11,,,,,,,,,,50.93,62092.0,,50669.315,,
13820,Bermuda,BMU,2021-02-12,,,,,,,,,,50.93,62092.0,,50669.315,,
13821,Bermuda,BMU,2021-02-13,,,,,,,,,,50.93,62092.0,,50669.315,,
13822,Bermuda,BMU,2021-02-14,,,,,,,,,,50.93,62092.0,,50669.315,,
13823,Bermuda,BMU,2021-02-15,,,,,,,,,,50.93,62092.0,,50669.315,,
13824,Bermuda,BMU,2021-02-16,,,,,,,,,,47.22,62092.0,,50669.315,,
13825,Bermuda,BMU,2021-02-17,,,,,,,,,,47.22,62092.0,,50669.315,,
13826,Bermuda,BMU,2021-02-18,,,,,,,,,,47.22,62092.0,,50669.315,,
13827,Bermuda,BMU,2021-02-19,,,,,,,,,,47.22,62092.0,,50669.315,,
13828,Bermuda,BMU,2021-02-20,,,,,,,,,,47.22,62092.0,,50669.315,,
13829,Bermuda,BMU,2021-02-21,,,,,,,,,,47.22,62092.0,,50669.315,,
13830,Bermuda,BMU,2021-02-22,,,,,,,19.82,7.68,,47.22,62092.0,,50669.315,,
13831,Bermuda,BMU,2021-02-23,,,,,,,,,,47.22,62092.0,,50669.315,,
13832,Bermuda,BMU,2021-02-24,,,,,,,,,,47.22,62092.0,,50669.315,,
13833,Bermuda,BMU,2021-02-25,,,,,,,,,,47.22,62092.0,,50669.315,,
13834,Bermuda,BMU,2021-02-26,,,,,,,,,,47.22,62092.0,,50669.315,,
13835,Bermuda,BMU,2021-02-27,,,,,,,22.0,11.35,,47.22,62092.0,,50669.315,,
13836,Bermuda,BMU,2021-02-28,,,,,,,,,,47.22,62092.0,,50669.315,,
13837,Bermuda,BMU,2021-03-01,,,,,,,,,,47.22,62092.0,,50669.315,,
13838,Bermuda,BMU,2021-03-02,,,,,,,,,,47.22,62092.0,,50669.315,,
13839,Bermuda,BMU,2021-03-03,,,,,,,24.63,13.92,,50.93,62092.0,,50669.315,,
13840,Bermuda,BMU,2021-03-04,,,,,,,,,,50.93,62092.0,,50669.315,,
13841,Bermuda,BMU,2021-03-05,,,,,,,,,,50.93,62092.0,,50669.315,,
13842,Bermuda,BMU,2021-03-06,,,,,,,,,,50.93,62092.0,,50669.315,,
13843,Bermuda,BMU,2021-03-07,,,,,,,,,,50.93,62092.0,,50669.315,,
13844,Bermuda,BMU,2021-03-08,,,,,,,,,,50.93,62092.0,,50669.315,,
13845,Bermuda,BMU,2021-03-09,,,,,,,,,,50.93,62092.0,,50669.315,,
13846,Bermuda,BMU,2021-03-10,,,,,,,28.01,16.64,,50.93,62092.0,,50669.315,,
13847,Bermuda,BMU,2021-03-11,,,,,,,,,,50.93,62092.0,,50669.315,,
13848,Bermuda,BMU,2021-03-12,,,,,,,,,,50.93,62092.0,,50669.315,,
13849,Bermuda,BMU,2021-03-13,,,,,,,,,,50.93,62092.0,,50669.315,,
13850,Bermuda,BMU,2021-03-14,,,,,,,,,,50.93,62092.0,,50669.315,,
13851,Bermuda,BMU,2021-03-15,,,,,,,30.29,18.8,,50.93,62092.0,,50669.315,,
13852,Bermuda,BMU,2021-03-16,,,,,,,,,,50.93,62092.0,,50669.315,,
13853,Bermuda,BMU,2021-03-17,,,,,,,,,,50.93,62092.0,,50669.315,,
13854,Bermuda,BMU,2021-03-18,,,,,,,,,,50.93,62092.0,,50669.315,,
13855,Bermuda,BMU,2021-03-19,,,,,,,,,,50.93,62092.0,,50669.315,,
13856,Bermuda,BMU,2021-03-20,,,,,,,,,,50.93,62092.0,,50669.315,,
13857,Bermuda,BMU,2021-03-21,,,,,,,,,,54.63,62092.0,,50669.315,,
13858,Bermuda,BMU,2021-03-22,,,,,,,33.9,21.19,,54.63,62092.0,,50669.315,,
13859,Bermuda,BMU,2021-03-23,,,,,,,,,,54.63,62092.0,,50669.315,,
13860,Bermuda,BMU,2021-03-24,,,,,,,,,,54.63,62092.0,,50669.315,,
13861,Bermuda,BMU,2021-03-25,,,,,,,,,,54.63,62092.0,,50669.315,,
13862,Bermuda,BMU,2021-03-26,,,,,,,,,,54.63,62092.0,,50669.315,,
13863,Bermuda,BMU,2021-03-27,,,,,,,36.1,24.76,,54.63,62092.0,,50669.315,,
13864,Bermuda,BMU,2021-03-28,,,,,,,,,,74.07,62092.0,,50669.315,,
13865,Bermuda,BMU,2021-03-29,,,,,,,,,,74.07,62092.0,,50669.315,,
13866,Bermuda,BMU,2021-03-30,,,,,,,,,,74.07,62092.0,,50669.315,,
13867,Bermuda,BMU,2021-03-31,,,,,,,,,,74.07,62092.0,,50669.315,,
13868,Bermuda,BMU,2021-04-01,,,,,,,,,,74.07,62092.0,,50669.315,,
13869,Bermuda,BMU,2021-04-02,,,,,,,,,,74.07,62092.0,,50669.315,,
13870,Bermuda,BMU,2021-04-03,,,,,,,,,,74.07,62092.0,,50669.315,,
13871,Bermuda,BMU,2021-04-04,,,,,,,38.32,27.96,,74.07,62092.0,,50669.315,,
13872,Bermuda,BMU,2021-04-05,,,,,,,,,,74.07,62092.0,,50669.315,,
13873,Bermuda,BMU,2021-04-06,,,,,,,,,,74.07,62092.0,,50669.315,,
13874,Bermuda,BMU,2021-04-07,,,,,,,,,,74.07,62092.0,,50669.315,,
13875,Bermuda,BMU,2021-04-08,,,,,,,,,,74.07,62092.0,,50669.315,,
13876,Bermuda,BMU,2021-04-09,,,,,,,,,,79.63,62092.0,,50669.315,,
13877,Bermuda,BMU,2021-04-10,,,,,,,41.52,32.18,,79.63,62092.0,,50669.315,,
13878,Bermuda,BMU,2021-04-11,,,,,,,,,,74.07,62092.0,,50669.315,,
13879,Bermuda,BMU,2021-04-12,,,,,,,,,,74.07,62092.0,,50669.315,,
13880,Bermuda,BMU,2021-04-13,,,,,,,,,,79.63,62092.0,,50669.315,,
13881,Bermuda,BMU,2021-04-14,,,,,,,,,,79.63,62092.0,,50669.315,,
13882,Bermuda,BMU,2021-04-15,,,,,,,,,,74.07,62092.0,,50669.315,,
13883,Bermuda,BMU,2021-04-16,,,,,,,,,,74.07,62092.0,,50669.315,,
13884,Bermuda,BMU,2021-04-17,,,,,,,,,,74.07,62092.0,,50669.315,,
13885,Bermuda,BMU,2021-04-18,,,,,,,,,,74.07,62092.0,,50669.315,,
13886,Bermuda,BMU,2021-04-19,,,,,,,48.47,35.82,,74.07,62092.0,,50669.315,,
13887,Bermuda,BMU,2021-04-20,,,,,,,,,,70.37,62092.0,,50669.315,,
13888,Bermuda,BMU,2021-04-21,,,,,,,,,,70.37,62092.0,,50669.315,,
13889,Bermuda,BMU,2021-04-22,,,,,,,,,,70.37,62092.0,,50669.315,,
13890,Bermuda,BMU,2021-04-23,,,,,,,,,,70.37,62092.0,,50669.315,,
13891,Bermuda,BMU,2021-04-24,,,,,,,,,,70.37,62092.0,,50669.315,,
13892,Bermuda,BMU,2021-04-25,,,,,,,,,,70.37,62092.0,,50669.315,,
13893,Bermuda,BMU,2021-04-26,,,,,,,51.74,38.29,,70.37,62092.0,,50669.315,,
13894,Bermuda,BMU,2021-04-27,,,,,,,,,,70.37,62092.0,,50669.315,,
13895,Bermuda,BMU,2021-04-28,,,,,,,,,,70.37,62092.0,,50669.315,,
13896,Bermuda,BMU,2021-04-29,,,,,,,,,,70.37,62092.0,,50669.315,,
13897,Bermuda,BMU,2021-04-30,,,,,,,,,,70.37,62092.0,,50669.315,,
13898,Bermuda,BMU,2021-05-01,,,,,,,,,,70.37,62092.0,,50669.315,,
13899,Bermuda,BMU,2021-05-02,,,,,,,52.95,40.61,,70.37,62092.0,,50669.315,,
13900,Bermuda,BMU,2021-05-03,,,,,,,,,,70.37,62092.0,,50669.315,,
13901,Bermuda,BMU,2021-05-04,,,,,,,,,,70.37,62092.0,,50669.315,,
13902,Bermuda,BMU,2021-05-05,,,,,,,,,,70.37,62092.0,,50669.315,,
13903,Bermuda,BMU,2021-05-06,,,,,,,,,,70.37,62092.0,,50669.315,,
13904,Bermuda,BMU,2021-05-07,,,,,,,,,,70.37,62092.0,,50669.315,,
13905,Bermuda,BMU,2021-05-08,,,,,,,,,,70.37,62092.0,,50669.315,,
13906,Bermuda,BMU,2021-05-09,,,,,,,,,,53.7,62092.0,,50669.315,,
13907,Bermuda,BMU,2021-05-10,,,,,,,,,,53.7,62092.0,,50669.315,,
13908,Bermuda,BMU,2021-05-11,,,,,,,,,,53.7,62092.0,,50669.315,,
13909,Bermuda,BMU,2021-05-12,,,,,,,56.31,46.75,,53.7,62092.0,,50669.315,,
13910,Bermuda,BMU,2021-05-13,,,,,,,,,,53.7,62092.0,,50669.315,,
13911,Bermuda,BMU,2021-05-14,,,,,,,,,,53.7,62092.0,,50669.315,,
13912,Bermuda,BMU,2021-05-15,,,,,,,,,,53.7,62092.0,,50669.315,,
13913,Bermuda,BMU,2021-05-16,,,,,,,,,,53.7,62092.0,,50669.315,,
13914,Bermuda,BMU,2021-05-17,,,,,,,56.87,50.33,,53.7,62092.0,,50669.315,,
13915,Bermuda,BMU,2021-05-18,,,,,,,,,,53.7,62092.0,,50669.315,,
13916,Bermuda,BMU,2021-05-19,,,,,,,,,,53.7,62092.0,,50669.315,,
