,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
16693,Brazil,BRA,2020-02-26,0.005,0.005,,,,,,,,5.56,213993441.0,33.5,14103.452,2.2,0.765
16694,Brazil,BRA,2020-02-27,0.005,0.0,,,,,,,,5.56,213993441.0,33.5,14103.452,2.2,0.765
16695,Brazil,BRA,2020-02-28,0.005,0.0,,,,,,,,5.56,213993441.0,33.5,14103.452,2.2,0.765
16696,Brazil,BRA,2020-02-29,0.009000000000000001,0.005,,,,,,,,5.56,213993441.0,33.5,14103.452,2.2,0.765
16697,Brazil,BRA,2020-03-01,0.009000000000000001,0.0,,,,,,,,5.56,213993441.0,33.5,14103.452,2.2,0.765
16698,Brazil,BRA,2020-03-02,0.009000000000000001,0.0,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16699,Brazil,BRA,2020-03-03,0.009000000000000001,0.0,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16700,Brazil,BRA,2020-03-04,0.019,0.009000000000000001,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16701,Brazil,BRA,2020-03-05,0.019,0.0,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16702,Brazil,BRA,2020-03-06,0.061,0.042,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16703,Brazil,BRA,2020-03-07,0.061,0.0,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16704,Brazil,BRA,2020-03-08,0.09300000000000001,0.033,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16705,Brazil,BRA,2020-03-09,0.11699999999999999,0.023,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16706,Brazil,BRA,2020-03-10,0.145,0.027999999999999997,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16707,Brazil,BRA,2020-03-11,0.17800000000000002,0.033,,,,,,,,11.11,213993441.0,33.5,14103.452,2.2,0.765
16708,Brazil,BRA,2020-03-12,0.243,0.065,,,,,,,,28.7,213993441.0,33.5,14103.452,2.2,0.765
16709,Brazil,BRA,2020-03-13,0.706,0.46299999999999997,,,,,,,,37.96,213993441.0,33.5,14103.452,2.2,0.765
16710,Brazil,BRA,2020-03-14,0.706,0.0,,,,,,,,42.13,213993441.0,33.5,14103.452,2.2,0.765
16711,Brazil,BRA,2020-03-15,0.757,0.051,,,,,,,,42.13,213993441.0,33.5,14103.452,2.2,0.765
16712,Brazil,BRA,2020-03-16,0.935,0.17800000000000002,,,,,,,,42.13,213993441.0,33.5,14103.452,2.2,0.765
16713,Brazil,BRA,2020-03-17,1.5,0.565,0.005,0.005,,,,,,57.87,213993441.0,33.5,14103.452,2.2,0.765
16714,Brazil,BRA,2020-03-18,1.7380000000000002,0.23800000000000002,0.013999999999999999,0.009000000000000001,,,,,,60.65,213993441.0,33.5,14103.452,2.2,0.765
16715,Brazil,BRA,2020-03-19,2.9019999999999997,1.1640000000000001,0.027999999999999997,0.013999999999999999,,,,,,66.2,213993441.0,33.5,14103.452,2.2,0.765
16716,Brazil,BRA,2020-03-20,3.7060000000000004,0.804,0.051,0.023,,,,,,66.2,213993441.0,33.5,14103.452,2.2,0.765
16717,Brazil,BRA,2020-03-21,4.771,1.065,0.07,0.019,,,,,,71.76,213993441.0,33.5,14103.452,2.2,0.765
16718,Brazil,BRA,2020-03-22,7.225,2.4530000000000003,0.11699999999999999,0.047,,,,,,71.76,213993441.0,33.5,14103.452,2.2,0.765
16719,Brazil,BRA,2020-03-23,8.991,1.766,0.159,0.042,,,,,,71.76,213993441.0,33.5,14103.452,2.2,0.765
16720,Brazil,BRA,2020-03-24,10.5,1.5090000000000001,0.215,0.055999999999999994,,,,,,71.76,213993441.0,33.5,14103.452,2.2,0.765
16721,Brazil,BRA,2020-03-25,11.935,1.435,0.276,0.061,,,,,,71.76,213993441.0,33.5,14103.452,2.2,0.765
16722,Brazil,BRA,2020-03-26,13.949000000000002,2.0140000000000002,0.36,0.084,,,,,,71.76,213993441.0,33.5,14103.452,2.2,0.765
16723,Brazil,BRA,2020-03-27,15.968,2.019,0.43,0.07,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16724,Brazil,BRA,2020-03-28,18.244,2.276,0.519,0.08900000000000001,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16725,Brazil,BRA,2020-03-29,19.887999999999998,1.645,0.636,0.11699999999999999,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16726,Brazil,BRA,2020-03-30,21.398000000000003,1.5090000000000001,0.743,0.107,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16727,Brazil,BRA,2020-03-31,26.715999999999998,5.318,0.9390000000000001,0.196,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16728,Brazil,BRA,2020-04-01,31.945,5.229,1.122,0.182,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16729,Brazil,BRA,2020-04-02,37.59,5.645,1.514,0.39299999999999996,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16730,Brazil,BRA,2020-04-03,42.318999999999996,4.729,1.6780000000000002,0.16399999999999998,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16731,Brazil,BRA,2020-04-04,48.413000000000004,6.093999999999999,2.08,0.402,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16732,Brazil,BRA,2020-04-05,52.011,3.5980000000000003,2.271,0.192,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16733,Brazil,BRA,2020-04-06,56.82899999999999,4.8180000000000005,2.636,0.364,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16734,Brazil,BRA,2020-04-07,65.581,8.753,3.2060000000000004,0.57,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16735,Brazil,BRA,2020-04-08,75.563,9.982000000000001,3.827,0.622,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16736,Brazil,BRA,2020-04-09,84.545,8.982000000000001,4.439,0.612,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16737,Brazil,BRA,2020-04-10,91.76899999999999,7.225,4.939,0.5,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16738,Brazil,BRA,2020-04-11,96.85799999999999,5.0889999999999995,5.252000000000001,0.313,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16739,Brazil,BRA,2020-04-12,103.704,6.846,5.715,0.46299999999999997,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
16740,Brazil,BRA,2020-04-13,109.48899999999999,5.785,6.206,0.491,,,,,,74.54,213993441.0,33.5,14103.452,2.2,0.765
