,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
10677,Barbados,BRB,2020-03-17,6.9510000000000005,6.9510000000000005,,,,,,,,36.11,287708.0,39.8,16978.068,5.8,0.8140000000000001
10678,Barbados,BRB,2020-03-18,6.9510000000000005,0.0,,,,,,,,36.11,287708.0,39.8,16978.068,5.8,0.8140000000000001
10679,Barbados,BRB,2020-03-19,17.379,10.427,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10680,Barbados,BRB,2020-03-20,17.379,0.0,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10681,Barbados,BRB,2020-03-21,20.854,3.4760000000000004,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10682,Barbados,BRB,2020-03-22,48.66,27.805999999999997,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10683,Barbados,BRB,2020-03-23,59.088,10.427,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10684,Barbados,BRB,2020-03-24,62.563,3.4760000000000004,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10685,Barbados,BRB,2020-03-25,62.563,0.0,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10686,Barbados,BRB,2020-03-26,62.563,0.0,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10687,Barbados,BRB,2020-03-27,83.41799999999999,20.854,,,,,,,,47.22,287708.0,39.8,16978.068,5.8,0.8140000000000001
10688,Barbados,BRB,2020-03-28,90.369,6.9510000000000005,,,,,,,,62.04,287708.0,39.8,16978.068,5.8,0.8140000000000001
10689,Barbados,BRB,2020-03-29,114.7,24.33,,,,,,,,62.04,287708.0,39.8,16978.068,5.8,0.8140000000000001
10690,Barbados,BRB,2020-03-30,114.7,0.0,,,,,,,,62.04,287708.0,39.8,16978.068,5.8,0.8140000000000001
10691,Barbados,BRB,2020-03-31,118.175,3.4760000000000004,,,,,,,,62.04,287708.0,39.8,16978.068,5.8,0.8140000000000001
10692,Barbados,BRB,2020-04-01,118.175,0.0,,,,,,,,62.04,287708.0,39.8,16978.068,5.8,0.8140000000000001
10693,Barbados,BRB,2020-04-02,159.884,41.708999999999996,,,,,,,,62.04,287708.0,39.8,16978.068,5.8,0.8140000000000001
10694,Barbados,BRB,2020-04-03,177.263,17.379,,,,,,,,83.33,287708.0,39.8,16978.068,5.8,0.8140000000000001
10695,Barbados,BRB,2020-04-04,180.739,3.4760000000000004,,,,,,,,83.33,287708.0,39.8,16978.068,5.8,0.8140000000000001
10696,Barbados,BRB,2020-04-05,194.642,13.902999999999999,3.4760000000000004,3.4760000000000004,,,,,,83.33,287708.0,39.8,16978.068,5.8,0.8140000000000001
10697,Barbados,BRB,2020-04-06,208.545,13.902999999999999,6.9510000000000005,3.4760000000000004,,,,,,83.33,287708.0,39.8,16978.068,5.8,0.8140000000000001
10698,Barbados,BRB,2020-04-07,218.972,10.427,10.427,3.4760000000000004,,,,,,83.33,287708.0,39.8,16978.068,5.8,0.8140000000000001
10699,Barbados,BRB,2020-04-08,218.972,0.0,10.427,0.0,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10700,Barbados,BRB,2020-04-09,229.399,10.427,10.427,0.0,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10701,Barbados,BRB,2020-04-10,232.875,3.4760000000000004,13.902999999999999,3.4760000000000004,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10702,Barbados,BRB,2020-04-11,236.351,3.4760000000000004,13.902999999999999,0.0,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10703,Barbados,BRB,2020-04-12,246.778,10.427,13.902999999999999,0.0,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10704,Barbados,BRB,2020-04-13,250.25400000000002,3.4760000000000004,13.902999999999999,0.0,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10705,Barbados,BRB,2020-04-14,250.25400000000002,0.0,13.902999999999999,0.0,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10706,Barbados,BRB,2020-04-15,253.729,3.4760000000000004,17.379,3.4760000000000004,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10707,Barbados,BRB,2020-04-16,260.681,6.9510000000000005,17.379,0.0,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
10708,Barbados,BRB,2020-04-17,260.681,0.0,17.379,0.0,,,,,,88.89,287708.0,39.8,16978.068,5.8,0.8140000000000001
