,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
17500,Brunei,BRN,2020-03-09,2.265,2.265,,,,,,,,19.44,441532.0,32.4,71809.25099999999,2.7,0.838
17501,Brunei,BRN,2020-03-10,2.265,0.0,,,,,,,,19.44,441532.0,32.4,71809.25099999999,2.7,0.838
17502,Brunei,BRN,2020-03-11,24.913,22.648000000000003,,,,,,,,30.56,441532.0,32.4,71809.25099999999,2.7,0.838
17503,Brunei,BRN,2020-03-12,24.913,0.0,,,,,,,,30.56,441532.0,32.4,71809.25099999999,2.7,0.838
17504,Brunei,BRN,2020-03-13,83.79899999999999,58.886,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17505,Brunei,BRN,2020-03-14,90.594,6.795,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17506,Brunei,BRN,2020-03-15,113.242,22.648000000000003,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17507,Brunei,BRN,2020-03-16,122.301,9.059,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17508,Brunei,BRN,2020-03-17,126.831,4.53,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17509,Brunei,BRN,2020-03-18,154.009,27.178,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17510,Brunei,BRN,2020-03-19,169.863,15.854000000000001,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17511,Brunei,BRN,2020-03-20,176.658,6.795,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17512,Brunei,BRN,2020-03-21,187.982,11.324000000000002,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17513,Brunei,BRN,2020-03-22,199.30599999999998,11.324000000000002,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17514,Brunei,BRN,2020-03-23,206.101,6.795,,,,,,,,50.0,441532.0,32.4,71809.25099999999,2.7,0.838
17515,Brunei,BRN,2020-03-24,235.544,29.443,,,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17516,Brunei,BRN,2020-03-25,246.868,11.324000000000002,,,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17517,Brunei,BRN,2020-03-26,258.192,11.324000000000002,,,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17518,Brunei,BRN,2020-03-27,260.457,2.265,,,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17519,Brunei,BRN,2020-03-28,271.781,11.324000000000002,2.265,2.265,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17520,Brunei,BRN,2020-03-29,285.37,13.589,2.265,0.0,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17521,Brunei,BRN,2020-03-30,287.635,2.265,2.265,0.0,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17522,Brunei,BRN,2020-03-31,292.165,4.53,2.265,0.0,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17523,Brunei,BRN,2020-04-01,296.694,4.53,2.265,0.0,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
17524,Brunei,BRN,2020-04-02,301.224,4.53,2.265,0.0,,,,,,52.78,441532.0,32.4,71809.25099999999,2.7,0.838
