,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
14087,Bhutan,BTN,2020-03-06,1.2819999999999998,1.2819999999999998,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14088,Bhutan,BTN,2020-03-07,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14089,Bhutan,BTN,2020-03-08,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14090,Bhutan,BTN,2020-03-09,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14091,Bhutan,BTN,2020-03-10,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14092,Bhutan,BTN,2020-03-11,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14093,Bhutan,BTN,2020-03-12,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14094,Bhutan,BTN,2020-03-13,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14095,Bhutan,BTN,2020-03-14,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14096,Bhutan,BTN,2020-03-15,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14097,Bhutan,BTN,2020-03-16,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14098,Bhutan,BTN,2020-03-17,1.2819999999999998,0.0,,,,,,,,31.48,779900.0,28.6,8708.597,1.7,0.654
14099,Bhutan,BTN,2020-03-18,1.2819999999999998,0.0,,,,,,,,33.33,779900.0,28.6,8708.597,1.7,0.654
14100,Bhutan,BTN,2020-03-19,1.2819999999999998,0.0,,,,,,,,33.33,779900.0,28.6,8708.597,1.7,0.654
14101,Bhutan,BTN,2020-03-20,2.5639999999999996,1.2819999999999998,,,,,,,,33.33,779900.0,28.6,8708.597,1.7,0.654
14102,Bhutan,BTN,2020-03-21,2.5639999999999996,0.0,,,,,,,,33.33,779900.0,28.6,8708.597,1.7,0.654
14103,Bhutan,BTN,2020-03-22,2.5639999999999996,0.0,,,,,,,,33.33,779900.0,28.6,8708.597,1.7,0.654
14104,Bhutan,BTN,2020-03-23,2.5639999999999996,0.0,,,,,,,,38.89,779900.0,28.6,8708.597,1.7,0.654
14105,Bhutan,BTN,2020-03-24,2.5639999999999996,0.0,,,,,,,,38.89,779900.0,28.6,8708.597,1.7,0.654
14106,Bhutan,BTN,2020-03-25,2.5639999999999996,0.0,,,,,,,,38.89,779900.0,28.6,8708.597,1.7,0.654
14107,Bhutan,BTN,2020-03-26,2.5639999999999996,0.0,,,,,,,,42.59,779900.0,28.6,8708.597,1.7,0.654
14108,Bhutan,BTN,2020-03-27,3.847,1.2819999999999998,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14109,Bhutan,BTN,2020-03-28,3.847,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14110,Bhutan,BTN,2020-03-29,5.129,1.2819999999999998,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14111,Bhutan,BTN,2020-03-30,5.129,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14112,Bhutan,BTN,2020-03-31,5.129,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14113,Bhutan,BTN,2020-04-01,5.129,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14114,Bhutan,BTN,2020-04-02,6.4110000000000005,1.2819999999999998,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14115,Bhutan,BTN,2020-04-03,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14116,Bhutan,BTN,2020-04-04,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14117,Bhutan,BTN,2020-04-05,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14118,Bhutan,BTN,2020-04-06,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14119,Bhutan,BTN,2020-04-07,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14120,Bhutan,BTN,2020-04-08,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14121,Bhutan,BTN,2020-04-09,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14122,Bhutan,BTN,2020-04-10,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14123,Bhutan,BTN,2020-04-11,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14124,Bhutan,BTN,2020-04-12,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14125,Bhutan,BTN,2020-04-13,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14126,Bhutan,BTN,2020-04-14,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14127,Bhutan,BTN,2020-04-15,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14128,Bhutan,BTN,2020-04-16,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14129,Bhutan,BTN,2020-04-17,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14130,Bhutan,BTN,2020-04-18,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14131,Bhutan,BTN,2020-04-19,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14132,Bhutan,BTN,2020-04-20,6.4110000000000005,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14133,Bhutan,BTN,2020-04-21,7.693,1.2819999999999998,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14134,Bhutan,BTN,2020-04-22,7.693,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14135,Bhutan,BTN,2020-04-23,8.976,1.2819999999999998,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14136,Bhutan,BTN,2020-04-24,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14137,Bhutan,BTN,2020-04-25,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14138,Bhutan,BTN,2020-04-26,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14139,Bhutan,BTN,2020-04-27,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14140,Bhutan,BTN,2020-04-28,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14141,Bhutan,BTN,2020-04-29,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14142,Bhutan,BTN,2020-04-30,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14143,Bhutan,BTN,2020-05-01,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14144,Bhutan,BTN,2020-05-02,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
14145,Bhutan,BTN,2020-05-03,8.976,0.0,,,,,,,,83.33,779900.0,28.6,8708.597,1.7,0.654
