,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
21237,Canada,CAN,2020-01-26,0.026000000000000002,0.026000000000000002,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21238,Canada,CAN,2020-01-27,0.026000000000000002,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21239,Canada,CAN,2020-01-28,0.053,0.026000000000000002,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21240,Canada,CAN,2020-01-29,0.053,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21241,Canada,CAN,2020-01-30,0.053,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21242,Canada,CAN,2020-01-31,0.105,0.053,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21243,Canada,CAN,2020-02-01,0.105,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21244,Canada,CAN,2020-02-02,0.105,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21245,Canada,CAN,2020-02-03,0.105,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21246,Canada,CAN,2020-02-04,0.105,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21247,Canada,CAN,2020-02-05,0.131,0.026000000000000002,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21248,Canada,CAN,2020-02-06,0.131,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21249,Canada,CAN,2020-02-07,0.184,0.053,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21250,Canada,CAN,2020-02-08,0.184,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21251,Canada,CAN,2020-02-09,0.184,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
21252,Canada,CAN,2020-02-10,0.184,0.0,,,,,,,,2.78,38067913.0,41.4,44017.59099999999,2.5,0.929
