,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
116084,Switzerland,CHE,2020-02-25,0.115,0.115,,,,,,,,8.33,8715494.0,43.1,57410.166,4.53,0.955
116085,Switzerland,CHE,2020-02-26,0.115,0.0,,,,,,,,8.33,8715494.0,43.1,57410.166,4.53,0.955
116086,Switzerland,CHE,2020-02-27,0.9179999999999999,0.8029999999999999,,,,,,,,13.89,8715494.0,43.1,57410.166,4.53,0.955
116087,Switzerland,CHE,2020-02-28,0.9179999999999999,0.0,,,,,,,,19.44,8715494.0,43.1,57410.166,4.53,0.955
116088,Switzerland,CHE,2020-02-29,2.065,1.147,,,,,,,,19.44,8715494.0,43.1,57410.166,4.53,0.955
116089,Switzerland,CHE,2020-03-01,3.0980000000000003,1.033,,,,,,,,19.44,8715494.0,43.1,57410.166,4.53,0.955
116090,Switzerland,CHE,2020-03-02,4.819,1.7209999999999999,,,,,,,,19.44,8715494.0,43.1,57410.166,4.53,0.955
116091,Switzerland,CHE,2020-03-03,6.425,1.6059999999999999,,,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116092,Switzerland,CHE,2020-03-04,10.325999999999999,3.9010000000000002,,,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116093,Switzerland,CHE,2020-03-05,13.08,2.7539999999999996,,,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116094,Switzerland,CHE,2020-03-06,24.554000000000002,11.474,0.115,0.115,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116095,Switzerland,CHE,2020-03-07,30.75,6.196000000000001,0.115,0.0,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116096,Switzerland,CHE,2020-03-08,38.667,7.917000000000001,0.22899999999999998,0.115,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116097,Switzerland,CHE,2020-03-09,42.912,4.245,0.22899999999999998,0.0,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116098,Switzerland,CHE,2020-03-10,56.336000000000006,13.424000000000001,0.574,0.344,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116099,Switzerland,CHE,2020-03-11,74.809,18.473,0.8029999999999999,0.22899999999999998,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116100,Switzerland,CHE,2020-03-12,74.809,0.0,1.147,0.344,,,,,,25.0,8715494.0,43.1,57410.166,4.53,0.955
116101,Switzerland,CHE,2020-03-13,130.687,55.876999999999995,1.262,0.115,,,,,,33.33,8715494.0,43.1,57410.166,4.53,0.955
116102,Switzerland,CHE,2020-03-14,155.929,25.241999999999997,1.6059999999999999,0.344,,,,,,33.33,8715494.0,43.1,57410.166,4.53,0.955
116103,Switzerland,CHE,2020-03-15,252.424,96.495,2.524,0.9179999999999999,,,,,,33.33,8715494.0,43.1,57410.166,4.53,0.955
116104,Switzerland,CHE,2020-03-16,252.424,0.0,3.786,1.262,,,,,,44.44,8715494.0,43.1,57410.166,4.53,0.955
116105,Switzerland,CHE,2020-03-17,309.793,57.369,4.59,0.8029999999999999,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116106,Switzerland,CHE,2020-03-18,347.42699999999996,37.634,5.507000000000001,0.9179999999999999,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116107,Switzerland,CHE,2020-03-19,467.55800000000005,120.131,6.655,1.147,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116108,Switzerland,CHE,2020-03-20,607.424,139.866,8.95,2.295,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116109,Switzerland,CHE,2020-03-21,754.404,146.98,11.244000000000002,2.295,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116110,Switzerland,CHE,2020-03-22,857.553,103.15,12.965,1.7209999999999999,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116111,Switzerland,CHE,2020-03-23,1009.122,151.569,16.178,3.213,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116112,Switzerland,CHE,2020-03-24,1133.269,124.147,18.473,2.295,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116113,Switzerland,CHE,2020-03-25,1250.302,117.03299999999999,22.489,4.016,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116114,Switzerland,CHE,2020-03-26,1355.1729999999998,104.87100000000001,27.308000000000003,4.819,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116115,Switzerland,CHE,2020-03-27,1483.335,128.16299999999998,31.324,4.016,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116116,Switzerland,CHE,2020-03-28,1615.055,131.719,37.749,6.425,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116117,Switzerland,CHE,2020-03-29,1701.453,86.398,43.141999999999996,5.393,,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116118,Switzerland,CHE,2020-03-30,1826.861,125.40899999999999,49.79600000000001,6.655,51.976000000000006,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116119,Switzerland,CHE,2020-03-31,1905.2279999999998,78.366,55.648,5.852,55.876999999999995,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116120,Switzerland,CHE,2020-04-01,2038.668,133.441,62.647,6.999,58.975,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116121,Switzerland,CHE,2020-04-02,2160.176,121.508,69.417,6.77,56.566,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116122,Switzerland,CHE,2020-04-03,2249.5570000000002,89.381,75.727,6.311,55.303999999999995,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116123,Switzerland,CHE,2020-04-04,2352.7070000000003,103.15,82.49700000000001,6.77,52.55,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116124,Switzerland,CHE,2020-04-05,2420.976,68.26899999999999,88.463,5.966,53.468,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116125,Switzerland,CHE,2020-04-06,2484.885,63.909,94.43,5.966,54.042,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116126,Switzerland,CHE,2020-04-07,2553.269,68.384,101.199,6.77,54.271,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
116127,Switzerland,CHE,2020-04-08,2671.105,117.836,108.542,7.343,52.321000000000005,,,,,73.15,8715494.0,43.1,57410.166,4.53,0.955
