,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
24685,China,CHN,2020-01-22,0.379,,0.012,,,,,,,26.39,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24686,China,CHN,2020-01-23,0.444,0.064,0.012,0.001,,,,,,44.91,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24687,China,CHN,2020-01-24,0.636,0.192,0.018000000000000002,0.006,,,,,,44.91,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24688,China,CHN,2020-01-25,0.97,0.33399999999999996,0.028999999999999998,0.011000000000000001,,,,,,47.69,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24689,China,CHN,2020-01-26,1.431,0.461,0.039,0.01,,,,,,69.91,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24690,China,CHN,2020-01-27,1.9869999999999999,0.555,0.057,0.018000000000000002,,,,,,69.91,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24691,China,CHN,2020-01-28,3.8089999999999997,1.8219999999999998,0.091,0.034,,,,,,69.91,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24692,China,CHN,2020-01-29,4.208,0.39899999999999997,0.092,0.001,,,,,,69.91,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24693,China,CHN,2020-01-30,5.63,1.422,0.11800000000000001,0.026000000000000002,,,,,,69.91,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24694,China,CHN,2020-01-31,6.779,1.149,0.147,0.028999999999999998,,,,,,69.91,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24695,China,CHN,2020-02-01,8.225,1.446,0.179,0.032,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24696,China,CHN,2020-02-02,11.505,3.28,0.25,0.071,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24697,China,CHN,2020-02-03,13.640999999999998,2.137,0.294,0.044000000000000004,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24698,China,CHN,2020-02-04,16.403,2.762,0.33899999999999997,0.045,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24699,China,CHN,2020-02-05,18.985,2.582,0.389,0.05,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24700,China,CHN,2020-02-06,21.162,2.177,0.43799999999999994,0.048,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24701,China,CHN,2020-02-07,23.601,2.439,0.496,0.059000000000000004,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24702,China,CHN,2020-02-08,25.473000000000003,1.8719999999999999,0.557,0.06,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24703,China,CHN,2020-02-09,27.558000000000003,2.086,0.626,0.069,,,,,,77.31,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24704,China,CHN,2020-02-10,29.3,1.742,0.7,0.07400000000000001,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24705,China,CHN,2020-02-11,30.7,1.399,0.769,0.069,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24706,China,CHN,2020-02-12,30.956999999999997,0.258,0.773,0.003,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24707,China,CHN,2020-02-13,41.43600000000001,10.478,0.9470000000000001,0.174,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24708,China,CHN,2020-02-14,45.909,4.473,1.052,0.105,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24709,China,CHN,2020-02-15,47.332,1.423,1.151,0.098,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24710,China,CHN,2020-02-16,48.785,1.453,1.222,0.071,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24711,China,CHN,2020-02-17,50.113,1.328,1.29,0.068,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24712,China,CHN,2020-02-18,51.342,1.229,1.386,0.096,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
24713,China,CHN,2020-02-19,51.623999999999995,0.282,1.464,0.078,,,,,,75.46,1444216102.0,38.7,15308.712,4.34,0.7609999999999999
