,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
26540,Congo,COG,2020-03-15,0.177,0.177,,,,,,,,11.11,5657017.0,19.0,4881.406,,0.574
26541,Congo,COG,2020-03-16,0.177,0.0,,,,,,,,11.11,5657017.0,19.0,4881.406,,0.574
26542,Congo,COG,2020-03-17,0.177,0.0,,,,,,,,11.11,5657017.0,19.0,4881.406,,0.574
26543,Congo,COG,2020-03-18,0.177,0.0,,,,,,,,11.11,5657017.0,19.0,4881.406,,0.574
26544,Congo,COG,2020-03-19,0.53,0.354,,,,,,,,11.11,5657017.0,19.0,4881.406,,0.574
26545,Congo,COG,2020-03-20,0.53,0.0,,,,,,,,11.11,5657017.0,19.0,4881.406,,0.574
26546,Congo,COG,2020-03-21,0.53,0.0,,,,,,,,16.67,5657017.0,19.0,4881.406,,0.574
26547,Congo,COG,2020-03-22,0.53,0.0,,,,,,,,16.67,5657017.0,19.0,4881.406,,0.574
26548,Congo,COG,2020-03-23,0.7070000000000001,0.177,,,,,,,,16.67,5657017.0,19.0,4881.406,,0.574
26549,Congo,COG,2020-03-24,0.7070000000000001,0.0,,,,,,,,16.67,5657017.0,19.0,4881.406,,0.574
26550,Congo,COG,2020-03-25,0.7070000000000001,0.0,,,,,,,,16.67,5657017.0,19.0,4881.406,,0.574
26551,Congo,COG,2020-03-26,0.7070000000000001,0.0,,,,,,,,16.67,5657017.0,19.0,4881.406,,0.574
26552,Congo,COG,2020-03-27,0.7070000000000001,0.0,,,,,,,,16.67,5657017.0,19.0,4881.406,,0.574
26553,Congo,COG,2020-03-28,0.7070000000000001,0.0,,,,,,,,80.56,5657017.0,19.0,4881.406,,0.574
26554,Congo,COG,2020-03-29,3.359,2.6519999999999997,,,,,,,,80.56,5657017.0,19.0,4881.406,,0.574
26555,Congo,COG,2020-03-30,3.359,0.0,,,,,,,,86.11,5657017.0,19.0,4881.406,,0.574
26556,Congo,COG,2020-03-31,3.359,0.0,,,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
26557,Congo,COG,2020-04-01,3.359,0.0,,,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
26558,Congo,COG,2020-04-02,3.889,0.53,0.354,0.354,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
26559,Congo,COG,2020-04-03,3.889,0.0,0.354,0.0,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
26560,Congo,COG,2020-04-04,3.889,0.0,0.354,0.0,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
26561,Congo,COG,2020-04-05,7.955,4.066,0.884,0.53,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
26562,Congo,COG,2020-04-06,7.955,0.0,0.884,0.0,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
26563,Congo,COG,2020-04-07,7.955,0.0,0.884,0.0,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
26564,Congo,COG,2020-04-08,7.955,0.0,0.884,0.0,,,,,,97.22,5657017.0,19.0,4881.406,,0.574
