,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
25351,Colombia,COL,2020-03-06,0.02,0.02,,,,,,,,12.04,51265841.0,32.2,13254.948999999999,1.71,0.767
25352,Colombia,COL,2020-03-07,0.02,0.0,,,,,,,,12.04,51265841.0,32.2,13254.948999999999,1.71,0.767
25353,Colombia,COL,2020-03-08,0.02,0.0,,,,,,,,12.04,51265841.0,32.2,13254.948999999999,1.71,0.767
25354,Colombia,COL,2020-03-09,0.02,0.0,,,,,,,,14.81,51265841.0,32.2,13254.948999999999,1.71,0.767
25355,Colombia,COL,2020-03-10,0.059000000000000004,0.039,,,,,,,,14.81,51265841.0,32.2,13254.948999999999,1.71,0.767
25356,Colombia,COL,2020-03-11,0.17600000000000002,0.11699999999999999,,,,,,,,14.81,51265841.0,32.2,13254.948999999999,1.71,0.767
25357,Colombia,COL,2020-03-12,0.17600000000000002,0.0,,,,,,,,34.26,51265841.0,32.2,13254.948999999999,1.71,0.767
25358,Colombia,COL,2020-03-13,0.254,0.078,,,,,,,,34.26,51265841.0,32.2,13254.948999999999,1.71,0.767
25359,Colombia,COL,2020-03-14,0.429,0.17600000000000002,,,,,,,,34.26,51265841.0,32.2,13254.948999999999,1.71,0.767
25360,Colombia,COL,2020-03-15,0.6629999999999999,0.23399999999999999,,,,,,,,34.26,51265841.0,32.2,13254.948999999999,1.71,0.767
25361,Colombia,COL,2020-03-16,1.112,0.449,,,,,,,,45.37,51265841.0,32.2,13254.948999999999,1.71,0.767
25362,Colombia,COL,2020-03-17,1.463,0.35100000000000003,,,,,,,,50.93,51265841.0,32.2,13254.948999999999,1.71,0.767
25363,Colombia,COL,2020-03-18,1.99,0.527,,,,,,,,50.93,51265841.0,32.2,13254.948999999999,1.71,0.767
25364,Colombia,COL,2020-03-19,2.1069999999999998,0.11699999999999999,,,,,,,,50.93,51265841.0,32.2,13254.948999999999,1.71,0.767
25365,Colombia,COL,2020-03-20,3.082,0.975,,,,,,,,50.93,51265841.0,32.2,13254.948999999999,1.71,0.767
25366,Colombia,COL,2020-03-21,3.823,0.741,,,,,,,,50.93,51265841.0,32.2,13254.948999999999,1.71,0.767
25367,Colombia,COL,2020-03-22,4.506,0.6829999999999999,0.039,0.039,,,,,,50.93,51265841.0,32.2,13254.948999999999,1.71,0.767
25368,Colombia,COL,2020-03-23,5.403,0.897,0.059000000000000004,0.02,,,,,,53.7,51265841.0,32.2,13254.948999999999,1.71,0.767
25369,Colombia,COL,2020-03-24,7.372999999999999,1.97,0.059000000000000004,0.0,,,,,,53.7,51265841.0,32.2,13254.948999999999,1.71,0.767
25370,Colombia,COL,2020-03-25,9.168,1.795,0.078,0.02,,,,,,87.96,51265841.0,32.2,13254.948999999999,1.71,0.767
25371,Colombia,COL,2020-03-26,9.578,0.41,0.11699999999999999,0.039,,,,,,87.96,51265841.0,32.2,13254.948999999999,1.71,0.767
25372,Colombia,COL,2020-03-27,10.514000000000001,0.9359999999999999,0.11699999999999999,0.0,,,,,,87.96,51265841.0,32.2,13254.948999999999,1.71,0.767
