,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
21899,Cape Verde,CPV,2020-03-20,1.78,1.78,,,,,,,,43.52,561901.0,25.7,6222.554,2.1,0.665
21900,Cape Verde,CPV,2020-03-21,5.3389999999999995,3.5589999999999997,,,,,,,,43.52,561901.0,25.7,6222.554,2.1,0.665
21901,Cape Verde,CPV,2020-03-22,5.3389999999999995,0.0,,,,,,,,43.52,561901.0,25.7,6222.554,2.1,0.665
21902,Cape Verde,CPV,2020-03-23,5.3389999999999995,0.0,,,,,,,,50.93,561901.0,25.7,6222.554,2.1,0.665
21903,Cape Verde,CPV,2020-03-24,5.3389999999999995,0.0,1.78,1.78,,,,,,50.93,561901.0,25.7,6222.554,2.1,0.665
21904,Cape Verde,CPV,2020-03-25,7.119,1.78,1.78,0.0,,,,,,50.93,561901.0,25.7,6222.554,2.1,0.665
21905,Cape Verde,CPV,2020-03-26,7.119,0.0,1.78,0.0,,,,,,50.93,561901.0,25.7,6222.554,2.1,0.665
21906,Cape Verde,CPV,2020-03-27,8.898,1.78,1.78,0.0,,,,,,53.7,561901.0,25.7,6222.554,2.1,0.665
21907,Cape Verde,CPV,2020-03-28,8.898,0.0,1.78,0.0,,,,,,74.07,561901.0,25.7,6222.554,2.1,0.665
21908,Cape Verde,CPV,2020-03-29,10.677999999999999,1.78,1.78,0.0,,,,,,74.07,561901.0,25.7,6222.554,2.1,0.665
21909,Cape Verde,CPV,2020-03-30,10.677999999999999,0.0,1.78,0.0,,,,,,74.07,561901.0,25.7,6222.554,2.1,0.665
21910,Cape Verde,CPV,2020-03-31,10.677999999999999,0.0,1.78,0.0,,,,,,74.07,561901.0,25.7,6222.554,2.1,0.665
21911,Cape Verde,CPV,2020-04-01,10.677999999999999,0.0,1.78,0.0,,,,,,79.63,561901.0,25.7,6222.554,2.1,0.665
21912,Cape Verde,CPV,2020-04-02,10.677999999999999,0.0,1.78,0.0,,,,,,79.63,561901.0,25.7,6222.554,2.1,0.665
21913,Cape Verde,CPV,2020-04-03,10.677999999999999,0.0,1.78,0.0,,,,,,79.63,561901.0,25.7,6222.554,2.1,0.665
21914,Cape Verde,CPV,2020-04-04,12.458,1.78,1.78,0.0,,,,,,79.63,561901.0,25.7,6222.554,2.1,0.665
21915,Cape Verde,CPV,2020-04-05,12.458,0.0,1.78,0.0,,,,,,79.63,561901.0,25.7,6222.554,2.1,0.665
21916,Cape Verde,CPV,2020-04-06,12.458,0.0,1.78,0.0,,,,,,79.63,561901.0,25.7,6222.554,2.1,0.665
