,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
27321,Costa Rica,CRI,2020-03-06,0.195,0.195,,,,,,,,11.11,5139053.0,33.6,15524.995,1.13,0.81
27322,Costa Rica,CRI,2020-03-07,0.195,0.0,,,,,,,,11.11,5139053.0,33.6,15524.995,1.13,0.81
27323,Costa Rica,CRI,2020-03-08,0.973,0.778,,,,,,,,11.11,5139053.0,33.6,15524.995,1.13,0.81
27324,Costa Rica,CRI,2020-03-09,1.751,0.778,,,,,,,,11.11,5139053.0,33.6,15524.995,1.13,0.81
27325,Costa Rica,CRI,2020-03-10,1.751,0.0,,,,,,,,29.63,5139053.0,33.6,15524.995,1.13,0.81
27326,Costa Rica,CRI,2020-03-11,2.53,0.778,,,,,,,,29.63,5139053.0,33.6,15524.995,1.13,0.81
27327,Costa Rica,CRI,2020-03-12,4.281000000000001,1.751,,,,,,,,37.04,5139053.0,33.6,15524.995,1.13,0.81
27328,Costa Rica,CRI,2020-03-13,4.476,0.195,,,,,,,,37.04,5139053.0,33.6,15524.995,1.13,0.81
27329,Costa Rica,CRI,2020-03-14,5.059,0.584,,,,,,,,37.04,5139053.0,33.6,15524.995,1.13,0.81
27330,Costa Rica,CRI,2020-03-15,5.254,0.195,,,,,,,,37.04,5139053.0,33.6,15524.995,1.13,0.81
27331,Costa Rica,CRI,2020-03-16,6.811,1.557,,,,,,,,37.04,5139053.0,33.6,15524.995,1.13,0.81
27332,Costa Rica,CRI,2020-03-17,7.978,1.168,,,,,,,,62.96,5139053.0,33.6,15524.995,1.13,0.81
27333,Costa Rica,CRI,2020-03-18,9.729,1.751,,,,,,,,62.96,5139053.0,33.6,15524.995,1.13,0.81
27334,Costa Rica,CRI,2020-03-19,13.427,3.697,0.195,0.195,,,,,,62.96,5139053.0,33.6,15524.995,1.13,0.81
27335,Costa Rica,CRI,2020-03-20,17.317999999999998,3.892,0.195,0.0,,,,,,62.96,5139053.0,33.6,15524.995,1.13,0.81
27336,Costa Rica,CRI,2020-03-21,22.767,5.4479999999999995,0.389,0.195,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27337,Costa Rica,CRI,2020-03-22,26.075,3.3080000000000003,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27338,Costa Rica,CRI,2020-03-23,30.745,4.67,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27339,Costa Rica,CRI,2020-03-24,34.442,3.697,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27340,Costa Rica,CRI,2020-03-25,39.111999999999995,4.67,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27341,Costa Rica,CRI,2020-03-26,44.95,5.837999999999999,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27342,Costa Rica,CRI,2020-03-27,51.177,6.227,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27343,Costa Rica,CRI,2020-03-28,57.403999999999996,6.227,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27344,Costa Rica,CRI,2020-03-29,61.101000000000006,3.697,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27345,Costa Rica,CRI,2020-03-30,64.214,3.113,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27346,Costa Rica,CRI,2020-03-31,67.52199999999999,3.3080000000000003,0.389,0.0,,,,,,71.3,5139053.0,33.6,15524.995,1.13,0.81
27347,Costa Rica,CRI,2020-04-01,72.971,5.4479999999999995,0.389,0.0,,,,,,75.0,5139053.0,33.6,15524.995,1.13,0.81
27348,Costa Rica,CRI,2020-04-02,77.057,4.086,0.389,0.0,,,,,,75.0,5139053.0,33.6,15524.995,1.13,0.81
27349,Costa Rica,CRI,2020-04-03,80.949,3.892,0.389,0.0,,,,,,75.0,5139053.0,33.6,15524.995,1.13,0.81
27350,Costa Rica,CRI,2020-04-04,84.646,3.697,0.389,0.0,,,,,,75.0,5139053.0,33.6,15524.995,1.13,0.81
27351,Costa Rica,CRI,2020-04-05,88.34299999999999,3.697,0.389,0.0,,,,,,75.0,5139053.0,33.6,15524.995,1.13,0.81
27352,Costa Rica,CRI,2020-04-06,90.87299999999999,2.53,0.389,0.0,,,,,,75.0,5139053.0,33.6,15524.995,1.13,0.81
27353,Costa Rica,CRI,2020-04-07,93.986,3.113,0.389,0.0,,,,,,75.0,5139053.0,33.6,15524.995,1.13,0.81
