,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
29192,Cuba,CUB,2020-03-12,0.265,0.265,,,,,,,,13.89,11317498.0,43.1,,5.2,0.7829999999999999
29193,Cuba,CUB,2020-03-13,0.353,0.08800000000000001,,,,,,,,13.89,11317498.0,43.1,,5.2,0.7829999999999999
29194,Cuba,CUB,2020-03-14,0.353,0.0,,,,,,,,13.89,11317498.0,43.1,,5.2,0.7829999999999999
29195,Cuba,CUB,2020-03-15,0.353,0.0,,,,,,,,13.89,11317498.0,43.1,,5.2,0.7829999999999999
29196,Cuba,CUB,2020-03-16,0.353,0.0,,,,,,,,13.89,11317498.0,43.1,,5.2,0.7829999999999999
29197,Cuba,CUB,2020-03-17,0.442,0.08800000000000001,,,,,,,,13.89,11317498.0,43.1,,5.2,0.7829999999999999
29198,Cuba,CUB,2020-03-18,0.619,0.177,0.08800000000000001,0.08800000000000001,,,,,,13.89,11317498.0,43.1,,5.2,0.7829999999999999
29199,Cuba,CUB,2020-03-19,0.972,0.353,0.08800000000000001,0.0,,,,,,13.89,11317498.0,43.1,,5.2,0.7829999999999999
29200,Cuba,CUB,2020-03-20,1.4140000000000001,0.442,0.08800000000000001,0.0,,,,,,30.56,11317498.0,43.1,,5.2,0.7829999999999999
29201,Cuba,CUB,2020-03-21,1.8559999999999999,0.442,0.08800000000000001,0.0,,,,,,30.56,11317498.0,43.1,,5.2,0.7829999999999999
29202,Cuba,CUB,2020-03-22,3.093,1.237,0.08800000000000001,0.0,,,,,,30.56,11317498.0,43.1,,5.2,0.7829999999999999
29203,Cuba,CUB,2020-03-23,3.534,0.442,0.08800000000000001,0.0,,,,,,41.67,11317498.0,43.1,,5.2,0.7829999999999999
29204,Cuba,CUB,2020-03-24,4.2410000000000005,0.7070000000000001,0.08800000000000001,0.0,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29205,Cuba,CUB,2020-03-25,5.0360000000000005,0.795,0.08800000000000001,0.0,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29206,Cuba,CUB,2020-03-26,5.92,0.884,0.177,0.08800000000000001,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29207,Cuba,CUB,2020-03-27,7.069,1.149,0.177,0.0,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29208,Cuba,CUB,2020-03-28,10.515,3.446,0.265,0.08800000000000001,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29209,Cuba,CUB,2020-03-29,12.282,1.767,0.265,0.0,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29210,Cuba,CUB,2020-03-30,15.020999999999999,2.739,0.353,0.08800000000000001,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29211,Cuba,CUB,2020-03-31,16.435,1.4140000000000001,0.53,0.177,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29212,Cuba,CUB,2020-04-01,18.732,2.2969999999999997,0.53,0.0,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29213,Cuba,CUB,2020-04-02,20.588,1.8559999999999999,0.53,0.0,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29214,Cuba,CUB,2020-04-03,23.769000000000002,3.181,0.53,0.0,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29215,Cuba,CUB,2020-04-04,25.447,1.679,0.53,0.0,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29216,Cuba,CUB,2020-04-05,28.275,2.827,0.7070000000000001,0.177,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29217,Cuba,CUB,2020-04-06,30.926,2.6510000000000002,0.795,0.08800000000000001,,,,,,66.67,11317498.0,43.1,,5.2,0.7829999999999999
29218,Cuba,CUB,2020-04-07,34.99,4.065,0.972,0.177,,,,,,70.37,11317498.0,43.1,,5.2,0.7829999999999999
29219,Cuba,CUB,2020-04-08,40.38,5.39,1.06,0.08800000000000001,,,,,,70.37,11317498.0,43.1,,5.2,0.7829999999999999
29220,Cuba,CUB,2020-04-09,45.505,5.125,1.325,0.265,,,,,,70.37,11317498.0,43.1,,5.2,0.7829999999999999
29221,Cuba,CUB,2020-04-10,49.833999999999996,4.33,1.325,0.0,,,,,,70.37,11317498.0,43.1,,5.2,0.7829999999999999
29222,Cuba,CUB,2020-04-11,54.782,4.948,1.4140000000000001,0.08800000000000001,,,,,,73.15,11317498.0,43.1,,5.2,0.7829999999999999
29223,Cuba,CUB,2020-04-12,59.111999999999995,4.33,1.59,0.177,,,,,,73.15,11317498.0,43.1,,5.2,0.7829999999999999
29224,Cuba,CUB,2020-04-13,64.148,5.0360000000000005,1.8559999999999999,0.265,,,,,,73.15,11317498.0,43.1,,5.2,0.7829999999999999
29225,Cuba,CUB,2020-04-14,67.683,3.534,1.8559999999999999,0.0,,,,,,73.15,11317498.0,43.1,,5.2,0.7829999999999999
29226,Cuba,CUB,2020-04-15,71.92399999999999,4.2410000000000005,2.121,0.265,,,,,,73.15,11317498.0,43.1,,5.2,0.7829999999999999
29227,Cuba,CUB,2020-04-16,76.165,4.2410000000000005,2.386,0.265,,,,,,73.15,11317498.0,43.1,,5.2,0.7829999999999999
29228,Cuba,CUB,2020-04-17,81.555,5.39,2.739,0.353,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29229,Cuba,CUB,2020-04-18,87.12200000000001,5.567,2.827,0.08800000000000001,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29230,Cuba,CUB,2020-04-19,91.45100000000001,4.33,3.0039999999999996,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29231,Cuba,CUB,2020-04-20,96.046,4.595,3.181,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29232,Cuba,CUB,2020-04-21,100.464,4.418,3.358,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29233,Cuba,CUB,2020-04-22,105.059,4.595,3.534,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29234,Cuba,CUB,2020-04-23,109.12299999999999,4.065,3.799,0.265,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29235,Cuba,CUB,2020-04-24,113.541,4.418,4.33,0.53,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29236,Cuba,CUB,2020-04-25,118.13600000000001,4.595,4.506,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29237,Cuba,CUB,2020-04-26,120.963,2.827,4.771,0.265,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29238,Cuba,CUB,2020-04-27,122.73,1.767,4.948,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29239,Cuba,CUB,2020-04-28,126.97200000000001,4.2410000000000005,5.125,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29240,Cuba,CUB,2020-04-29,129.622,2.6510000000000002,5.125,0.0,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29241,Cuba,CUB,2020-04-30,132.626,3.0039999999999996,5.39,0.265,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29242,Cuba,CUB,2020-05-01,135.80700000000002,3.181,5.655,0.265,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29243,Cuba,CUB,2020-05-02,142.346,6.539,5.832000000000001,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29244,Cuba,CUB,2020-05-03,145.704,3.358,5.92,0.08800000000000001,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29245,Cuba,CUB,2020-05-04,147.382,1.679,6.097,0.177,,,,,,83.33,11317498.0,43.1,,5.2,0.7829999999999999
29246,Cuba,CUB,2020-05-05,148.884,1.5019999999999998,6.097,0.0,,,,,,85.19,11317498.0,43.1,,5.2,0.7829999999999999
29247,Cuba,CUB,2020-05-06,150.475,1.59,6.097,0.0,,,,,,85.19,11317498.0,43.1,,5.2,0.7829999999999999
29248,Cuba,CUB,2020-05-07,152.77200000000002,2.2969999999999997,6.45,0.353,,,,,,85.19,11317498.0,43.1,,5.2,0.7829999999999999
29249,Cuba,CUB,2020-05-08,153.833,1.06,6.539,0.08800000000000001,,,,,,85.19,11317498.0,43.1,,5.2,0.7829999999999999
29250,Cuba,CUB,2020-05-09,154.981,1.149,6.539,0.0,,,,,,85.19,11317498.0,43.1,,5.2,0.7829999999999999
29251,Cuba,CUB,2020-05-10,156.042,1.06,6.803999999999999,0.265,,,,,,85.19,11317498.0,43.1,,5.2,0.7829999999999999
29252,Cuba,CUB,2020-05-11,157.54399999999998,1.5019999999999998,6.803999999999999,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29253,Cuba,CUB,2020-05-12,159.399,1.8559999999999999,6.892,0.08800000000000001,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29254,Cuba,CUB,2020-05-13,159.929,0.53,6.98,0.08800000000000001,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29255,Cuba,CUB,2020-05-14,161.697,1.767,6.98,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29256,Cuba,CUB,2020-05-15,162.58,0.884,6.98,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29257,Cuba,CUB,2020-05-16,164.524,1.944,6.98,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29258,Cuba,CUB,2020-05-17,165.408,0.884,6.98,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29259,Cuba,CUB,2020-05-18,166.203,0.795,6.98,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29260,Cuba,CUB,2020-05-19,166.733,0.53,6.98,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29261,Cuba,CUB,2020-05-20,167.882,1.149,6.98,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29262,Cuba,CUB,2020-05-21,168.588,0.7070000000000001,7.069,0.08800000000000001,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29263,Cuba,CUB,2020-05-22,169.295,0.7070000000000001,7.157,0.08800000000000001,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29264,Cuba,CUB,2020-05-23,170.62099999999998,1.325,7.157,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29265,Cuba,CUB,2020-05-24,171.50400000000002,0.884,7.245,0.08800000000000001,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29266,Cuba,CUB,2020-05-25,172.03400000000002,0.53,7.245,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29267,Cuba,CUB,2020-05-26,173.44799999999998,1.4140000000000001,7.245,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29268,Cuba,CUB,2020-05-27,174.42,0.972,7.245,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29269,Cuba,CUB,2020-05-28,175.215,0.795,7.245,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29270,Cuba,CUB,2020-05-29,177.15900000000002,1.944,7.245,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29271,Cuba,CUB,2020-05-30,178.926,1.767,7.334,0.08800000000000001,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29272,Cuba,CUB,2020-05-31,180.69400000000002,1.767,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29273,Cuba,CUB,2020-06-01,184.051,3.358,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29274,Cuba,CUB,2020-06-02,184.847,0.795,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29275,Cuba,CUB,2020-06-03,186.172,1.325,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29276,Cuba,CUB,2020-06-04,187.232,1.06,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29277,Cuba,CUB,2020-06-05,188.46900000000002,1.237,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29278,Cuba,CUB,2020-06-06,192.00400000000002,3.534,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29279,Cuba,CUB,2020-06-07,193.59400000000002,1.59,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29280,Cuba,CUB,2020-06-08,194.389,0.795,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29281,Cuba,CUB,2020-06-09,194.831,0.442,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29282,Cuba,CUB,2020-06-10,195.361,0.53,7.334,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29283,Cuba,CUB,2020-06-11,196.06799999999998,0.7070000000000001,7.422000000000001,0.08800000000000001,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29284,Cuba,CUB,2020-06-12,197.305,1.237,7.422000000000001,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29285,Cuba,CUB,2020-06-13,197.747,0.442,7.422000000000001,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29286,Cuba,CUB,2020-06-14,198.63,0.884,7.422000000000001,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29287,Cuba,CUB,2020-06-15,199.86700000000002,1.237,7.422000000000001,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29288,Cuba,CUB,2020-06-16,200.83900000000003,0.972,7.422000000000001,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29289,Cuba,CUB,2020-06-17,201.458,0.619,7.422000000000001,0.0,,,,,,100.0,11317498.0,43.1,,5.2,0.7829999999999999
29290,Cuba,CUB,2020-06-18,202.783,1.325,7.51,0.08800000000000001,,,,,,86.11,11317498.0,43.1,,5.2,0.7829999999999999
29291,Cuba,CUB,2020-06-19,203.667,0.884,7.51,0.0,,,,,,86.11,11317498.0,43.1,,5.2,0.7829999999999999
29292,Cuba,CUB,2020-06-20,204.02,0.353,7.51,0.0,,,,,,86.11,11317498.0,43.1,,5.2,0.7829999999999999
29293,Cuba,CUB,2020-06-21,204.285,0.265,7.51,0.0,,,,,,86.11,11317498.0,43.1,,5.2,0.7829999999999999
29294,Cuba,CUB,2020-06-22,204.551,0.265,7.51,0.0,,,,,,86.11,11317498.0,43.1,,5.2,0.7829999999999999
29295,Cuba,CUB,2020-06-23,204.81599999999997,0.265,7.51,0.0,,,,,,86.11,11317498.0,43.1,,5.2,0.7829999999999999
29296,Cuba,CUB,2020-06-24,204.90400000000002,0.08800000000000001,7.51,0.0,,,,,,86.11,11317498.0,43.1,,5.2,0.7829999999999999
