,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
30662,Czechia,CZE,2020-01-06,,,,,,0.0,,,,0.0,10724553.0,43.3,32605.906000000003,6.63,0.9
30663,Czechia,CZE,2020-01-18,,,,,,0.0,,,,0.0,10724553.0,43.3,32605.906000000003,6.63,0.9
30664,Czechia,CZE,2020-01-24,,,,,,0.0,,,,5.56,10724553.0,43.3,32605.906000000003,6.63,0.9
30665,Czechia,CZE,2020-02-02,,,,,,0.0,,,,16.67,10724553.0,43.3,32605.906000000003,6.63,0.9
30666,Czechia,CZE,2020-02-09,,,,,,0.0,,,,16.67,10724553.0,43.3,32605.906000000003,6.63,0.9
30667,Czechia,CZE,2020-02-15,,,,,,0.0,,,,16.67,10724553.0,43.3,32605.906000000003,6.63,0.9
30668,Czechia,CZE,2020-02-23,,,,,,0.0,,,,16.67,10724553.0,43.3,32605.906000000003,6.63,0.9
30669,Czechia,CZE,2020-03-01,0.28,0.28,,,0.0,0.0,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30670,Czechia,CZE,2020-03-02,0.28,0.0,,,0.0,,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30671,Czechia,CZE,2020-03-03,0.466,0.18600000000000003,,,0.0,,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30672,Czechia,CZE,2020-03-04,0.746,0.28,,,0.0,,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30673,Czechia,CZE,2020-03-05,1.119,0.373,,,0.0,,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30674,Czechia,CZE,2020-03-06,1.6780000000000002,0.5589999999999999,,,0.0,,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30675,Czechia,CZE,2020-03-07,1.7719999999999998,0.09300000000000001,,,0.0,,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30676,Czechia,CZE,2020-03-08,2.891,1.119,,,0.0,0.0,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30677,Czechia,CZE,2020-03-09,2.891,0.0,,,0.0,,,,,19.44,10724553.0,43.3,32605.906000000003,6.63,0.9
30678,Czechia,CZE,2020-03-10,3.823,0.932,,,0.0,,,,,25.0,10724553.0,43.3,32605.906000000003,6.63,0.9
30679,Czechia,CZE,2020-03-11,8.485,4.662,,,0.0,,,,,47.22,10724553.0,43.3,32605.906000000003,6.63,0.9
30680,Czechia,CZE,2020-03-12,8.765,0.28,,,0.0,,,,,50.0,10724553.0,43.3,32605.906000000003,6.63,0.9
30681,Czechia,CZE,2020-03-13,13.147,4.382,,,0.0,,,,,57.41,10724553.0,43.3,32605.906000000003,6.63,0.9
30682,Czechia,CZE,2020-03-14,17.623,4.476,,,0.0,,,,,61.11,10724553.0,43.3,32605.906000000003,6.63,0.9
30683,Czechia,CZE,2020-03-15,23.590999999999998,5.968,,,0.0,0.0,,,,68.52,10724553.0,43.3,32605.906000000003,6.63,0.9
30684,Czechia,CZE,2020-03-16,27.787,4.196000000000001,,,0.18600000000000003,,,,,79.63,10724553.0,43.3,32605.906000000003,6.63,0.9
30685,Czechia,CZE,2020-03-17,36.925,9.138,,,0.466,,,,,79.63,10724553.0,43.3,32605.906000000003,6.63,0.9
30686,Czechia,CZE,2020-03-18,43.265,6.341,,,0.5589999999999999,,,,,79.63,10724553.0,43.3,32605.906000000003,6.63,0.9
30687,Czechia,CZE,2020-03-19,64.711,21.445999999999998,,,0.5589999999999999,,,,,79.63,10724553.0,43.3,32605.906000000003,6.63,0.9
30688,Czechia,CZE,2020-03-20,77.672,12.960999999999999,,,1.399,,,,,79.63,10724553.0,43.3,32605.906000000003,6.63,0.9
30689,Czechia,CZE,2020-03-21,92.77799999999999,15.106,,,1.305,,,,,79.63,10724553.0,43.3,32605.906000000003,6.63,0.9
30690,Czechia,CZE,2020-03-22,104.43299999999999,11.655,0.09300000000000001,0.09300000000000001,1.492,2.7119999999999997,,,,79.63,10724553.0,43.3,32605.906000000003,6.63,0.9
30691,Czechia,CZE,2020-03-23,115.25,10.815999999999999,0.09300000000000001,0.0,2.051,,,,,82.41,10724553.0,43.3,32605.906000000003,6.63,0.9
