,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
45195,Germany,DEU,2020-01-27,0.012,0.012,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45196,Germany,DEU,2020-01-28,0.048,0.036000000000000004,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45197,Germany,DEU,2020-01-29,0.048,0.0,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45198,Germany,DEU,2020-01-30,0.048,0.0,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45199,Germany,DEU,2020-01-31,0.06,0.012,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45200,Germany,DEU,2020-02-01,0.095,0.036000000000000004,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45201,Germany,DEU,2020-02-02,0.11900000000000001,0.024,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45202,Germany,DEU,2020-02-03,0.14300000000000002,0.024,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45203,Germany,DEU,2020-02-04,0.14300000000000002,0.0,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45204,Germany,DEU,2020-02-05,0.14300000000000002,0.0,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45205,Germany,DEU,2020-02-06,0.14300000000000002,0.0,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45206,Germany,DEU,2020-02-07,0.155,0.012,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45207,Germany,DEU,2020-02-08,0.155,0.0,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45208,Germany,DEU,2020-02-09,0.16699999999999998,0.012,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45209,Germany,DEU,2020-02-10,0.16699999999999998,0.0,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45210,Germany,DEU,2020-02-11,0.191,0.024,,,,,,,,5.56,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45211,Germany,DEU,2020-02-12,0.191,0.0,,,,,,,,11.11,83900471.0,46.6,45229.245,8.0,0.9470000000000001
45212,Germany,DEU,2020-02-13,0.191,0.0,,,,,,,,11.11,83900471.0,46.6,45229.245,8.0,0.9470000000000001
