,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
31913,Denmark,DNK,2020-02-02,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31914,Denmark,DNK,2020-02-03,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31915,Denmark,DNK,2020-02-04,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31916,Denmark,DNK,2020-02-05,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31917,Denmark,DNK,2020-02-06,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31918,Denmark,DNK,2020-02-07,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31919,Denmark,DNK,2020-02-08,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31920,Denmark,DNK,2020-02-09,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31921,Denmark,DNK,2020-02-10,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31922,Denmark,DNK,2020-02-11,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31923,Denmark,DNK,2020-02-12,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31924,Denmark,DNK,2020-02-13,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31925,Denmark,DNK,2020-02-14,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31926,Denmark,DNK,2020-02-15,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31927,Denmark,DNK,2020-02-16,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31928,Denmark,DNK,2020-02-17,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31929,Denmark,DNK,2020-02-18,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31930,Denmark,DNK,2020-02-19,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31931,Denmark,DNK,2020-02-20,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31932,Denmark,DNK,2020-02-21,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31933,Denmark,DNK,2020-02-22,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31934,Denmark,DNK,2020-02-23,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31935,Denmark,DNK,2020-02-24,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31936,Denmark,DNK,2020-02-25,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31937,Denmark,DNK,2020-02-26,,,,,,,,,,0.0,5813302.0,42.3,46682.515,2.5,0.94
31938,Denmark,DNK,2020-02-27,0.172,0.172,,,,,,,,11.11,5813302.0,42.3,46682.515,2.5,0.94
31939,Denmark,DNK,2020-02-28,0.172,0.0,,,,,,,,11.11,5813302.0,42.3,46682.515,2.5,0.94
31940,Denmark,DNK,2020-02-29,0.516,0.344,,,,,,,,11.11,5813302.0,42.3,46682.515,2.5,0.94
31941,Denmark,DNK,2020-03-01,0.688,0.172,,,,,,,,11.11,5813302.0,42.3,46682.515,2.5,0.94
31942,Denmark,DNK,2020-03-02,0.688,0.0,,,,,,,,11.11,5813302.0,42.3,46682.515,2.5,0.94
31943,Denmark,DNK,2020-03-03,1.032,0.344,,,,,,,,20.37,5813302.0,42.3,46682.515,2.5,0.94
31944,Denmark,DNK,2020-03-04,1.892,0.86,,,,,,,,20.37,5813302.0,42.3,46682.515,2.5,0.94
31945,Denmark,DNK,2020-03-05,1.892,0.0,,,,,,,,20.37,5813302.0,42.3,46682.515,2.5,0.94
31946,Denmark,DNK,2020-03-06,4.128,2.2359999999999998,,,,,,,,25.93,5813302.0,42.3,46682.515,2.5,0.94
31947,Denmark,DNK,2020-03-07,4.128,0.0,,,,,,,,25.93,5813302.0,42.3,46682.515,2.5,0.94
31948,Denmark,DNK,2020-03-08,6.365,2.2359999999999998,,,,,,,,25.93,5813302.0,42.3,46682.515,2.5,0.94
31949,Denmark,DNK,2020-03-09,15.825999999999999,9.461,,,,,,,,25.93,5813302.0,42.3,46682.515,2.5,0.94
31950,Denmark,DNK,2020-03-10,45.413000000000004,29.587,,,,,,,,31.48,5813302.0,42.3,46682.515,2.5,0.94
31951,Denmark,DNK,2020-03-11,76.377,30.963,,,,,,,,37.96,5813302.0,42.3,46682.515,2.5,0.94
31952,Denmark,DNK,2020-03-12,106.13600000000001,29.759,,,,,,,,37.96,5813302.0,42.3,46682.515,2.5,0.94
31953,Denmark,DNK,2020-03-13,138.303,32.168,,,,,,,,62.96,5813302.0,42.3,46682.515,2.5,0.94
31954,Denmark,DNK,2020-03-14,143.808,5.505,0.172,0.172,,,,,,65.74,5813302.0,42.3,46682.515,2.5,0.94
31955,Denmark,DNK,2020-03-15,150.517,6.709,0.344,0.172,,,,,,65.74,5813302.0,42.3,46682.515,2.5,0.94
31956,Denmark,DNK,2020-03-16,160.494,9.977,0.516,0.172,,,,,,65.74,5813302.0,42.3,46682.515,2.5,0.94
31957,Denmark,DNK,2020-03-17,176.32,15.825999999999999,0.688,0.172,,,,,,65.74,5813302.0,42.3,46682.515,2.5,0.94
31958,Denmark,DNK,2020-03-18,191.97400000000002,15.654000000000002,0.688,0.0,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31959,Denmark,DNK,2020-03-19,210.72400000000002,18.75,1.032,0.344,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31960,Denmark,DNK,2020-03-20,229.99,19.266,1.548,0.516,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31961,Denmark,DNK,2020-03-21,244.267,14.277999999999999,2.2359999999999998,0.688,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31962,Denmark,DNK,2020-03-22,260.437,16.17,2.2359999999999998,0.0,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31963,Denmark,DNK,2020-03-23,270.414,9.977,4.128,1.892,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31964,Denmark,DNK,2020-03-24,295.529,25.115,5.505,1.376,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31965,Denmark,DNK,2020-03-25,320.3,24.771,5.849,0.344,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31966,Denmark,DNK,2020-03-26,347.995,27.695,7.053,1.204,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31967,Denmark,DNK,2020-03-27,378.44199999999995,30.447,8.945,1.892,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31968,Denmark,DNK,2020-03-28,406.99800000000005,28.555,11.181,2.2359999999999998,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31969,Denmark,DNK,2020-03-29,441.05699999999996,34.06,12.385,1.204,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31970,Denmark,DNK,2020-03-30,473.913,32.856,13.245,0.86,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31971,Denmark,DNK,2020-03-31,522.7669999999999,48.853,15.482000000000001,2.2359999999999998,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31972,Denmark,DNK,2020-04-01,565.943,43.177,17.89,2.408,,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31973,Denmark,DNK,2020-04-02,614.625,48.681000000000004,21.158,3.2680000000000002,25.115,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31974,Denmark,DNK,2020-04-03,678.788,64.163,23.910999999999998,2.752,23.910999999999998,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
31975,Denmark,DNK,2020-04-04,734.35,55.562,27.695,3.784,23.566999999999997,,,,,72.22,5813302.0,42.3,46682.515,2.5,0.94
