,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
33784,Dominican Republic,DOM,2020-03-01,0.091,0.091,,,,,,,,0.0,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33785,Dominican Republic,DOM,2020-03-02,0.091,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33786,Dominican Republic,DOM,2020-03-03,0.091,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33787,Dominican Republic,DOM,2020-03-04,0.091,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33788,Dominican Republic,DOM,2020-03-05,0.091,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33789,Dominican Republic,DOM,2020-03-06,0.183,0.091,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33790,Dominican Republic,DOM,2020-03-07,0.183,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33791,Dominican Republic,DOM,2020-03-08,0.456,0.27399999999999997,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33792,Dominican Republic,DOM,2020-03-09,0.456,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33793,Dominican Republic,DOM,2020-03-10,0.456,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33794,Dominican Republic,DOM,2020-03-11,0.456,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33795,Dominican Republic,DOM,2020-03-12,0.456,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33796,Dominican Republic,DOM,2020-03-13,0.456,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33797,Dominican Republic,DOM,2020-03-14,1.004,0.5479999999999999,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
33798,Dominican Republic,DOM,2020-03-15,1.004,0.0,,,,,,,,11.11,10953714.0,27.6,14600.861,1.6,0.7559999999999999
