,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
1909,Algeria,DZA,2020-02-25,0.022000000000000002,0.022000000000000002,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1910,Algeria,DZA,2020-02-26,0.022000000000000002,0.0,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1911,Algeria,DZA,2020-02-27,0.022000000000000002,0.0,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1912,Algeria,DZA,2020-02-28,0.022000000000000002,0.0,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1913,Algeria,DZA,2020-02-29,0.022000000000000002,0.0,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1914,Algeria,DZA,2020-03-01,0.022000000000000002,0.0,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1915,Algeria,DZA,2020-03-02,0.067,0.045,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1916,Algeria,DZA,2020-03-03,0.11199999999999999,0.045,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1917,Algeria,DZA,2020-03-04,0.26899999999999996,0.157,,,,,,,,0.0,44616626.0,29.1,13913.839,1.9,0.748
1918,Algeria,DZA,2020-03-05,0.26899999999999996,0.0,,,,,,,,5.56,44616626.0,29.1,13913.839,1.9,0.748
1919,Algeria,DZA,2020-03-06,0.381,0.11199999999999999,,,,,,,,5.56,44616626.0,29.1,13913.839,1.9,0.748
1920,Algeria,DZA,2020-03-07,0.381,0.0,,,,,,,,5.56,44616626.0,29.1,13913.839,1.9,0.748
1921,Algeria,DZA,2020-03-08,0.426,0.045,,,,,,,,5.56,44616626.0,29.1,13913.839,1.9,0.748
1922,Algeria,DZA,2020-03-09,0.44799999999999995,0.022000000000000002,,,,,,,,5.56,44616626.0,29.1,13913.839,1.9,0.748
1923,Algeria,DZA,2020-03-10,0.44799999999999995,0.0,,,,,,,,16.67,44616626.0,29.1,13913.839,1.9,0.748
1924,Algeria,DZA,2020-03-11,0.44799999999999995,0.0,,,,,,,,16.67,44616626.0,29.1,13913.839,1.9,0.748
1925,Algeria,DZA,2020-03-12,0.5379999999999999,0.09,0.022000000000000002,0.022000000000000002,,,,,,30.56,44616626.0,29.1,13913.839,1.9,0.748
