,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
34411,Ecuador,ECU,2020-03-01,0.335,0.335,,,,,,,,5.56,17888474.0,28.1,10581.936000000002,1.5,0.759
34412,Ecuador,ECU,2020-03-02,0.335,0.0,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34413,Ecuador,ECU,2020-03-03,0.391,0.055999999999999994,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34414,Ecuador,ECU,2020-03-04,0.5589999999999999,0.168,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34415,Ecuador,ECU,2020-03-05,0.727,0.168,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34416,Ecuador,ECU,2020-03-06,0.727,0.0,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34417,Ecuador,ECU,2020-03-07,0.727,0.0,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34418,Ecuador,ECU,2020-03-08,0.7829999999999999,0.055999999999999994,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34419,Ecuador,ECU,2020-03-09,0.8390000000000001,0.055999999999999994,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34420,Ecuador,ECU,2020-03-10,0.8390000000000001,0.0,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34421,Ecuador,ECU,2020-03-11,0.95,0.11199999999999999,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34422,Ecuador,ECU,2020-03-12,0.95,0.0,,,,,,,,8.33,17888474.0,28.1,10581.936000000002,1.5,0.759
34423,Ecuador,ECU,2020-03-13,0.95,0.0,,,,,,,,36.11,17888474.0,28.1,10581.936000000002,1.5,0.759
34424,Ecuador,ECU,2020-03-14,1.565,0.615,0.11199999999999999,0.11199999999999999,,,,,,36.11,17888474.0,28.1,10581.936000000002,1.5,0.759
34425,Ecuador,ECU,2020-03-15,1.565,0.0,0.11199999999999999,0.0,,,,,,55.56,17888474.0,28.1,10581.936000000002,1.5,0.759
34426,Ecuador,ECU,2020-03-16,2.068,0.503,0.11199999999999999,0.0,,,,,,55.56,17888474.0,28.1,10581.936000000002,1.5,0.759
34427,Ecuador,ECU,2020-03-17,3.242,1.1740000000000002,0.11199999999999999,0.0,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34428,Ecuador,ECU,2020-03-18,6.205,2.963,0.11199999999999999,0.0,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34429,Ecuador,ECU,2020-03-19,11.124,4.919,0.168,0.055999999999999994,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34430,Ecuador,ECU,2020-03-20,20.516,9.392000000000001,0.28,0.11199999999999999,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34431,Ecuador,ECU,2020-03-21,28.285999999999998,7.77,0.391,0.11199999999999999,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34432,Ecuador,ECU,2020-03-22,44.107,15.82,0.7829999999999999,0.391,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34433,Ecuador,ECU,2020-03-23,54.84,10.732999999999999,1.006,0.22399999999999998,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34434,Ecuador,ECU,2020-03-24,60.486000000000004,5.646,1.5090000000000001,0.503,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34435,Ecuador,ECU,2020-03-25,65.57300000000001,5.087,1.565,0.055999999999999994,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34436,Ecuador,ECU,2020-03-26,78.43,12.857000000000001,1.901,0.335,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34437,Ecuador,ECU,2020-03-27,89.164,10.732999999999999,2.012,0.11199999999999999,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34438,Ecuador,ECU,2020-03-28,101.90899999999999,12.745999999999999,2.6830000000000003,0.6709999999999999,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34439,Ecuador,ECU,2020-03-29,107.555,5.646,3.242,0.5589999999999999,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34440,Ecuador,ECU,2020-03-30,109.68,2.124,3.3539999999999996,0.11199999999999999,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34441,Ecuador,ECU,2020-03-31,125.22,15.540999999999999,4.1930000000000005,0.8390000000000001,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34442,Ecuador,ECU,2020-04-01,153.618,28.398000000000003,5.199,1.006,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34443,Ecuador,ECU,2020-04-02,176.81799999999998,23.199,6.707999999999999,1.5090000000000001,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34444,Ecuador,ECU,2020-04-03,188.278,11.46,8.106,1.3980000000000001,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34445,Ecuador,ECU,2020-04-04,193.7,5.422000000000001,9.615,1.5090000000000001,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34446,Ecuador,ECU,2020-04-05,203.81799999999998,10.118,10.062000000000001,0.447,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34447,Ecuador,ECU,2020-04-06,209.46400000000003,5.646,10.677,0.615,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34448,Ecuador,ECU,2020-04-07,209.46400000000003,0.0,10.677,0.0,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34449,Ecuador,ECU,2020-04-08,248.764,39.299,13.527999999999999,2.8510000000000004,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34450,Ecuador,ECU,2020-04-09,277.553,28.789,15.205,1.6769999999999998,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34451,Ecuador,ECU,2020-04-10,400.314,122.76100000000001,16.602999999999998,1.3980000000000001,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34452,Ecuador,ECU,2020-04-11,405.68,5.367000000000001,17.609,1.006,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34453,Ecuador,ECU,2020-04-12,417.36400000000003,11.684000000000001,18.615,1.006,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
34454,Ecuador,ECU,2020-04-13,420.88599999999997,3.522,19.845,1.23,,,,,,93.52,17888474.0,28.1,10581.936000000002,1.5,0.759
