,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
35038,Egypt,EGY,2020-02-14,0.01,0.01,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35039,Egypt,EGY,2020-02-15,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35040,Egypt,EGY,2020-02-16,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35041,Egypt,EGY,2020-02-17,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35042,Egypt,EGY,2020-02-18,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35043,Egypt,EGY,2020-02-19,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35044,Egypt,EGY,2020-02-20,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35045,Egypt,EGY,2020-02-21,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35046,Egypt,EGY,2020-02-22,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35047,Egypt,EGY,2020-02-23,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35048,Egypt,EGY,2020-02-24,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35049,Egypt,EGY,2020-02-25,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35050,Egypt,EGY,2020-02-26,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35051,Egypt,EGY,2020-02-27,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35052,Egypt,EGY,2020-02-28,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35053,Egypt,EGY,2020-02-29,0.01,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35054,Egypt,EGY,2020-03-01,0.019,0.01,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35055,Egypt,EGY,2020-03-02,0.019,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35056,Egypt,EGY,2020-03-03,0.019,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35057,Egypt,EGY,2020-03-04,0.019,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35058,Egypt,EGY,2020-03-05,0.028999999999999998,0.01,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35059,Egypt,EGY,2020-03-06,0.14400000000000002,0.115,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35060,Egypt,EGY,2020-03-07,0.14400000000000002,0.0,,,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35061,Egypt,EGY,2020-03-08,0.47,0.326,0.01,0.01,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35062,Egypt,EGY,2020-03-09,0.528,0.057999999999999996,0.01,0.0,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35063,Egypt,EGY,2020-03-10,0.5660000000000001,0.038,0.01,0.0,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35064,Egypt,EGY,2020-03-11,0.575,0.01,0.01,0.0,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35065,Egypt,EGY,2020-03-12,0.643,0.067,0.01,0.0,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35066,Egypt,EGY,2020-03-13,0.767,0.125,0.019,0.01,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35067,Egypt,EGY,2020-03-14,1.045,0.278,0.019,0.0,,,,,,0.0,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35068,Egypt,EGY,2020-03-15,1.055,0.01,0.019,0.0,,,,,,11.11,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35069,Egypt,EGY,2020-03-16,1.439,0.384,0.019,0.0,,,,,,18.52,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35070,Egypt,EGY,2020-03-17,1.88,0.441,0.038,0.019,,,,,,18.52,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35071,Egypt,EGY,2020-03-18,1.88,0.0,0.057999999999999996,0.019,,,,,,18.52,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35072,Egypt,EGY,2020-03-19,2.455,0.575,0.057999999999999996,0.0,,,,,,29.63,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35073,Egypt,EGY,2020-03-20,2.734,0.278,0.077,0.019,,,,,,29.63,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35074,Egypt,EGY,2020-03-21,2.82,0.086,0.096,0.019,,,,,,40.74,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35075,Egypt,EGY,2020-03-22,3.136,0.317,0.134,0.038,,,,,,40.74,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35076,Egypt,EGY,2020-03-23,3.511,0.374,0.182,0.048,,,,,,40.74,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35077,Egypt,EGY,2020-03-24,3.8560000000000003,0.345,0.192,0.01,,,,,,51.85,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35078,Egypt,EGY,2020-03-25,4.374,0.518,0.201,0.01,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35079,Egypt,EGY,2020-03-26,4.748,0.374,0.23,0.028999999999999998,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35080,Egypt,EGY,2020-03-27,5.141,0.39299999999999996,0.28800000000000003,0.057999999999999996,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35081,Egypt,EGY,2020-03-28,5.525,0.384,0.345,0.057999999999999996,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35082,Egypt,EGY,2020-03-29,5.841,0.317,0.384,0.038,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35083,Egypt,EGY,2020-03-30,6.292000000000001,0.451,0.39299999999999996,0.01,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35084,Egypt,EGY,2020-03-31,6.81,0.518,0.441,0.048,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35085,Egypt,EGY,2020-04-01,7.472,0.662,0.499,0.057999999999999996,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35086,Egypt,EGY,2020-04-02,8.297,0.825,0.556,0.057999999999999996,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35087,Egypt,EGY,2020-04-03,9.448,1.151,0.633,0.077,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35088,Egypt,EGY,2020-04-04,10.263,0.815,0.6809999999999999,0.048,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35089,Egypt,EGY,2020-04-05,11.251,0.988,0.748,0.067,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35090,Egypt,EGY,2020-04-06,12.68,1.429,0.815,0.067,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35091,Egypt,EGY,2020-04-07,13.908,1.228,0.902,0.086,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35092,Egypt,EGY,2020-04-08,14.963,1.055,0.988,0.086,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35093,Egypt,EGY,2020-04-09,16.296,1.3330000000000002,1.1320000000000001,0.14400000000000002,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35094,Egypt,EGY,2020-04-10,17.207,0.9109999999999999,1.295,0.163,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35095,Egypt,EGY,2020-04-11,18.598,1.391,1.4,0.106,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35096,Egypt,EGY,2020-04-12,19.807000000000002,1.209,1.525,0.125,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35097,Egypt,EGY,2020-04-13,21.006,1.199,1.5730000000000002,0.048,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35098,Egypt,EGY,2020-04-14,22.54,1.535,1.7069999999999999,0.134,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35099,Egypt,EGY,2020-04-15,24.026999999999997,1.4869999999999999,1.755,0.048,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35100,Egypt,EGY,2020-04-16,25.638,1.611,1.88,0.125,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35101,Egypt,EGY,2020-04-17,27.278000000000002,1.64,1.966,0.086,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35102,Egypt,EGY,2020-04-18,29.081999999999997,1.8030000000000002,2.149,0.182,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35103,Egypt,EGY,2020-04-19,30.156,1.074,2.292,0.14400000000000002,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35104,Egypt,EGY,2020-04-20,31.969,1.8130000000000002,2.398,0.106,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35105,Egypt,EGY,2020-04-21,33.475,1.506,2.532,0.134,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35106,Egypt,EGY,2020-04-22,35.096,1.621,2.647,0.115,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35107,Egypt,EGY,2020-04-23,37.321,2.225,2.753,0.106,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35108,Egypt,EGY,2020-04-24,39.249,1.9280000000000002,2.82,0.067,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35109,Egypt,EGY,2020-04-25,41.426,2.177,2.945,0.125,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35110,Egypt,EGY,2020-04-26,43.488,2.062,3.0410000000000004,0.096,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35111,Egypt,EGY,2020-04-27,45.867,2.379,3.2319999999999998,0.192,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35112,Egypt,EGY,2020-04-28,48.361000000000004,2.494,3.443,0.21100000000000002,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35113,Egypt,EGY,2020-04-29,50.528,2.168,3.645,0.201,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35114,Egypt,EGY,2020-04-30,53.108000000000004,2.58,3.76,0.115,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35115,Egypt,EGY,2020-05-01,56.542,3.4339999999999997,3.8939999999999997,0.134,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35116,Egypt,EGY,2020-05-02,59.401,2.858,3.98,0.086,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35117,Egypt,EGY,2020-05-03,62.00899999999999,2.609,4.115,0.134,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35118,Egypt,EGY,2020-05-04,65.347,3.338,4.1819999999999995,0.067,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35119,Egypt,EGY,2020-05-05,69.069,3.722,4.335,0.153,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35120,Egypt,EGY,2020-05-06,72.781,3.7119999999999997,4.498,0.163,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35121,Egypt,EGY,2020-05-07,76.55,3.7689999999999997,4.623,0.125,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35122,Egypt,EGY,2020-05-08,81.298,4.748,4.825,0.201,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35123,Egypt,EGY,2020-05-09,85.979,4.681,4.93,0.106,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35124,Egypt,EGY,2020-05-10,90.161,4.1819999999999995,5.0360000000000005,0.106,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35125,Egypt,EGY,2020-05-11,93.479,3.319,5.112,0.077,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35126,Egypt,EGY,2020-05-12,96.80799999999999,3.3280000000000003,5.218,0.106,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35127,Egypt,EGY,2020-05-13,100.05,3.242,5.332999999999999,0.115,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35128,Egypt,EGY,2020-05-14,103.867,3.8169999999999997,5.477,0.14400000000000002,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35129,Egypt,EGY,2020-05-15,107.694,3.827,5.678,0.201,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35130,Egypt,EGY,2020-05-16,112.40299999999999,4.709,5.87,0.192,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35131,Egypt,EGY,2020-05-17,117.295,4.8919999999999995,6.042999999999999,0.17300000000000001,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35132,Egypt,EGY,2020-05-18,122.427,5.131,6.187,0.14400000000000002,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35133,Egypt,EGY,2020-05-19,129.333,6.906000000000001,6.321000000000001,0.134,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35134,Egypt,EGY,2020-05-20,136.47799999999998,7.146,6.522,0.201,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35135,Egypt,EGY,2020-05-21,143.90200000000002,7.4239999999999995,6.676,0.153,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35136,Egypt,EGY,2020-05-22,151.412,7.51,6.781000000000001,0.106,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35137,Egypt,EGY,2020-05-23,158.385,6.973,7.05,0.26899999999999996,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35138,Egypt,EGY,2020-05-24,165.59799999999998,7.212999999999999,7.327999999999999,0.278,,,,,,87.96,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35139,Egypt,EGY,2020-05-25,172.332,6.733,7.51,0.182,,,,,,87.96,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35140,Egypt,EGY,2020-05-26,179.899,7.568,7.644,0.134,,,,,,87.96,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35141,Egypt,EGY,2020-05-27,188.628,8.728,7.827000000000001,0.182,,,,,,87.96,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35142,Egypt,EGY,2020-05-28,199.437,10.81,8.105,0.278,,,,,,87.96,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35143,Egypt,EGY,2020-05-29,211.801,12.364,8.431000000000001,0.326,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35144,Egypt,EGY,2020-05-30,224.912,13.112,8.757,0.326,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35145,Egypt,EGY,2020-05-31,239.645,14.732999999999999,9.198,0.441,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35146,Egypt,EGY,2020-06-01,253.06400000000002,13.419,9.64,0.441,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35147,Egypt,EGY,2020-06-02,264.113,11.049000000000001,10.09,0.451,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35148,Egypt,EGY,2020-06-03,274.462,10.349,10.436,0.345,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35149,Egypt,EGY,2020-06-04,285.512,11.049000000000001,10.8,0.364,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35150,Egypt,EGY,2020-06-05,298.441,12.929,11.184000000000001,0.384,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35151,Egypt,EGY,2020-06-06,312.8,14.359000000000002,11.491,0.307,,,,,,84.26,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35152,Egypt,EGY,2020-06-07,326.871,14.071,11.865,0.374,,,,,,71.3,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35153,Egypt,EGY,2020-06-08,339.963,13.092,12.190999999999999,0.326,,,,,,71.3,104258327.0,25.3,10550.206,1.6,0.7070000000000001
35154,Egypt,EGY,2020-06-09,353.24800000000005,13.284,12.527000000000001,0.336,,,,,,71.3,104258327.0,25.3,10550.206,1.6,0.7070000000000001
