,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
36903,Eritrea,ERI,2020-03-21,0.278,0.278,,,,,,,,22.22,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36904,Eritrea,ERI,2020-03-22,0.278,0.0,,,,,,,,22.22,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36905,Eritrea,ERI,2020-03-23,0.278,0.0,,,,,,,,53.7,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36906,Eritrea,ERI,2020-03-24,0.278,0.0,,,,,,,,53.7,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36907,Eritrea,ERI,2020-03-25,1.111,0.833,,,,,,,,56.48,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36908,Eritrea,ERI,2020-03-26,1.666,0.555,,,,,,,,56.48,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36909,Eritrea,ERI,2020-03-27,1.666,0.0,,,,,,,,73.15,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36910,Eritrea,ERI,2020-03-28,1.666,0.0,,,,,,,,73.15,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36911,Eritrea,ERI,2020-03-29,3.332,1.666,,,,,,,,73.15,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36912,Eritrea,ERI,2020-03-30,3.332,0.0,,,,,,,,73.15,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36913,Eritrea,ERI,2020-03-31,4.165,0.833,,,,,,,,80.56,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36914,Eritrea,ERI,2020-04-01,4.165,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36915,Eritrea,ERI,2020-04-02,6.109,1.944,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36916,Eritrea,ERI,2020-04-03,6.109,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36917,Eritrea,ERI,2020-04-04,8.052,1.944,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36918,Eritrea,ERI,2020-04-05,8.052,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36919,Eritrea,ERI,2020-04-06,8.607999999999999,0.555,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36920,Eritrea,ERI,2020-04-07,8.607999999999999,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36921,Eritrea,ERI,2020-04-08,9.163,0.555,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36922,Eritrea,ERI,2020-04-09,9.163,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36923,Eritrea,ERI,2020-04-10,9.441,0.278,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36924,Eritrea,ERI,2020-04-11,9.441,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36925,Eritrea,ERI,2020-04-12,9.441,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36926,Eritrea,ERI,2020-04-13,9.441,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36927,Eritrea,ERI,2020-04-14,9.441,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36928,Eritrea,ERI,2020-04-15,9.718,0.278,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36929,Eritrea,ERI,2020-04-16,9.718,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36930,Eritrea,ERI,2020-04-17,9.718,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36931,Eritrea,ERI,2020-04-18,10.829,1.111,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36932,Eritrea,ERI,2020-04-19,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36933,Eritrea,ERI,2020-04-20,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36934,Eritrea,ERI,2020-04-21,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36935,Eritrea,ERI,2020-04-22,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36936,Eritrea,ERI,2020-04-23,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36937,Eritrea,ERI,2020-04-24,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36938,Eritrea,ERI,2020-04-25,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36939,Eritrea,ERI,2020-04-26,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36940,Eritrea,ERI,2020-04-27,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36941,Eritrea,ERI,2020-04-28,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36942,Eritrea,ERI,2020-04-29,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36943,Eritrea,ERI,2020-04-30,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36944,Eritrea,ERI,2020-05-01,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36945,Eritrea,ERI,2020-05-02,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36946,Eritrea,ERI,2020-05-03,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36947,Eritrea,ERI,2020-05-04,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36948,Eritrea,ERI,2020-05-05,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36949,Eritrea,ERI,2020-05-06,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36950,Eritrea,ERI,2020-05-07,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36951,Eritrea,ERI,2020-05-08,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36952,Eritrea,ERI,2020-05-09,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36953,Eritrea,ERI,2020-05-10,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36954,Eritrea,ERI,2020-05-11,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36955,Eritrea,ERI,2020-05-12,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36956,Eritrea,ERI,2020-05-13,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36957,Eritrea,ERI,2020-05-14,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36958,Eritrea,ERI,2020-05-15,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
36959,Eritrea,ERI,2020-05-16,10.829,0.0,,,,,,,,93.52,3601462.0,19.3,1510.4589999999998,0.7,0.45899999999999996
