,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
112881,Spain,ESP,2020-02-01,0.021,0.021,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112882,Spain,ESP,2020-02-02,0.021,0.0,,,,0.14800000000000002,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112883,Spain,ESP,2020-02-03,0.021,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112884,Spain,ESP,2020-02-04,0.021,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112885,Spain,ESP,2020-02-05,0.021,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112886,Spain,ESP,2020-02-06,0.021,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112887,Spain,ESP,2020-02-07,0.021,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112888,Spain,ESP,2020-02-08,0.021,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112889,Spain,ESP,2020-02-09,0.043,0.021,,,,0.21100000000000002,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112890,Spain,ESP,2020-02-10,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112891,Spain,ESP,2020-02-11,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112892,Spain,ESP,2020-02-12,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112893,Spain,ESP,2020-02-13,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112894,Spain,ESP,2020-02-14,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112895,Spain,ESP,2020-02-15,0.043,0.0,,,,0.465,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112896,Spain,ESP,2020-02-16,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112897,Spain,ESP,2020-02-17,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112898,Spain,ESP,2020-02-18,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112899,Spain,ESP,2020-02-19,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112900,Spain,ESP,2020-02-20,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112901,Spain,ESP,2020-02-21,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112902,Spain,ESP,2020-02-22,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112903,Spain,ESP,2020-02-23,0.043,0.0,,,,0.5920000000000001,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112904,Spain,ESP,2020-02-24,0.043,0.0,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112905,Spain,ESP,2020-02-25,0.128,0.086,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
112906,Spain,ESP,2020-02-26,0.278,0.15,,,,,,,,11.11,46745211.0,45.5,34272.36,2.97,0.904
