,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
38778,Ethiopia,ETH,2020-03-13,0.008,0.008,,,,,,,,2.78,117876226.0,19.8,1729.9270000000001,0.3,0.485
38779,Ethiopia,ETH,2020-03-14,0.008,0.0,,,,,,,,2.78,117876226.0,19.8,1729.9270000000001,0.3,0.485
38780,Ethiopia,ETH,2020-03-15,0.008,0.0,,,,,,,,2.78,117876226.0,19.8,1729.9270000000001,0.3,0.485
38781,Ethiopia,ETH,2020-03-16,0.042,0.034,,,,,,,,35.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38782,Ethiopia,ETH,2020-03-17,0.042,0.0,,,,,,,,35.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38783,Ethiopia,ETH,2020-03-18,0.051,0.008,,,,,,,,35.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38784,Ethiopia,ETH,2020-03-19,0.051,0.0,,,,,,,,35.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38785,Ethiopia,ETH,2020-03-20,0.076,0.025,,,,,,,,35.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38786,Ethiopia,ETH,2020-03-21,0.076,0.0,,,,,,,,35.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38787,Ethiopia,ETH,2020-03-22,0.09300000000000001,0.017,,,,,,,,35.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38788,Ethiopia,ETH,2020-03-23,0.09300000000000001,0.0,,,,,,,,40.74,117876226.0,19.8,1729.9270000000001,0.3,0.485
38789,Ethiopia,ETH,2020-03-24,0.102,0.008,,,,,,,,40.74,117876226.0,19.8,1729.9270000000001,0.3,0.485
38790,Ethiopia,ETH,2020-03-25,0.102,0.0,,,,,,,,51.85,117876226.0,19.8,1729.9270000000001,0.3,0.485
38791,Ethiopia,ETH,2020-03-26,0.102,0.0,,,,,,,,60.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38792,Ethiopia,ETH,2020-03-27,0.136,0.034,,,,,,,,60.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38793,Ethiopia,ETH,2020-03-28,0.136,0.0,,,,,,,,60.19,117876226.0,19.8,1729.9270000000001,0.3,0.485
38794,Ethiopia,ETH,2020-03-29,0.17800000000000002,0.042,,,,,,,,58.33,117876226.0,19.8,1729.9270000000001,0.3,0.485
