,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
41729,Finland,FIN,2020-01-29,0.18,0.18,,,,,,,,5.56,5548361.0,42.8,40585.721,3.28,0.938
41730,Finland,FIN,2020-01-30,0.18,0.0,,,,,,,,5.56,5548361.0,42.8,40585.721,3.28,0.938
41731,Finland,FIN,2020-01-31,0.18,0.0,,,,,,,,5.56,5548361.0,42.8,40585.721,3.28,0.938
41732,Finland,FIN,2020-02-01,0.18,0.0,,,,,,,,5.56,5548361.0,42.8,40585.721,3.28,0.938
41733,Finland,FIN,2020-02-02,0.18,0.0,,,,,,,,5.56,5548361.0,42.8,40585.721,3.28,0.938
41734,Finland,FIN,2020-02-03,0.18,0.0,,,,,,,,5.56,5548361.0,42.8,40585.721,3.28,0.938
41735,Finland,FIN,2020-02-04,0.18,0.0,,,,,,,,5.56,5548361.0,42.8,40585.721,3.28,0.938
41736,Finland,FIN,2020-02-05,0.18,0.0,,,,,,,,5.56,5548361.0,42.8,40585.721,3.28,0.938
41737,Finland,FIN,2020-02-06,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41738,Finland,FIN,2020-02-07,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41739,Finland,FIN,2020-02-08,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41740,Finland,FIN,2020-02-09,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41741,Finland,FIN,2020-02-10,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41742,Finland,FIN,2020-02-11,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41743,Finland,FIN,2020-02-12,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41744,Finland,FIN,2020-02-13,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41745,Finland,FIN,2020-02-14,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41746,Finland,FIN,2020-02-15,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41747,Finland,FIN,2020-02-16,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41748,Finland,FIN,2020-02-17,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41749,Finland,FIN,2020-02-18,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41750,Finland,FIN,2020-02-19,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41751,Finland,FIN,2020-02-20,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41752,Finland,FIN,2020-02-21,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41753,Finland,FIN,2020-02-22,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41754,Finland,FIN,2020-02-23,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41755,Finland,FIN,2020-02-24,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41756,Finland,FIN,2020-02-25,0.18,0.0,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41757,Finland,FIN,2020-02-26,0.36,0.18,,,,,,,,13.89,5548361.0,42.8,40585.721,3.28,0.938
41758,Finland,FIN,2020-02-27,0.36,0.0,,,,,,,,19.44,5548361.0,42.8,40585.721,3.28,0.938
