,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
42388,France,FRA,2020-01-24,0.03,0.03,,,,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42389,France,FRA,2020-01-25,0.044000000000000004,0.015,,,,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42390,France,FRA,2020-01-26,0.044000000000000004,0.0,,,,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42391,France,FRA,2020-01-27,0.044000000000000004,0.0,,,0.0,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42392,France,FRA,2020-01-28,0.059000000000000004,0.015,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42393,France,FRA,2020-01-29,0.07400000000000001,0.015,,,0.03,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42394,France,FRA,2020-01-30,0.07400000000000001,0.0,,,0.03,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42395,France,FRA,2020-01-31,0.07400000000000001,0.0,,,0.03,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42396,France,FRA,2020-02-01,0.08900000000000001,0.015,,,,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42397,France,FRA,2020-02-02,0.08900000000000001,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42398,France,FRA,2020-02-03,0.08900000000000001,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42399,France,FRA,2020-02-04,0.08900000000000001,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42400,France,FRA,2020-02-05,0.08900000000000001,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42401,France,FRA,2020-02-06,0.08900000000000001,0.0,,,,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42402,France,FRA,2020-02-07,0.08900000000000001,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42403,France,FRA,2020-02-08,0.163,0.07400000000000001,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42404,France,FRA,2020-02-09,0.163,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42405,France,FRA,2020-02-10,0.163,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42406,France,FRA,2020-02-11,0.163,0.0,,,,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42407,France,FRA,2020-02-12,0.163,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
42408,France,FRA,2020-02-13,0.163,0.0,,,0.015,,,,,5.56,67564251.0,42.0,38605.671,5.98,0.9009999999999999
