,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
40723,Faeroe Islands,FRO,2021-01-29,,,,,,,8.14,0.0,,27.78,49053.0,,,,
40724,Faeroe Islands,FRO,2021-01-30,,,,,,,,,,27.78,49053.0,,,,
40725,Faeroe Islands,FRO,2021-01-31,,,,,,,,,,27.78,49053.0,,,,
40726,Faeroe Islands,FRO,2021-02-01,,,,,,,,,,27.78,49053.0,,,,
40727,Faeroe Islands,FRO,2021-02-02,,,,,,,,,,27.78,49053.0,,,,
40728,Faeroe Islands,FRO,2021-02-03,,,,,,,,,,27.78,49053.0,,,,
40729,Faeroe Islands,FRO,2021-02-04,,,,,,,,,,27.78,49053.0,,,,
40730,Faeroe Islands,FRO,2021-02-05,,,,,,,,,,27.78,49053.0,,,,
40731,Faeroe Islands,FRO,2021-02-06,,,,,,,8.26,1.24,,27.78,49053.0,,,,
40732,Faeroe Islands,FRO,2021-02-07,,,,,,,,,,27.78,49053.0,,,,
40733,Faeroe Islands,FRO,2021-02-08,,,,,,,8.35,1.4,,27.78,49053.0,,,,
40734,Faeroe Islands,FRO,2021-02-09,,,,,,,,,,27.78,49053.0,,,,
40735,Faeroe Islands,FRO,2021-02-10,,,,,,,8.43,2.49,,27.78,49053.0,,,,
40736,Faeroe Islands,FRO,2021-02-11,,,,,,,,,,27.78,49053.0,,,,
40737,Faeroe Islands,FRO,2021-02-12,,,,,,,,,,27.78,49053.0,,,,
40738,Faeroe Islands,FRO,2021-02-13,,,,,,,,,,27.78,49053.0,,,,
40739,Faeroe Islands,FRO,2021-02-14,,,,,,,,,,27.78,49053.0,,,,
40740,Faeroe Islands,FRO,2021-02-15,,,,,,,,,,27.78,49053.0,,,,
40741,Faeroe Islands,FRO,2021-02-16,,,,,,,,,,59.26,49053.0,,,,
40742,Faeroe Islands,FRO,2021-02-17,,,,,,,,,,59.26,49053.0,,,,
40743,Faeroe Islands,FRO,2021-02-18,,,,,,,,,,59.26,49053.0,,,,
