,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
43339,Gabon,GAB,2020-03-14,0.439,0.439,,,,,,,,33.33,2278829.0,23.1,16562.413,6.3,0.703
43340,Gabon,GAB,2020-03-15,0.439,0.0,,,,,,,,33.33,2278829.0,23.1,16562.413,6.3,0.703
43341,Gabon,GAB,2020-03-16,0.439,0.0,,,,,,,,44.44,2278829.0,23.1,16562.413,6.3,0.703
43342,Gabon,GAB,2020-03-17,0.439,0.0,,,,,,,,44.44,2278829.0,23.1,16562.413,6.3,0.703
43343,Gabon,GAB,2020-03-18,0.439,0.0,,,,,,,,44.44,2278829.0,23.1,16562.413,6.3,0.703
43344,Gabon,GAB,2020-03-19,0.439,0.0,,,,,,,,44.44,2278829.0,23.1,16562.413,6.3,0.703
43345,Gabon,GAB,2020-03-20,1.3159999999999998,0.878,0.439,0.439,,,,,,62.96,2278829.0,23.1,16562.413,6.3,0.703
43346,Gabon,GAB,2020-03-21,1.755,0.439,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43347,Gabon,GAB,2020-03-22,2.194,0.439,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43348,Gabon,GAB,2020-03-23,2.194,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43349,Gabon,GAB,2020-03-24,2.633,0.439,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43350,Gabon,GAB,2020-03-25,2.633,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43351,Gabon,GAB,2020-03-26,3.072,0.439,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43352,Gabon,GAB,2020-03-27,3.072,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43353,Gabon,GAB,2020-03-28,3.072,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43354,Gabon,GAB,2020-03-29,3.072,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43355,Gabon,GAB,2020-03-30,3.072,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43356,Gabon,GAB,2020-03-31,7.021,3.949,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43357,Gabon,GAB,2020-04-01,7.899,0.878,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43358,Gabon,GAB,2020-04-02,9.215,1.3159999999999998,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43359,Gabon,GAB,2020-04-03,9.215,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43360,Gabon,GAB,2020-04-04,9.215,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43361,Gabon,GAB,2020-04-05,9.215,0.0,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43362,Gabon,GAB,2020-04-06,10.532,1.3159999999999998,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43363,Gabon,GAB,2020-04-07,13.165,2.633,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43364,Gabon,GAB,2020-04-08,14.92,1.755,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43365,Gabon,GAB,2020-04-09,19.308,4.388,0.439,0.0,,,,,,70.37,2278829.0,23.1,16562.413,6.3,0.703
43366,Gabon,GAB,2020-04-10,19.308,0.0,0.439,0.0,,,,,,76.85,2278829.0,23.1,16562.413,6.3,0.703
43367,Gabon,GAB,2020-04-11,20.186,0.878,0.439,0.0,,,,,,76.85,2278829.0,23.1,16562.413,6.3,0.703
43368,Gabon,GAB,2020-04-12,21.502,1.3159999999999998,0.439,0.0,,,,,,78.7,2278829.0,23.1,16562.413,6.3,0.703
43369,Gabon,GAB,2020-04-13,25.013,3.511,0.439,0.0,,,,,,78.7,2278829.0,23.1,16562.413,6.3,0.703
43370,Gabon,GAB,2020-04-14,25.013,0.0,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43371,Gabon,GAB,2020-04-15,35.106,10.093,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43372,Gabon,GAB,2020-04-16,35.106,0.0,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43373,Gabon,GAB,2020-04-17,47.393,12.287,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43374,Gabon,GAB,2020-04-18,47.393,0.0,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43375,Gabon,GAB,2020-04-19,47.832,0.439,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43376,Gabon,GAB,2020-04-20,52.659,4.827,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43377,Gabon,GAB,2020-04-21,68.456,15.798,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43378,Gabon,GAB,2020-04-22,72.844,4.388,0.439,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43379,Gabon,GAB,2020-04-23,73.283,0.439,0.878,0.439,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43380,Gabon,GAB,2020-04-24,75.477,2.194,1.3159999999999998,0.439,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43381,Gabon,GAB,2020-04-25,77.233,1.755,1.3159999999999998,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43382,Gabon,GAB,2020-04-26,77.233,0.0,1.3159999999999998,0.0,,,,,,81.48,2278829.0,23.1,16562.413,6.3,0.703
43383,Gabon,GAB,2020-04-27,92.59100000000001,15.359000000000002,1.3159999999999998,0.0,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43384,Gabon,GAB,2020-04-28,104.44,11.847999999999999,1.3159999999999998,0.0,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43385,Gabon,GAB,2020-04-29,121.115,16.675,1.3159999999999998,0.0,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43386,Gabon,GAB,2020-04-30,121.115,0.0,1.3159999999999998,0.0,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43387,Gabon,GAB,2020-05-01,121.115,0.0,1.3159999999999998,0.0,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43388,Gabon,GAB,2020-05-02,147.005,25.89,2.194,0.878,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43389,Gabon,GAB,2020-05-03,147.005,0.0,2.194,0.0,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43390,Gabon,GAB,2020-05-04,161.048,14.042,2.633,0.439,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43391,Gabon,GAB,2020-05-05,174.21200000000002,13.165,2.633,0.0,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
43392,Gabon,GAB,2020-05-06,174.21200000000002,0.0,2.633,0.0,,,,,,79.63,2278829.0,23.1,16562.413,6.3,0.703
