,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
125820,United Kingdom,GBR,2020-01-31,0.028999999999999998,0.028999999999999998,,,,,,,,8.33,68207114.0,40.8,39753.244,2.54,0.932
125821,United Kingdom,GBR,2020-02-01,0.028999999999999998,0.0,,,,,,,,8.33,68207114.0,40.8,39753.244,2.54,0.932
125822,United Kingdom,GBR,2020-02-02,0.028999999999999998,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125823,United Kingdom,GBR,2020-02-03,0.11699999999999999,0.08800000000000001,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125824,United Kingdom,GBR,2020-02-04,0.11699999999999999,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125825,United Kingdom,GBR,2020-02-05,0.132,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125826,United Kingdom,GBR,2020-02-06,0.132,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125827,United Kingdom,GBR,2020-02-07,0.132,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125828,United Kingdom,GBR,2020-02-08,0.191,0.059000000000000004,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125829,United Kingdom,GBR,2020-02-09,0.205,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125830,United Kingdom,GBR,2020-02-10,0.205,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125831,United Kingdom,GBR,2020-02-11,0.22,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125832,United Kingdom,GBR,2020-02-12,0.235,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125833,United Kingdom,GBR,2020-02-13,0.249,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125834,United Kingdom,GBR,2020-02-14,0.264,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125835,United Kingdom,GBR,2020-02-15,0.264,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125836,United Kingdom,GBR,2020-02-16,0.264,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125837,United Kingdom,GBR,2020-02-17,0.27899999999999997,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125838,United Kingdom,GBR,2020-02-18,0.27899999999999997,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125839,United Kingdom,GBR,2020-02-19,0.293,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125840,United Kingdom,GBR,2020-02-20,0.32299999999999995,0.028999999999999998,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125841,United Kingdom,GBR,2020-02-21,0.337,0.015,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125842,United Kingdom,GBR,2020-02-22,0.337,0.0,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125843,United Kingdom,GBR,2020-02-23,0.41100000000000003,0.073,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125844,United Kingdom,GBR,2020-02-24,0.44,0.028999999999999998,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125845,United Kingdom,GBR,2020-02-25,0.498,0.059000000000000004,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125846,United Kingdom,GBR,2020-02-26,0.542,0.044000000000000004,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125847,United Kingdom,GBR,2020-02-27,0.645,0.10300000000000001,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125848,United Kingdom,GBR,2020-02-28,0.821,0.17600000000000002,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125849,United Kingdom,GBR,2020-02-29,0.894,0.073,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125850,United Kingdom,GBR,2020-03-01,1.3780000000000001,0.484,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125851,United Kingdom,GBR,2020-03-02,1.965,0.586,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125852,United Kingdom,GBR,2020-03-03,2.7710000000000004,0.8059999999999999,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
125853,United Kingdom,GBR,2020-03-04,3.6069999999999998,0.836,,,,,,,,11.11,68207114.0,40.8,39753.244,2.54,0.932
