,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
44564,Georgia,GEO,2020-02-26,0.251,0.251,,,,,,,,19.44,3979773.0,38.7,9745.079,2.6,0.812
44565,Georgia,GEO,2020-02-27,0.251,0.0,,,,,,,,19.44,3979773.0,38.7,9745.079,2.6,0.812
44566,Georgia,GEO,2020-02-28,0.251,0.0,,,,,,,,19.44,3979773.0,38.7,9745.079,2.6,0.812
44567,Georgia,GEO,2020-02-29,0.251,0.0,,,,,,,,19.44,3979773.0,38.7,9745.079,2.6,0.812
44568,Georgia,GEO,2020-03-01,0.754,0.503,,,,,,,,30.56,3979773.0,38.7,9745.079,2.6,0.812
44569,Georgia,GEO,2020-03-02,0.754,0.0,,,,,,,,41.67,3979773.0,38.7,9745.079,2.6,0.812
44570,Georgia,GEO,2020-03-03,0.754,0.0,,,,,,,,41.67,3979773.0,38.7,9745.079,2.6,0.812
44571,Georgia,GEO,2020-03-04,0.754,0.0,,,,,,,,41.67,3979773.0,38.7,9745.079,2.6,0.812
44572,Georgia,GEO,2020-03-05,1.005,0.251,,,,,,,,41.67,3979773.0,38.7,9745.079,2.6,0.812
44573,Georgia,GEO,2020-03-06,1.005,0.0,,,,,,,,41.67,3979773.0,38.7,9745.079,2.6,0.812
44574,Georgia,GEO,2020-03-07,1.005,0.0,,,,,,,,41.67,3979773.0,38.7,9745.079,2.6,0.812
44575,Georgia,GEO,2020-03-08,3.267,2.261,,,,,,,,41.67,3979773.0,38.7,9745.079,2.6,0.812
44576,Georgia,GEO,2020-03-09,3.7689999999999997,0.503,,,,,,,,45.37,3979773.0,38.7,9745.079,2.6,0.812
44577,Georgia,GEO,2020-03-10,3.7689999999999997,0.0,,,,,,,,45.37,3979773.0,38.7,9745.079,2.6,0.812
44578,Georgia,GEO,2020-03-11,6.03,2.261,,,,,,,,45.37,3979773.0,38.7,9745.079,2.6,0.812
44579,Georgia,GEO,2020-03-12,6.03,0.0,,,,,,,,45.37,3979773.0,38.7,9745.079,2.6,0.812
44580,Georgia,GEO,2020-03-13,6.282,0.251,,,,,,,,45.37,3979773.0,38.7,9745.079,2.6,0.812
44581,Georgia,GEO,2020-03-14,7.537999999999999,1.256,,,,,,,,52.78,3979773.0,38.7,9745.079,2.6,0.812
44582,Georgia,GEO,2020-03-15,8.292,0.754,,,,,,,,52.78,3979773.0,38.7,9745.079,2.6,0.812
44583,Georgia,GEO,2020-03-16,8.292,0.0,,,,,,,,52.78,3979773.0,38.7,9745.079,2.6,0.812
44584,Georgia,GEO,2020-03-17,8.543,0.251,,,,,,,,52.78,3979773.0,38.7,9745.079,2.6,0.812
44585,Georgia,GEO,2020-03-18,9.548,1.005,,,,,,,,55.56,3979773.0,38.7,9745.079,2.6,0.812
44586,Georgia,GEO,2020-03-19,10.051,0.503,,,,,,,,59.26,3979773.0,38.7,9745.079,2.6,0.812
44587,Georgia,GEO,2020-03-20,10.805,0.754,,,,,,,,59.26,3979773.0,38.7,9745.079,2.6,0.812
