,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
46781,Greece,GRC,2020-01-06,,,,,,0.0,,,,0.0,10370747.0,45.3,24574.382,4.21,0.888
46782,Greece,GRC,2020-01-18,,,,,,0.0,,,,0.0,10370747.0,45.3,24574.382,4.21,0.888
46783,Greece,GRC,2020-01-24,,,,,,0.0,,,,0.0,10370747.0,45.3,24574.382,4.21,0.888
46784,Greece,GRC,2020-02-02,,,,,,0.0,,,,0.0,10370747.0,45.3,24574.382,4.21,0.888
46785,Greece,GRC,2020-02-09,,,,,,0.0,,,,0.0,10370747.0,45.3,24574.382,4.21,0.888
46786,Greece,GRC,2020-02-15,,,,,,0.0,,,,0.0,10370747.0,45.3,24574.382,4.21,0.888
46787,Greece,GRC,2020-02-23,,,,,,0.0,,,,0.0,10370747.0,45.3,24574.382,4.21,0.888
46788,Greece,GRC,2020-02-26,0.096,0.096,,,,,,,,11.11,10370747.0,45.3,24574.382,4.21,0.888
46789,Greece,GRC,2020-02-27,0.289,0.193,,,,,,,,11.11,10370747.0,45.3,24574.382,4.21,0.888
46790,Greece,GRC,2020-02-28,0.386,0.096,,,,,,,,11.11,10370747.0,45.3,24574.382,4.21,0.888
46791,Greece,GRC,2020-02-29,0.386,0.0,,,,,,,,19.44,10370747.0,45.3,24574.382,4.21,0.888
46792,Greece,GRC,2020-03-01,0.675,0.289,,,,0.0,,,,19.44,10370747.0,45.3,24574.382,4.21,0.888
46793,Greece,GRC,2020-03-02,0.675,0.0,,,,,,,,19.44,10370747.0,45.3,24574.382,4.21,0.888
46794,Greece,GRC,2020-03-03,0.675,0.0,,,,,,,,19.44,10370747.0,45.3,24574.382,4.21,0.888
46795,Greece,GRC,2020-03-04,0.868,0.193,,,,,,,,19.44,10370747.0,45.3,24574.382,4.21,0.888
46796,Greece,GRC,2020-03-05,2.989,2.121,,,,,,,,28.7,10370747.0,45.3,24574.382,4.21,0.888
46797,Greece,GRC,2020-03-06,4.3389999999999995,1.35,,,,,,,,28.7,10370747.0,45.3,24574.382,4.21,0.888
46798,Greece,GRC,2020-03-07,4.436,0.096,,,,,,,,28.7,10370747.0,45.3,24574.382,4.21,0.888
46799,Greece,GRC,2020-03-08,7.039,2.603,,,,0.187,,,,28.7,10370747.0,45.3,24574.382,4.21,0.888
46800,Greece,GRC,2020-03-09,7.039,0.0,,,,,,,,31.48,10370747.0,45.3,24574.382,4.21,0.888
46801,Greece,GRC,2020-03-10,8.582,1.5430000000000001,,,,,,,,33.33,10370747.0,45.3,24574.382,4.21,0.888
46802,Greece,GRC,2020-03-11,9.546,0.9640000000000001,0.096,0.096,,,,,,33.33,10370747.0,45.3,24574.382,4.21,0.888
46803,Greece,GRC,2020-03-12,9.546,0.0,0.096,0.0,,,,,,40.74,10370747.0,45.3,24574.382,4.21,0.888
46804,Greece,GRC,2020-03-13,18.320999999999998,8.775,0.096,0.0,,,,,,40.74,10370747.0,45.3,24574.382,4.21,0.888
46805,Greece,GRC,2020-03-14,21.985,3.6639999999999997,0.289,0.193,,,,,,54.63,10370747.0,45.3,24574.382,4.21,0.888
46806,Greece,GRC,2020-03-15,31.916999999999998,9.932,0.386,0.096,,1.213,,,,54.63,10370747.0,45.3,24574.382,4.21,0.888
46807,Greece,GRC,2020-03-16,31.916999999999998,0.0,0.386,0.0,,,,,,54.63,10370747.0,45.3,24574.382,4.21,0.888
46808,Greece,GRC,2020-03-17,37.317,5.4,0.48200000000000004,0.096,,,,,,54.63,10370747.0,45.3,24574.382,4.21,0.888
46809,Greece,GRC,2020-03-18,40.306,2.989,0.48200000000000004,0.0,,,,,,65.74,10370747.0,45.3,24574.382,4.21,0.888
46810,Greece,GRC,2020-03-19,40.306,0.0,0.579,0.096,,,,,,65.74,10370747.0,45.3,24574.382,4.21,0.888
46811,Greece,GRC,2020-03-20,47.73,7.425,0.7709999999999999,0.193,,,,,,65.74,10370747.0,45.3,24574.382,4.21,0.888
46812,Greece,GRC,2020-03-21,51.105,3.375,1.254,0.48200000000000004,,,,,,74.07,10370747.0,45.3,24574.382,4.21,0.888
46813,Greece,GRC,2020-03-22,60.169,9.064,1.446,0.193,,4.012,,,,74.07,10370747.0,45.3,24574.382,4.21,0.888
46814,Greece,GRC,2020-03-23,67.015,6.846,1.639,0.193,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46815,Greece,GRC,2020-03-24,71.64399999999999,4.628,1.929,0.289,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46816,Greece,GRC,2020-03-25,80.515,8.871,2.121,0.193,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46817,Greece,GRC,2020-03-26,80.515,0.0,2.121,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46818,Greece,GRC,2020-03-27,80.515,0.0,2.121,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46819,Greece,GRC,2020-03-28,80.515,0.0,2.121,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46820,Greece,GRC,2020-03-29,111.46700000000001,30.951999999999998,3.6639999999999997,1.5430000000000001,,5.131,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46821,Greece,GRC,2020-03-30,111.46700000000001,0.0,3.6639999999999997,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46822,Greece,GRC,2020-03-31,111.46700000000001,0.0,3.6639999999999997,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46823,Greece,GRC,2020-04-01,111.46700000000001,0.0,3.6639999999999997,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46824,Greece,GRC,2020-04-02,111.46700000000001,0.0,3.6639999999999997,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46825,Greece,GRC,2020-04-03,155.534,44.066,5.689,2.025,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46826,Greece,GRC,2020-04-04,161.319,5.7860000000000005,6.557,0.868,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46827,Greece,GRC,2020-04-05,167.297,5.978,7.039,0.48200000000000004,,3.7319999999999998,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46828,Greece,GRC,2020-04-06,169.226,1.929,7.617999999999999,0.579,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46829,Greece,GRC,2020-04-07,176.65099999999998,7.425,7.81,0.193,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46830,Greece,GRC,2020-04-08,181.665,5.013999999999999,8.003,0.193,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46831,Greece,GRC,2020-04-09,188.511,6.846,8.293,0.289,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46832,Greece,GRC,2020-04-10,193.718,5.207000000000001,8.677999999999999,0.386,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46833,Greece,GRC,2020-04-11,200.66099999999997,6.943,8.968,0.289,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46834,Greece,GRC,2020-04-12,200.66099999999997,0.0,8.968,0.0,,1.8659999999999999,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46835,Greece,GRC,2020-04-13,206.832,6.171,9.546,0.579,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46836,Greece,GRC,2020-04-14,209.24200000000002,2.411,9.738999999999999,0.193,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46837,Greece,GRC,2020-04-15,211.364,2.121,9.835,0.096,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46838,Greece,GRC,2020-04-16,212.81,1.446,10.125,0.289,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46839,Greece,GRC,2020-04-17,214.449,1.639,10.414000000000001,0.289,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46840,Greece,GRC,2020-04-18,215.51,1.061,10.607000000000001,0.193,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46841,Greece,GRC,2020-04-19,216.47400000000002,0.9640000000000001,11.185,0.579,,1.5859999999999999,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46842,Greece,GRC,2020-04-20,216.47400000000002,0.0,11.185,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46843,Greece,GRC,2020-04-21,231.517,15.042,11.667,0.48200000000000004,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46844,Greece,GRC,2020-04-22,232.192,0.675,11.667,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46845,Greece,GRC,2020-04-23,237.495,5.303,12.052999999999999,0.386,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46846,Greece,GRC,2020-04-24,240.09799999999998,2.603,12.535,0.48200000000000004,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46847,Greece,GRC,2020-04-25,241.641,1.5430000000000001,12.535,0.0,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46848,Greece,GRC,2020-04-26,242.702,1.061,12.921,0.386,,0.9329999999999999,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46849,Greece,GRC,2020-04-27,244.34099999999998,1.639,13.114,0.193,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46850,Greece,GRC,2020-04-28,247.42700000000002,3.0860000000000003,13.307,0.193,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
46851,Greece,GRC,2020-04-29,248.391,0.9640000000000001,13.402999999999999,0.096,,,,,,84.26,10370747.0,45.3,24574.382,4.21,0.888
