,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
47419,Greenland,GRL,2021-01-27,,,,,,,4.54,,,37.04,56868.0,,,,
47420,Greenland,GRL,2021-01-28,,,,,,,,,,37.04,56868.0,,,,
47421,Greenland,GRL,2021-01-29,,,,,,,,,,37.04,56868.0,,,,
47422,Greenland,GRL,2021-01-30,,,,,,,,,,37.04,56868.0,,,,
47423,Greenland,GRL,2021-01-31,,,,,,,,,,37.04,56868.0,,,,
47424,Greenland,GRL,2021-02-01,,,,,,,,,,37.04,56868.0,,,,
47425,Greenland,GRL,2021-02-02,,,,,,,,,,37.04,56868.0,,,,
47426,Greenland,GRL,2021-02-03,,,,,,,,,,37.04,56868.0,,,,
47427,Greenland,GRL,2021-02-04,,,,,,,,,,37.04,56868.0,,,,
47428,Greenland,GRL,2021-02-05,,,,,,,,,,37.04,56868.0,,,,
47429,Greenland,GRL,2021-02-06,,,,,,,,,,37.04,56868.0,,,,
47430,Greenland,GRL,2021-02-07,,,,,,,,,,37.04,56868.0,,,,
47431,Greenland,GRL,2021-02-08,,,,,,,,,,37.04,56868.0,,,,
47432,Greenland,GRL,2021-02-09,,,,,,,,,,37.04,56868.0,,,,
47433,Greenland,GRL,2021-02-10,,,,,,,,,,42.59,56868.0,,,,
47434,Greenland,GRL,2021-02-11,,,,,,,,,,42.59,56868.0,,,,
47435,Greenland,GRL,2021-02-12,,,,,,,,,,42.59,56868.0,,,,
47436,Greenland,GRL,2021-02-13,,,,,,,,,,42.59,56868.0,,,,
47437,Greenland,GRL,2021-02-14,,,,,,,,,,42.59,56868.0,,,,
47438,Greenland,GRL,2021-02-15,,,,,,,,,,42.59,56868.0,,,,
47439,Greenland,GRL,2021-02-16,,,,,,,,,,42.59,56868.0,,,,
47440,Greenland,GRL,2021-02-17,,,,,,,,,,42.59,56868.0,,,,
47441,Greenland,GRL,2021-02-18,,,,,,,,,,42.59,56868.0,,,,
47442,Greenland,GRL,2021-02-19,,,,,,,,,,42.59,56868.0,,,,
47443,Greenland,GRL,2021-02-20,,,,,,,,,,42.59,56868.0,,,,
47444,Greenland,GRL,2021-02-21,,,,,,,,,,42.59,56868.0,,,,
47445,Greenland,GRL,2021-02-22,,,,,,,,,,42.59,56868.0,,,,
47446,Greenland,GRL,2021-02-23,,,,,,,,,,42.59,56868.0,,,,
