,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
50461,Guyana,GUY,2020-03-12,1.265,1.265,1.265,1.265,,,,,,25.0,790329.0,26.3,7435.047,1.6,0.682
50462,Guyana,GUY,2020-03-13,1.265,0.0,1.265,0.0,,,,,,25.0,790329.0,26.3,7435.047,1.6,0.682
50463,Guyana,GUY,2020-03-14,1.265,0.0,1.265,0.0,,,,,,25.0,790329.0,26.3,7435.047,1.6,0.682
50464,Guyana,GUY,2020-03-15,5.061,3.7960000000000003,1.265,0.0,,,,,,25.0,790329.0,26.3,7435.047,1.6,0.682
50465,Guyana,GUY,2020-03-16,5.061,0.0,1.265,0.0,,,,,,36.11,790329.0,26.3,7435.047,1.6,0.682
50466,Guyana,GUY,2020-03-17,8.857000000000001,3.7960000000000003,1.265,0.0,,,,,,36.11,790329.0,26.3,7435.047,1.6,0.682
50467,Guyana,GUY,2020-03-18,8.857000000000001,0.0,1.265,0.0,,,,,,41.67,790329.0,26.3,7435.047,1.6,0.682
50468,Guyana,GUY,2020-03-19,8.857000000000001,0.0,1.265,0.0,,,,,,41.67,790329.0,26.3,7435.047,1.6,0.682
50469,Guyana,GUY,2020-03-20,8.857000000000001,0.0,1.265,0.0,,,,,,41.67,790329.0,26.3,7435.047,1.6,0.682
50470,Guyana,GUY,2020-03-21,8.857000000000001,0.0,1.265,0.0,,,,,,41.67,790329.0,26.3,7435.047,1.6,0.682
50471,Guyana,GUY,2020-03-22,24.041,15.184000000000001,1.265,0.0,,,,,,41.67,790329.0,26.3,7435.047,1.6,0.682
50472,Guyana,GUY,2020-03-23,25.305999999999997,1.265,1.265,0.0,,,,,,41.67,790329.0,26.3,7435.047,1.6,0.682
50473,Guyana,GUY,2020-03-24,6.3260000000000005,-18.979,1.265,0.0,,,,,,41.67,790329.0,26.3,7435.047,1.6,0.682
50474,Guyana,GUY,2020-03-25,6.3260000000000005,0.0,1.265,0.0,,,,,,41.67,790329.0,26.3,7435.047,1.6,0.682
50475,Guyana,GUY,2020-03-26,6.3260000000000005,0.0,1.265,0.0,,,,,,45.37,790329.0,26.3,7435.047,1.6,0.682
50476,Guyana,GUY,2020-03-27,6.3260000000000005,0.0,1.265,0.0,,,,,,48.15,790329.0,26.3,7435.047,1.6,0.682
50477,Guyana,GUY,2020-03-28,10.122,3.7960000000000003,1.265,0.0,,,,,,57.41,790329.0,26.3,7435.047,1.6,0.682
50478,Guyana,GUY,2020-03-29,10.122,0.0,1.265,0.0,,,,,,57.41,790329.0,26.3,7435.047,1.6,0.682
50479,Guyana,GUY,2020-03-30,10.122,0.0,1.265,0.0,,,,,,57.41,790329.0,26.3,7435.047,1.6,0.682
50480,Guyana,GUY,2020-03-31,15.184000000000001,5.061,2.531,1.265,,,,,,57.41,790329.0,26.3,7435.047,1.6,0.682
50481,Guyana,GUY,2020-04-01,24.041,8.857000000000001,2.531,0.0,,,,,,57.41,790329.0,26.3,7435.047,1.6,0.682
50482,Guyana,GUY,2020-04-02,24.041,0.0,5.061,2.531,,,,,,57.41,790329.0,26.3,7435.047,1.6,0.682
50483,Guyana,GUY,2020-04-03,29.101999999999997,5.061,5.061,0.0,,,,,,85.19,790329.0,26.3,7435.047,1.6,0.682
50484,Guyana,GUY,2020-04-04,29.101999999999997,0.0,5.061,0.0,,,,,,85.19,790329.0,26.3,7435.047,1.6,0.682
50485,Guyana,GUY,2020-04-05,30.366999999999997,1.265,5.061,0.0,,,,,,85.19,790329.0,26.3,7435.047,1.6,0.682
50486,Guyana,GUY,2020-04-06,39.224000000000004,8.857000000000001,5.061,0.0,,,,,,85.19,790329.0,26.3,7435.047,1.6,0.682
50487,Guyana,GUY,2020-04-07,41.755,2.531,6.3260000000000005,1.265,,,,,,85.19,790329.0,26.3,7435.047,1.6,0.682
50488,Guyana,GUY,2020-04-08,46.816,5.061,7.5920000000000005,1.265,,,,,,85.19,790329.0,26.3,7435.047,1.6,0.682
50489,Guyana,GUY,2020-04-09,46.816,0.0,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50490,Guyana,GUY,2020-04-10,46.816,0.0,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50491,Guyana,GUY,2020-04-11,56.938,10.122,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50492,Guyana,GUY,2020-04-12,56.938,0.0,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50493,Guyana,GUY,2020-04-13,56.938,0.0,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50494,Guyana,GUY,2020-04-14,59.468999999999994,2.531,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50495,Guyana,GUY,2020-04-15,69.59100000000001,10.122,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50496,Guyana,GUY,2020-04-16,69.59100000000001,0.0,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50497,Guyana,GUY,2020-04-17,79.714,10.122,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50498,Guyana,GUY,2020-04-18,79.714,0.0,7.5920000000000005,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50499,Guyana,GUY,2020-04-19,82.244,2.531,8.857000000000001,1.265,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50500,Guyana,GUY,2020-04-20,82.244,0.0,8.857000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50501,Guyana,GUY,2020-04-21,83.51,1.265,8.857000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50502,Guyana,GUY,2020-04-22,84.775,1.265,8.857000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50503,Guyana,GUY,2020-04-23,88.571,3.7960000000000003,8.857000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50504,Guyana,GUY,2020-04-24,92.367,3.7960000000000003,8.857000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50505,Guyana,GUY,2020-04-25,92.367,0.0,8.857000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50506,Guyana,GUY,2020-04-26,93.632,1.265,10.122,1.265,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50507,Guyana,GUY,2020-04-27,93.632,0.0,10.122,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50508,Guyana,GUY,2020-04-28,93.632,0.0,10.122,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50509,Guyana,GUY,2020-04-29,98.693,5.061,10.122,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50510,Guyana,GUY,2020-04-30,103.75399999999999,5.061,11.388,1.265,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50511,Guyana,GUY,2020-05-01,103.75399999999999,0.0,11.388,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50512,Guyana,GUY,2020-05-02,103.75399999999999,0.0,11.388,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50513,Guyana,GUY,2020-05-03,103.75399999999999,0.0,11.388,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50514,Guyana,GUY,2020-05-04,116.40700000000001,12.652999999999999,11.388,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50515,Guyana,GUY,2020-05-05,117.67299999999999,1.265,12.652999999999999,1.265,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50516,Guyana,GUY,2020-05-06,117.67299999999999,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50517,Guyana,GUY,2020-05-07,117.67299999999999,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50518,Guyana,GUY,2020-05-08,118.93799999999999,1.265,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50519,Guyana,GUY,2020-05-09,118.93799999999999,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50520,Guyana,GUY,2020-05-10,131.591,12.652999999999999,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50521,Guyana,GUY,2020-05-11,137.917,6.3260000000000005,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50522,Guyana,GUY,2020-05-12,142.97799999999998,5.061,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50523,Guyana,GUY,2020-05-13,142.97799999999998,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50524,Guyana,GUY,2020-05-14,142.97799999999998,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50525,Guyana,GUY,2020-05-15,146.774,3.7960000000000003,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50526,Guyana,GUY,2020-05-16,148.04,1.265,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50527,Guyana,GUY,2020-05-17,148.04,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50528,Guyana,GUY,2020-05-18,156.89700000000002,8.857000000000001,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50529,Guyana,GUY,2020-05-19,158.162,1.265,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50530,Guyana,GUY,2020-05-20,158.162,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50531,Guyana,GUY,2020-05-21,160.69299999999998,2.531,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50532,Guyana,GUY,2020-05-22,160.69299999999998,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50533,Guyana,GUY,2020-05-23,160.69299999999998,0.0,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50534,Guyana,GUY,2020-05-24,170.815,10.122,12.652999999999999,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50535,Guyana,GUY,2020-05-25,173.34599999999998,2.531,13.918,1.265,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50536,Guyana,GUY,2020-05-26,175.87599999999998,2.531,13.918,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50537,Guyana,GUY,2020-05-27,175.87599999999998,0.0,13.918,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50538,Guyana,GUY,2020-05-28,189.794,13.918,13.918,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50539,Guyana,GUY,2020-05-29,189.794,0.0,13.918,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50540,Guyana,GUY,2020-05-30,192.325,2.531,15.184000000000001,1.265,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50541,Guyana,GUY,2020-05-31,193.59,1.265,15.184000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50542,Guyana,GUY,2020-06-01,193.59,0.0,15.184000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50543,Guyana,GUY,2020-06-02,193.59,0.0,15.184000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50544,Guyana,GUY,2020-06-03,193.59,0.0,15.184000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50545,Guyana,GUY,2020-06-04,193.59,0.0,15.184000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50546,Guyana,GUY,2020-06-05,193.59,0.0,15.184000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50547,Guyana,GUY,2020-06-06,194.856,1.265,15.184000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50548,Guyana,GUY,2020-06-07,194.856,0.0,15.184000000000001,0.0,,,,,,87.04,790329.0,26.3,7435.047,1.6,0.682
50549,Guyana,GUY,2020-06-08,194.856,0.0,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50550,Guyana,GUY,2020-06-09,197.386,2.531,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50551,Guyana,GUY,2020-06-10,197.386,0.0,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50552,Guyana,GUY,2020-06-11,199.917,2.531,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50553,Guyana,GUY,2020-06-12,201.18200000000002,1.265,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50554,Guyana,GUY,2020-06-13,201.18200000000002,0.0,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50555,Guyana,GUY,2020-06-14,201.18200000000002,0.0,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50556,Guyana,GUY,2020-06-15,201.18200000000002,0.0,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50557,Guyana,GUY,2020-06-16,216.36599999999999,15.184000000000001,15.184000000000001,0.0,,,,,,83.33,790329.0,26.3,7435.047,1.6,0.682
50558,Guyana,GUY,2020-06-17,216.36599999999999,0.0,15.184000000000001,0.0,,,,,,79.63,790329.0,26.3,7435.047,1.6,0.682
50559,Guyana,GUY,2020-06-18,231.549,15.184000000000001,15.184000000000001,0.0,,,,,,79.63,790329.0,26.3,7435.047,1.6,0.682
50560,Guyana,GUY,2020-06-19,231.549,0.0,15.184000000000001,0.0,,,,,,79.63,790329.0,26.3,7435.047,1.6,0.682
50561,Guyana,GUY,2020-06-20,231.549,0.0,15.184000000000001,0.0,,,,,,79.63,790329.0,26.3,7435.047,1.6,0.682
50562,Guyana,GUY,2020-06-21,232.81400000000002,1.265,15.184000000000001,0.0,,,,,,79.63,790329.0,26.3,7435.047,1.6,0.682
