,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
28560,Croatia,HRV,2020-02-25,0.245,0.245,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28561,Croatia,HRV,2020-02-26,0.735,0.49,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28562,Croatia,HRV,2020-02-27,0.735,0.0,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28563,Croatia,HRV,2020-02-28,1.225,0.49,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28564,Croatia,HRV,2020-02-29,1.47,0.245,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28565,Croatia,HRV,2020-03-01,1.715,0.245,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28566,Croatia,HRV,2020-03-02,1.715,0.0,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28567,Croatia,HRV,2020-03-03,2.205,0.49,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28568,Croatia,HRV,2020-03-04,2.45,0.245,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28569,Croatia,HRV,2020-03-05,2.45,0.0,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28570,Croatia,HRV,2020-03-06,2.695,0.245,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28571,Croatia,HRV,2020-03-07,2.94,0.245,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28572,Croatia,HRV,2020-03-08,2.94,0.0,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28573,Croatia,HRV,2020-03-09,2.94,0.0,,,,,,,,13.89,4081657.0,44.0,22669.797000000002,5.54,0.851
28574,Croatia,HRV,2020-03-10,3.43,0.49,,,,,,,,22.22,4081657.0,44.0,22669.797000000002,5.54,0.851
28575,Croatia,HRV,2020-03-11,4.655,1.225,,,,,,,,22.22,4081657.0,44.0,22669.797000000002,5.54,0.851
28576,Croatia,HRV,2020-03-12,4.655,0.0,,,,,,,,22.22,4081657.0,44.0,22669.797000000002,5.54,0.851
28577,Croatia,HRV,2020-03-13,7.84,3.185,,,,,,,,31.48,4081657.0,44.0,22669.797000000002,5.54,0.851
28578,Croatia,HRV,2020-03-14,9.31,1.47,,,,,,,,37.04,4081657.0,44.0,22669.797000000002,5.54,0.851
28579,Croatia,HRV,2020-03-15,12.005,2.695,,,,,,,,39.81,4081657.0,44.0,22669.797000000002,5.54,0.851
28580,Croatia,HRV,2020-03-16,13.965,1.96,,,,,,,,41.67,4081657.0,44.0,22669.797000000002,5.54,0.851
28581,Croatia,HRV,2020-03-17,15.925,1.96,,,,,,,,41.67,4081657.0,44.0,22669.797000000002,5.54,0.851
28582,Croatia,HRV,2020-03-18,19.845,3.92,,,,,,,,44.44,4081657.0,44.0,22669.797000000002,5.54,0.851
28583,Croatia,HRV,2020-03-19,25.725,5.88,0.245,0.245,,,,,,50.0,4081657.0,44.0,22669.797000000002,5.54,0.851
28584,Croatia,HRV,2020-03-20,31.36,5.635,0.245,0.0,,,,,,66.67,4081657.0,44.0,22669.797000000002,5.54,0.851
28585,Croatia,HRV,2020-03-21,50.47,19.11,0.245,0.0,,,,,,77.78,4081657.0,44.0,22669.797000000002,5.54,0.851
28586,Croatia,HRV,2020-03-22,62.23,11.76,0.245,0.0,,,,,,77.78,4081657.0,44.0,22669.797000000002,5.54,0.851
28587,Croatia,HRV,2020-03-23,77.175,14.945,0.245,0.0,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28588,Croatia,HRV,2020-03-24,93.589,16.415,0.245,0.0,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28589,Croatia,HRV,2020-03-25,108.289,14.7,0.245,0.0,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28590,Croatia,HRV,2020-03-26,121.274,12.985,0.735,0.49,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28591,Croatia,HRV,2020-03-27,143.569,22.295,0.735,0.0,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28592,Croatia,HRV,2020-03-28,160.964,17.395,1.225,0.49,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28593,Croatia,HRV,2020-03-29,174.68400000000003,13.72,1.47,0.245,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28594,Croatia,HRV,2020-03-30,193.549,18.865,1.47,0.0,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28595,Croatia,HRV,2020-03-31,212.41400000000002,18.865,1.47,0.0,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28596,Croatia,HRV,2020-04-01,235.93400000000003,23.52,1.47,0.0,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28597,Croatia,HRV,2020-04-02,247.69400000000002,11.76,1.715,0.245,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28598,Croatia,HRV,2020-04-03,264.353,16.66,1.96,0.245,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28599,Croatia,HRV,2020-04-04,275.868,11.515,2.94,0.98,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28600,Croatia,HRV,2020-04-05,289.58799999999997,13.72,3.675,0.735,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28601,Croatia,HRV,2020-04-06,299.388,9.8,3.92,0.245,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28602,Croatia,HRV,2020-04-07,314.08799999999997,14.7,4.41,0.49,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28603,Croatia,HRV,2020-04-08,329.033,14.945,4.655,0.245,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
28604,Croatia,HRV,2020-04-09,344.713,15.68,4.9,0.245,,,,,,96.3,4081657.0,44.0,22669.797000000002,5.54,0.851
