,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
53633,Hungary,HUN,2020-03-03,,,,,,,,,,11.11,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53634,Hungary,HUN,2020-03-04,0.20800000000000002,0.20800000000000002,,,,,,,,11.11,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53635,Hungary,HUN,2020-03-05,0.20800000000000002,0.0,,,,,,,,11.11,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53636,Hungary,HUN,2020-03-06,0.20800000000000002,0.0,,,,,,,,11.11,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53637,Hungary,HUN,2020-03-07,0.415,0.20800000000000002,,,,,,,,11.11,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53638,Hungary,HUN,2020-03-08,0.727,0.311,,,,,,,,11.11,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53639,Hungary,HUN,2020-03-09,0.934,0.20800000000000002,,,,,,,,19.44,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53640,Hungary,HUN,2020-03-10,0.934,0.0,,,,,,,,19.44,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53641,Hungary,HUN,2020-03-11,1.349,0.415,,,,,,,,46.3,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53642,Hungary,HUN,2020-03-12,1.349,0.0,,,,,,,,50.0,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53643,Hungary,HUN,2020-03-13,1.972,0.623,,,,,,,,50.0,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53644,Hungary,HUN,2020-03-14,3.114,1.1420000000000001,,,,,,,,50.0,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53645,Hungary,HUN,2020-03-15,3.322,0.20800000000000002,0.10400000000000001,0.10400000000000001,,,,,,50.0,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53646,Hungary,HUN,2020-03-16,4.048,0.727,0.10400000000000001,0.0,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53647,Hungary,HUN,2020-03-17,5.19,1.1420000000000001,0.10400000000000001,0.0,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53648,Hungary,HUN,2020-03-18,6.02,0.83,0.10400000000000001,0.0,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53649,Hungary,HUN,2020-03-19,7.577000000000001,1.557,0.10400000000000001,0.0,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53650,Hungary,HUN,2020-03-20,8.823,1.246,0.311,0.20800000000000002,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53651,Hungary,HUN,2020-03-21,10.690999999999999,1.868,0.415,0.10400000000000001,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53652,Hungary,HUN,2020-03-22,13.597000000000001,2.906,0.623,0.20800000000000002,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53653,Hungary,HUN,2020-03-23,17.334,3.737,0.727,0.10400000000000001,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53654,Hungary,HUN,2020-03-24,19.41,2.076,0.934,0.20800000000000002,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53655,Hungary,HUN,2020-03-25,23.458000000000002,4.048,1.038,0.10400000000000001,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53656,Hungary,HUN,2020-03-26,27.090999999999998,3.633,1.038,0.0,,,,,,67.59,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53657,Hungary,HUN,2020-03-27,31.139,4.048,1.038,0.0,,,,,,71.3,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53658,Hungary,HUN,2020-03-28,35.602,4.463,1.1420000000000001,0.10400000000000001,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53659,Hungary,HUN,2020-03-29,42.349,6.747000000000001,1.349,0.20800000000000002,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53660,Hungary,HUN,2020-03-30,46.397,4.048,1.557,0.20800000000000002,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53661,Hungary,HUN,2020-03-31,51.068000000000005,4.671,1.661,0.10400000000000001,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53662,Hungary,HUN,2020-04-01,54.494,3.425,2.076,0.415,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53663,Hungary,HUN,2020-04-02,60.721000000000004,6.228,2.18,0.10400000000000001,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53664,Hungary,HUN,2020-04-03,64.666,3.944,2.699,0.519,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53665,Hungary,HUN,2020-04-04,70.375,5.709,3.322,0.623,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53666,Hungary,HUN,2020-04-05,76.083,5.709,3.529,0.20800000000000002,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53667,Hungary,HUN,2020-04-06,77.225,1.1420000000000001,3.944,0.415,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53668,Hungary,HUN,2020-04-07,84.802,7.577000000000001,4.878,0.934,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53669,Hungary,HUN,2020-04-08,92.899,8.096,6.02,1.1420000000000001,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53670,Hungary,HUN,2020-04-09,101.721,8.823,6.851,0.83,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53671,Hungary,HUN,2020-04-10,123.51899999999999,21.796999999999997,7.992000000000001,1.1420000000000001,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53672,Hungary,HUN,2020-04-11,135.974,12.456,8.823,0.83,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53673,Hungary,HUN,2020-04-12,146.35399999999998,10.38,10.276,1.453,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53674,Hungary,HUN,2020-04-13,151.336,4.982,11.314,1.038,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53675,Hungary,HUN,2020-04-14,156.942,5.605,12.663,1.349,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53676,Hungary,HUN,2020-04-15,163.896,6.954,13.909,1.246,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53677,Hungary,HUN,2020-04-16,171.47299999999998,7.577000000000001,14.739,0.83,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53678,Hungary,HUN,2020-04-17,182.995,11.522,16.192,1.453,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
53679,Hungary,HUN,2020-04-18,190.364,7.37,17.852999999999998,1.661,,,,,,76.85,9634162.0,43.4,26777.561,7.02,0.8540000000000001
