,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
55547,Indonesia,IDN,2020-03-02,0.006999999999999999,0.006999999999999999,,,,,,,,28.7,276361788.0,29.3,11188.743999999999,1.04,0.718
55548,Indonesia,IDN,2020-03-03,0.006999999999999999,0.0,,,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55549,Indonesia,IDN,2020-03-04,0.006999999999999999,0.0,,,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55550,Indonesia,IDN,2020-03-05,0.006999999999999999,0.0,,,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55551,Indonesia,IDN,2020-03-06,0.013999999999999999,0.006999999999999999,,,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55552,Indonesia,IDN,2020-03-07,0.013999999999999999,0.0,,,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55553,Indonesia,IDN,2020-03-08,0.022000000000000002,0.006999999999999999,,,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55554,Indonesia,IDN,2020-03-09,0.069,0.047,,,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55555,Indonesia,IDN,2020-03-10,0.098,0.028999999999999998,,,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55556,Indonesia,IDN,2020-03-11,0.12300000000000001,0.025,0.004,0.004,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55557,Indonesia,IDN,2020-03-12,0.12300000000000001,0.0,0.004,0.0,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55558,Indonesia,IDN,2020-03-13,0.25,0.127,0.013999999999999999,0.011000000000000001,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55559,Indonesia,IDN,2020-03-14,0.34700000000000003,0.098,0.018000000000000002,0.004,,,,,,37.04,276361788.0,29.3,11188.743999999999,1.04,0.718
55560,Indonesia,IDN,2020-03-15,0.423,0.076,0.018000000000000002,0.0,,,,,,40.74,276361788.0,29.3,11188.743999999999,1.04,0.718
55561,Indonesia,IDN,2020-03-16,0.485,0.062,0.018000000000000002,0.0,,,,,,45.37,276361788.0,29.3,11188.743999999999,1.04,0.718
55562,Indonesia,IDN,2020-03-17,0.622,0.138,0.018000000000000002,0.0,,,,,,42.59,276361788.0,29.3,11188.743999999999,1.04,0.718
55563,Indonesia,IDN,2020-03-18,0.821,0.19899999999999998,0.069,0.051,,,,,,42.59,276361788.0,29.3,11188.743999999999,1.04,0.718
55564,Indonesia,IDN,2020-03-19,1.125,0.304,0.09,0.022000000000000002,,,,,,45.37,276361788.0,29.3,11188.743999999999,1.04,0.718
55565,Indonesia,IDN,2020-03-20,1.335,0.21,0.11599999999999999,0.025,,,,,,45.37,276361788.0,29.3,11188.743999999999,1.04,0.718
55566,Indonesia,IDN,2020-03-21,1.6280000000000001,0.293,0.138,0.022000000000000002,,,,,,45.37,276361788.0,29.3,11188.743999999999,1.04,0.718
55567,Indonesia,IDN,2020-03-22,1.86,0.23199999999999998,0.174,0.036000000000000004,,,,,,45.37,276361788.0,29.3,11188.743999999999,1.04,0.718
55568,Indonesia,IDN,2020-03-23,2.095,0.235,0.177,0.004,,,,,,48.15,276361788.0,29.3,11188.743999999999,1.04,0.718
55569,Indonesia,IDN,2020-03-24,2.4819999999999998,0.387,0.19899999999999998,0.022000000000000002,,,,,,48.15,276361788.0,29.3,11188.743999999999,1.04,0.718
55570,Indonesia,IDN,2020-03-25,2.859,0.376,0.21,0.011000000000000001,,,,,,48.15,276361788.0,29.3,11188.743999999999,1.04,0.718
55571,Indonesia,IDN,2020-03-26,3.2310000000000003,0.373,0.282,0.07200000000000001,,,,,,48.15,276361788.0,29.3,11188.743999999999,1.04,0.718
55572,Indonesia,IDN,2020-03-27,3.785,0.5539999999999999,0.315,0.033,,,,,,48.15,276361788.0,29.3,11188.743999999999,1.04,0.718
55573,Indonesia,IDN,2020-03-28,4.178999999999999,0.39399999999999996,0.369,0.054000000000000006,,,,,,48.15,276361788.0,29.3,11188.743999999999,1.04,0.718
55574,Indonesia,IDN,2020-03-29,4.65,0.47,0.413,0.043,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55575,Indonesia,IDN,2020-03-30,5.1160000000000005,0.467,0.441,0.028999999999999998,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55576,Indonesia,IDN,2020-03-31,5.529,0.413,0.49200000000000005,0.051,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55577,Indonesia,IDN,2020-04-01,6.068,0.539,0.568,0.076,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55578,Indonesia,IDN,2020-04-02,6.477,0.409,0.615,0.047,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55579,Indonesia,IDN,2020-04-03,7.186,0.7090000000000001,0.655,0.04,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55580,Indonesia,IDN,2020-04-04,7.57,0.384,0.691,0.036000000000000004,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55581,Indonesia,IDN,2020-04-05,8.225,0.655,0.716,0.025,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55582,Indonesia,IDN,2020-04-06,9.014,0.789,0.7559999999999999,0.04,,,,,,50.93,276361788.0,29.3,11188.743999999999,1.04,0.718
55583,Indonesia,IDN,2020-04-07,9.907,0.894,0.8,0.043,,,,,,60.65,276361788.0,29.3,11188.743999999999,1.04,0.718
55584,Indonesia,IDN,2020-04-08,10.696,0.789,0.868,0.069,,,,,,60.65,276361788.0,29.3,11188.743999999999,1.04,0.718
55585,Indonesia,IDN,2020-04-09,11.915999999999999,1.219,1.013,0.145,,,,,,60.65,276361788.0,29.3,11188.743999999999,1.04,0.718
