,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
54889,India,IND,2020-01-30,0.001,0.001,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54890,India,IND,2020-01-31,0.001,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54891,India,IND,2020-02-01,0.001,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54892,India,IND,2020-02-02,0.001,0.001,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54893,India,IND,2020-02-03,0.002,0.001,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54894,India,IND,2020-02-04,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54895,India,IND,2020-02-05,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54896,India,IND,2020-02-06,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54897,India,IND,2020-02-07,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54898,India,IND,2020-02-08,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54899,India,IND,2020-02-09,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54900,India,IND,2020-02-10,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54901,India,IND,2020-02-11,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54902,India,IND,2020-02-12,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54903,India,IND,2020-02-13,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54904,India,IND,2020-02-14,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54905,India,IND,2020-02-15,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54906,India,IND,2020-02-16,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54907,India,IND,2020-02-17,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54908,India,IND,2020-02-18,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54909,India,IND,2020-02-19,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54910,India,IND,2020-02-20,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54911,India,IND,2020-02-21,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
54912,India,IND,2020-02-22,0.002,0.0,,,,,,,,10.19,1393409033.0,28.2,6426.674,0.53,0.645
