,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
58094,Ireland,IRL,2020-02-29,0.201,0.201,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58095,Ireland,IRL,2020-03-01,0.201,0.0,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58096,Ireland,IRL,2020-03-02,0.201,0.0,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58097,Ireland,IRL,2020-03-03,0.401,0.201,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58098,Ireland,IRL,2020-03-04,1.204,0.8029999999999999,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58099,Ireland,IRL,2020-03-05,1.204,0.0,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58100,Ireland,IRL,2020-03-06,3.612,2.408,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58101,Ireland,IRL,2020-03-07,3.612,0.0,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58102,Ireland,IRL,2020-03-08,3.813,0.201,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58103,Ireland,IRL,2020-03-09,4.2139999999999995,0.401,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58104,Ireland,IRL,2020-03-10,6.8229999999999995,2.609,,,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58105,Ireland,IRL,2020-03-11,8.63,1.806,0.201,0.201,,,,,,11.11,4982904.0,38.7,67335.293,2.96,0.955
58106,Ireland,IRL,2020-03-12,8.63,0.0,0.201,0.0,,,,,,31.48,4982904.0,38.7,67335.293,2.96,0.955
58107,Ireland,IRL,2020-03-13,18.062,9.432,0.201,0.0,,,,,,42.59,4982904.0,38.7,67335.293,2.96,0.955
58108,Ireland,IRL,2020-03-14,25.889,7.827000000000001,0.401,0.201,,,,,,42.59,4982904.0,38.7,67335.293,2.96,0.955
58109,Ireland,IRL,2020-03-15,25.889,0.0,0.401,0.0,,,,,,48.15,4982904.0,38.7,67335.293,2.96,0.955
58110,Ireland,IRL,2020-03-16,33.916,8.027000000000001,0.401,0.0,,,,,,48.15,4982904.0,38.7,67335.293,2.96,0.955
