,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
56823,Iran,IRN,2020-02-19,0.024,0.024,0.024,0.024,,,,,,0.0,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56824,Iran,IRN,2020-02-20,0.059000000000000004,0.035,0.024,0.0,,,,,,2.78,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56825,Iran,IRN,2020-02-21,0.212,0.153,0.047,0.024,,,,,,2.78,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56826,Iran,IRN,2020-02-22,0.32899999999999996,0.11800000000000001,0.059000000000000004,0.012,,,,,,11.11,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56827,Iran,IRN,2020-02-23,0.506,0.17600000000000002,0.094,0.035,,,,,,11.11,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56828,Iran,IRN,2020-02-24,0.7170000000000001,0.212,0.141,0.047,,,,,,11.11,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56829,Iran,IRN,2020-02-25,1.117,0.4,0.188,0.047,,,,,,11.11,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56830,Iran,IRN,2020-02-26,1.635,0.517,0.223,0.035,,,,,,20.37,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56831,Iran,IRN,2020-02-27,2.8810000000000002,1.247,0.306,0.08199999999999999,,,,,,20.37,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56832,Iran,IRN,2020-02-28,4.563,1.682,0.4,0.094,,,,,,20.37,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56833,Iran,IRN,2020-02-29,6.974,2.411,0.506,0.106,,,,,,20.37,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56834,Iran,IRN,2020-03-01,11.502,4.5280000000000005,0.635,0.129,,,,,,20.37,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56835,Iran,IRN,2020-03-02,17.653,6.151,0.7759999999999999,0.141,,,,,,20.37,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56836,Iran,IRN,2020-03-03,27.473000000000003,9.82,0.9059999999999999,0.129,,,,,,20.37,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56837,Iran,IRN,2020-03-04,34.365,6.892,1.082,0.17600000000000002,,,,,,20.37,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56838,Iran,IRN,2020-03-05,41.315,6.9510000000000005,1.258,0.17600000000000002,,,,,,42.59,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56839,Iran,IRN,2020-03-06,55.828,14.513,1.4580000000000002,0.2,,,,,,42.59,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56840,Iran,IRN,2020-03-07,68.483,12.655,1.705,0.247,,,,,,42.59,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56841,Iran,IRN,2020-03-08,77.221,8.738,2.282,0.5760000000000001,,,,,,42.59,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56842,Iran,IRN,2020-03-09,84.219,6.997999999999999,2.787,0.506,,,,,,42.59,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56843,Iran,IRN,2020-03-10,94.58,10.360999999999999,3.4219999999999997,0.635,,,,,,42.59,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56844,Iran,IRN,2020-03-11,105.84700000000001,11.267000000000001,4.163,0.741,,,,,,48.15,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56845,Iran,IRN,2020-03-12,118.48899999999999,12.642999999999999,5.045,0.882,,,,,,48.15,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56846,Iran,IRN,2020-03-13,133.649,15.16,6.045,1.0,,,,,,48.15,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56847,Iran,IRN,2020-03-14,149.702,16.053,7.186,1.141,,,,,,48.15,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56848,Iran,IRN,2020-03-15,163.921,14.219000000000001,8.515,1.329,,,,,,48.15,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56849,Iran,IRN,2020-03-16,176.305,12.384,10.032,1.517,,,,,,48.15,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56850,Iran,IRN,2020-03-17,190.15900000000002,13.854000000000001,11.62,1.588,,,,,,48.15,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56851,Iran,IRN,2020-03-18,204.178,14.019,13.347999999999999,1.729,,,,,,48.15,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56852,Iran,IRN,2020-03-19,216.48,12.302,15.100999999999999,1.7519999999999998,,,,,,51.85,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56853,Iran,IRN,2020-03-20,231.028,14.548,16.852999999999998,1.7519999999999998,,,,,,51.85,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56854,Iran,IRN,2020-03-21,242.389,11.360999999999999,18.3,1.4469999999999998,,,,,,51.85,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56855,Iran,IRN,2020-03-22,254.479,12.09,19.817,1.517,,,,,,57.41,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56856,Iran,IRN,2020-03-23,271.073,16.594,21.31,1.494,,,,,,57.41,85028760.0,32.4,19082.62,1.5,0.7829999999999999
56857,Iran,IRN,2020-03-24,291.795,20.721999999999998,22.745,1.435,,,,,,57.41,85028760.0,32.4,19082.62,1.5,0.7829999999999999
