,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
54258,Iceland,ISL,2020-02-09,,,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54259,Iceland,ISL,2020-02-27,,,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54260,Iceland,ISL,2020-02-28,2.912,2.912,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54261,Iceland,ISL,2020-02-29,2.912,0.0,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54262,Iceland,ISL,2020-03-01,8.737,5.825,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54263,Iceland,ISL,2020-03-02,17.474,8.737,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54264,Iceland,ISL,2020-03-03,32.036,14.562000000000001,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54265,Iceland,ISL,2020-03-04,75.722,43.68600000000001,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54266,Iceland,ISL,2020-03-05,99.021,23.299,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54267,Iceland,ISL,2020-03-06,125.23299999999999,26.212,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54268,Iceland,ISL,2020-03-07,145.62,20.387,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54269,Iceland,ISL,2020-03-08,145.62,0.0,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54270,Iceland,ISL,2020-03-09,168.919,23.299,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54271,Iceland,ISL,2020-03-10,200.955,32.036,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54272,Iceland,ISL,2020-03-11,247.554,46.598,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54273,Iceland,ISL,2020-03-12,299.97700000000003,52.423,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54274,Iceland,ISL,2020-03-13,390.26099999999997,90.28399999999999,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54275,Iceland,ISL,2020-03-14,454.334,64.07300000000001,,,,,,,,16.67,343360.0,37.3,46482.958,2.91,0.9490000000000001
54276,Iceland,ISL,2020-03-15,498.02,43.68600000000001,,,,,,,,25.0,343360.0,37.3,46482.958,2.91,0.9490000000000001
54277,Iceland,ISL,2020-03-16,524.231,26.212,,,,,,,,50.93,343360.0,37.3,46482.958,2.91,0.9490000000000001
54278,Iceland,ISL,2020-03-17,640.727,116.49600000000001,,,,,,,,50.93,343360.0,37.3,46482.958,2.91,0.9490000000000001
54279,Iceland,ISL,2020-03-18,728.0989999999999,87.37200000000001,,,,,,,,50.93,343360.0,37.3,46482.958,2.91,0.9490000000000001
54280,Iceland,ISL,2020-03-19,961.09,232.99200000000002,,,,,,,,50.93,343360.0,37.3,46482.958,2.91,0.9490000000000001
54281,Iceland,ISL,2020-03-20,1191.17,230.079,,,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54282,Iceland,ISL,2020-03-21,1377.5629999999999,186.393,2.912,2.912,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54283,Iceland,ISL,2020-03-22,1654.24,276.678,2.912,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54284,Iceland,ISL,2020-03-23,1712.4879999999998,58.248000000000005,2.912,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54285,Iceland,ISL,2020-03-24,1887.2320000000002,174.74400000000003,5.825,2.912,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54286,Iceland,ISL,2020-03-25,2146.435,259.203,5.825,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54287,Iceland,ISL,2020-03-26,2335.741,189.30599999999998,5.825,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54288,Iceland,ISL,2020-03-27,2592.032,256.291,5.825,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54289,Iceland,ISL,2020-03-28,2804.637,212.605,5.825,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54290,Iceland,ISL,2020-03-29,2970.643,166.007,5.825,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54291,Iceland,ISL,2020-03-30,3162.861,192.218,5.825,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54292,Iceland,ISL,2020-03-31,3305.5679999999998,142.707,5.825,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54293,Iceland,ISL,2020-04-01,3553.1220000000003,247.554,5.825,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54294,Iceland,ISL,2020-04-02,3841.449,288.327,11.65,5.825,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54295,Iceland,ISL,2020-04-03,3972.507,131.058,11.65,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54296,Iceland,ISL,2020-04-04,4126.8640000000005,154.357,11.65,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54297,Iceland,ISL,2020-04-05,4327.819,200.955,11.65,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54298,Iceland,ISL,2020-04-06,4549.161,221.342,17.474,5.825,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54299,Iceland,ISL,2020-04-07,4619.059,69.89699999999999,17.474,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54300,Iceland,ISL,2020-04-08,4706.431,87.37200000000001,17.474,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54301,Iceland,ISL,2020-04-09,4799.627,93.197,17.474,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54302,Iceland,ISL,2020-04-10,4878.262,78.635,20.387,2.912,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54303,Iceland,ISL,2020-04-11,4919.035,40.774,23.299,2.912,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54304,Iceland,ISL,2020-04-12,4953.984,34.949,23.299,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54305,Iceland,ISL,2020-04-13,4983.108,29.124000000000002,23.299,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54306,Iceland,ISL,2020-04-14,5009.32,26.212,23.299,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54307,Iceland,ISL,2020-04-15,5029.706,20.387,23.299,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54308,Iceland,ISL,2020-04-16,5064.655,34.949,23.299,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54309,Iceland,ISL,2020-04-17,5108.340999999999,43.68600000000001,26.212,2.912,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54310,Iceland,ISL,2020-04-18,5125.815,17.474,26.212,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54311,Iceland,ISL,2020-04-19,5157.852,32.036,26.212,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54312,Iceland,ISL,2020-04-20,5163.677,5.825,29.124000000000002,2.912,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54313,Iceland,ISL,2020-04-21,5178.2390000000005,14.562000000000001,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54314,Iceland,ISL,2020-04-22,5198.625,20.387,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54315,Iceland,ISL,2020-04-23,5210.275,11.65,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54316,Iceland,ISL,2020-04-24,5210.275,0.0,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54317,Iceland,ISL,2020-04-25,5213.187,2.912,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54318,Iceland,ISL,2020-04-26,5219.012,5.825,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54319,Iceland,ISL,2020-04-27,5219.012,0.0,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54320,Iceland,ISL,2020-04-28,5227.749,8.737,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54321,Iceland,ISL,2020-04-29,5233.5740000000005,5.825,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54322,Iceland,ISL,2020-04-30,5233.5740000000005,0.0,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54323,Iceland,ISL,2020-05-01,5236.486,2.912,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54324,Iceland,ISL,2020-05-02,5236.486,0.0,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
54325,Iceland,ISL,2020-05-03,5239.399,2.912,29.124000000000002,0.0,,,,,,53.7,343360.0,37.3,46482.958,2.91,0.9490000000000001
