,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
59022,Israel,ISR,2020-02-20,,,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59023,Israel,ISR,2020-02-21,0.10800000000000001,0.10800000000000001,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59024,Israel,ISR,2020-02-22,0.10800000000000001,0.0,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59025,Israel,ISR,2020-02-23,0.10800000000000001,0.0,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59026,Israel,ISR,2020-02-24,0.10800000000000001,0.0,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59027,Israel,ISR,2020-02-25,0.10800000000000001,0.0,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59028,Israel,ISR,2020-02-26,0.215,0.10800000000000001,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59029,Israel,ISR,2020-02-27,0.32299999999999995,0.10800000000000001,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59030,Israel,ISR,2020-02-28,0.6459999999999999,0.32299999999999995,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59031,Israel,ISR,2020-02-29,0.6459999999999999,0.0,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59032,Israel,ISR,2020-03-01,0.753,0.10800000000000001,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59033,Israel,ISR,2020-03-02,1.2919999999999998,0.5379999999999999,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59034,Israel,ISR,2020-03-03,1.614,0.32299999999999995,,,,,,,,19.44,9291000.0,30.6,33132.32,2.99,0.919
59035,Israel,ISR,2020-03-04,1.614,0.0,,,,,,,,33.33,9291000.0,30.6,33132.32,2.99,0.919
59036,Israel,ISR,2020-03-05,2.26,0.6459999999999999,,,,,,,,33.33,9291000.0,30.6,33132.32,2.99,0.919
59037,Israel,ISR,2020-03-06,3.9819999999999998,1.722,,,,,,,,33.33,9291000.0,30.6,33132.32,2.99,0.919
59038,Israel,ISR,2020-03-07,5.059,1.0759999999999998,,,,,,,,33.33,9291000.0,30.6,33132.32,2.99,0.919
59039,Israel,ISR,2020-03-08,6.027,0.9690000000000001,,,,0.569,,,,33.33,9291000.0,30.6,33132.32,2.99,0.919
59040,Israel,ISR,2020-03-09,6.457999999999999,0.431,,,,,,,,33.33,9291000.0,30.6,33132.32,2.99,0.919
59041,Israel,ISR,2020-03-10,9.472000000000001,3.014,,,,,,,,33.33,9291000.0,30.6,33132.32,2.99,0.919
59042,Israel,ISR,2020-03-11,6.457999999999999,-3.014,,,,,,,,33.33,9291000.0,30.6,33132.32,2.99,0.919
59043,Israel,ISR,2020-03-12,8.718,2.26,,,,,,,,41.67,9291000.0,30.6,33132.32,2.99,0.919
59044,Israel,ISR,2020-03-13,12.055,3.3369999999999997,,,,,,,,52.78,9291000.0,30.6,33132.32,2.99,0.919
59045,Israel,ISR,2020-03-14,14.853,2.798,,,,,,,,52.78,9291000.0,30.6,33132.32,2.99,0.919
59046,Israel,ISR,2020-03-15,19.051,4.198,,,,0.6829999999999999,,,,62.96,9291000.0,30.6,33132.32,2.99,0.919
59047,Israel,ISR,2020-03-16,27.015,7.965,,,,,,,,68.52,9291000.0,30.6,33132.32,2.99,0.919
59048,Israel,ISR,2020-03-17,31.750999999999998,4.736000000000001,,,,,,,,77.78,9291000.0,30.6,33132.32,2.99,0.919
59049,Israel,ISR,2020-03-18,39.931,8.18,,,,,,,,77.78,9291000.0,30.6,33132.32,2.99,0.919
59050,Israel,ISR,2020-03-19,41.54600000000001,1.614,,,,,,,,77.78,9291000.0,30.6,33132.32,2.99,0.919
59051,Israel,ISR,2020-03-20,67.592,26.046999999999997,0.10800000000000001,0.10800000000000001,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59052,Israel,ISR,2020-03-21,90.73299999999999,23.141,0.10800000000000001,0.0,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59053,Israel,ISR,2020-03-22,116.242,25.509,0.10800000000000001,0.0,,3.4130000000000003,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59054,Israel,ISR,2020-03-23,134.431,18.19,0.10800000000000001,0.0,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59055,Israel,ISR,2020-03-24,145.41,10.978,0.431,0.32299999999999995,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59056,Israel,ISR,2020-03-25,265.633,120.22399999999999,0.5379999999999999,0.10800000000000001,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59057,Israel,ISR,2020-03-26,321.60200000000003,55.968,1.0759999999999998,0.5379999999999999,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59058,Israel,ISR,2020-03-27,368.20599999999996,46.604,1.2919999999999998,0.215,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59059,Israel,ISR,2020-03-28,419.869,51.663000000000004,1.399,0.10800000000000001,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59060,Israel,ISR,2020-03-29,477.12800000000004,57.26,1.722,0.32299999999999995,,6.94,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59061,Israel,ISR,2020-03-30,535.895,58.766999999999996,1.83,0.10800000000000001,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59062,Israel,ISR,2020-03-31,615.327,79.432,2.26,0.431,,,,,,81.48,9291000.0,30.6,33132.32,2.99,0.919
59063,Israel,ISR,2020-04-01,690.238,74.911,3.1210000000000004,0.861,,,,,,85.19,9291000.0,30.6,33132.32,2.99,0.919
59064,Israel,ISR,2020-04-02,767.625,77.387,4.09,0.9690000000000001,,,,,,85.19,9291000.0,30.6,33132.32,2.99,0.919
59065,Israel,ISR,2020-04-03,831.88,64.256,4.628,0.5379999999999999,,,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
59066,Israel,ISR,2020-04-04,877.946,46.066,5.274,0.6459999999999999,,,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
59067,Israel,ISR,2020-04-05,940.695,62.748999999999995,6.027,0.753,,12.401,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
59068,Israel,ISR,2020-04-06,989.237,48.542,6.888,0.861,,,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
59069,Israel,ISR,2020-04-07,1029.8139999999999,40.577,7.749,0.861,,,,,,90.74,9291000.0,30.6,33132.32,2.99,0.919
59070,Israel,ISR,2020-04-08,1066.193,36.379,8.61,0.861,,,,,,94.44,9291000.0,30.6,33132.32,2.99,0.919
59071,Israel,ISR,2020-04-09,1103.111,36.917,9.579,0.9690000000000001,,,,,,94.44,9291000.0,30.6,33132.32,2.99,0.919
59072,Israel,ISR,2020-04-10,1141.642,38.532,10.44,0.861,,,,,,94.44,9291000.0,30.6,33132.32,2.99,0.919
59073,Israel,ISR,2020-04-11,1178.775,37.133,11.085999999999999,0.6459999999999999,,,,,,91.67,9291000.0,30.6,33132.32,2.99,0.919
59074,Israel,ISR,2020-04-12,1238.187,59.412,11.732000000000001,0.6459999999999999,,15.927999999999999,,,,91.67,9291000.0,30.6,33132.32,2.99,0.919
59075,Israel,ISR,2020-04-13,1285.33,47.141999999999996,12.7,0.9690000000000001,,,,,,91.67,9291000.0,30.6,33132.32,2.99,0.919
59076,Israel,ISR,2020-04-14,1328.275,42.945,13.562000000000001,0.861,,,,,,94.44,9291000.0,30.6,33132.32,2.99,0.919
59077,Israel,ISR,2020-04-15,1361.7479999999998,33.473,14.960999999999999,1.399,,,,,,94.44,9291000.0,30.6,33132.32,2.99,0.919
59078,Israel,ISR,2020-04-16,1393.6070000000002,31.859,15.714,0.753,,,,,,94.44,9291000.0,30.6,33132.32,2.99,0.919
59079,Israel,ISR,2020-04-17,1425.681,32.074,16.683,0.9690000000000001,,,,,,91.67,9291000.0,30.6,33132.32,2.99,0.919
59080,Israel,ISR,2020-04-18,1457.001,31.320999999999998,17.867,1.1840000000000002,,,,,,91.67,9291000.0,30.6,33132.32,2.99,0.919
59081,Israel,ISR,2020-04-19,1486.7079999999999,29.706,18.727999999999998,0.861,,15.472999999999999,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
59082,Israel,ISR,2020-04-20,1518.889,32.181999999999995,19.374000000000002,0.6459999999999999,,,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
59083,Israel,ISR,2020-04-21,1549.241,30.351999999999997,20.342,0.9690000000000001,,,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
59084,Israel,ISR,2020-04-22,1573.4579999999999,24.217,20.665,0.32299999999999995,,,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
59085,Israel,ISR,2020-04-23,1603.164,29.706,21.096,0.431,,,,,,87.96,9291000.0,30.6,33132.32,2.99,0.919
