,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
59659,Italy,ITA,2020-01-31,0.033,0.033,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59660,Italy,ITA,2020-02-01,0.033,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59661,Italy,ITA,2020-02-02,0.033,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59662,Italy,ITA,2020-02-03,0.033,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59663,Italy,ITA,2020-02-04,0.033,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59664,Italy,ITA,2020-02-05,0.033,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59665,Italy,ITA,2020-02-06,0.033,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59666,Italy,ITA,2020-02-07,0.05,0.017,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59667,Italy,ITA,2020-02-08,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59668,Italy,ITA,2020-02-09,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59669,Italy,ITA,2020-02-10,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59670,Italy,ITA,2020-02-11,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59671,Italy,ITA,2020-02-12,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59672,Italy,ITA,2020-02-13,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59673,Italy,ITA,2020-02-14,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59674,Italy,ITA,2020-02-15,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59675,Italy,ITA,2020-02-16,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59676,Italy,ITA,2020-02-17,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59677,Italy,ITA,2020-02-18,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59678,Italy,ITA,2020-02-19,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59679,Italy,ITA,2020-02-20,0.05,0.0,,,,,,,,19.44,60367471.0,47.9,35220.084,3.18,0.892
59680,Italy,ITA,2020-02-21,0.331,0.282,0.017,0.017,,,,,,27.78,60367471.0,47.9,35220.084,3.18,0.892
59681,Italy,ITA,2020-02-22,1.0270000000000001,0.696,0.033,0.017,,,,,,37.04,60367471.0,47.9,35220.084,3.18,0.892
59682,Italy,ITA,2020-02-23,2.568,1.541,0.05,0.017,,,,,,64.35,60367471.0,47.9,35220.084,3.18,0.892
59683,Italy,ITA,2020-02-24,3.793,1.226,0.11599999999999999,0.066,0.431,,,,,64.35,60367471.0,47.9,35220.084,3.18,0.892
59684,Italy,ITA,2020-02-25,5.334,1.541,0.166,0.05,0.58,,,,,64.35,60367471.0,47.9,35220.084,3.18,0.892
59685,Italy,ITA,2020-02-26,7.504,2.17,0.19899999999999998,0.033,0.596,,,,,64.35,60367471.0,47.9,35220.084,3.18,0.892
59686,Italy,ITA,2020-02-27,10.85,3.346,0.282,0.083,0.9279999999999999,,,,,64.35,60367471.0,47.9,35220.084,3.18,0.892
