,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
60933,Japan,JPN,2020-01-22,0.016,,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60934,Japan,JPN,2020-01-23,0.016,0.0,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60935,Japan,JPN,2020-01-24,0.016,0.0,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60936,Japan,JPN,2020-01-25,0.016,0.0,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60937,Japan,JPN,2020-01-26,0.032,0.016,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60938,Japan,JPN,2020-01-27,0.032,0.0,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60939,Japan,JPN,2020-01-28,0.055999999999999994,0.024,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60940,Japan,JPN,2020-01-29,0.055999999999999994,0.0,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60941,Japan,JPN,2020-01-30,0.087,0.032,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60942,Japan,JPN,2020-01-31,0.11900000000000001,0.032,,,,,,,,2.78,126050796.0,48.2,39002.223,13.05,0.919
60943,Japan,JPN,2020-02-01,0.159,0.04,,,,,,,,8.33,126050796.0,48.2,39002.223,13.05,0.919
60944,Japan,JPN,2020-02-02,0.159,0.0,,,,,,,,8.33,126050796.0,48.2,39002.223,13.05,0.919
60945,Japan,JPN,2020-02-03,0.159,0.0,,,,,,,,8.33,126050796.0,48.2,39002.223,13.05,0.919
60946,Japan,JPN,2020-02-04,0.175,0.016,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60947,Japan,JPN,2020-02-05,0.182,0.008,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60948,Japan,JPN,2020-02-06,0.182,0.0,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60949,Japan,JPN,2020-02-07,0.182,0.0,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60950,Japan,JPN,2020-02-08,0.19,0.008,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60951,Japan,JPN,2020-02-09,0.19,0.0,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60952,Japan,JPN,2020-02-10,0.20600000000000002,0.016,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60953,Japan,JPN,2020-02-11,0.214,0.008,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60954,Japan,JPN,2020-02-12,0.222,0.008,,,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60955,Japan,JPN,2020-02-13,0.262,0.04,0.008,0.008,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60956,Japan,JPN,2020-02-14,0.341,0.079,0.008,0.0,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60957,Japan,JPN,2020-02-15,0.428,0.087,0.008,0.0,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60958,Japan,JPN,2020-02-16,0.47600000000000003,0.048,0.008,0.0,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60959,Japan,JPN,2020-02-17,0.532,0.055999999999999994,0.008,0.0,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60960,Japan,JPN,2020-02-18,0.627,0.095,0.016,0.008,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60961,Japan,JPN,2020-02-19,0.674,0.048,0.016,0.0,,,,,,19.44,126050796.0,48.2,39002.223,13.05,0.919
60962,Japan,JPN,2020-02-20,0.754,0.079,0.016,0.0,,,,,,25.0,126050796.0,48.2,39002.223,13.05,0.919
60963,Japan,JPN,2020-02-21,0.889,0.135,0.016,0.0,,,,,,25.0,126050796.0,48.2,39002.223,13.05,0.919
60964,Japan,JPN,2020-02-22,1.087,0.198,0.016,0.0,,,,,,25.0,126050796.0,48.2,39002.223,13.05,0.919
60965,Japan,JPN,2020-02-23,1.182,0.095,0.016,0.0,,,,,,25.0,126050796.0,48.2,39002.223,13.05,0.919
60966,Japan,JPN,2020-02-24,1.2690000000000001,0.087,0.016,0.0,,,,,,25.0,126050796.0,48.2,39002.223,13.05,0.919
60967,Japan,JPN,2020-02-25,1.3719999999999999,0.10300000000000001,0.024,0.008,,,,,,34.26,126050796.0,48.2,39002.223,13.05,0.919
60968,Japan,JPN,2020-02-26,1.5230000000000001,0.151,0.024,0.0,,,,,,34.26,126050796.0,48.2,39002.223,13.05,0.919
60969,Japan,JPN,2020-02-27,1.729,0.20600000000000002,0.032,0.008,,,,,,34.26,126050796.0,48.2,39002.223,13.05,0.919
60970,Japan,JPN,2020-02-28,1.8719999999999999,0.14300000000000002,0.04,0.008,,,,,,34.26,126050796.0,48.2,39002.223,13.05,0.919
60971,Japan,JPN,2020-02-29,1.944,0.071,0.048,0.008,,,,,,34.26,126050796.0,48.2,39002.223,13.05,0.919
60972,Japan,JPN,2020-03-01,2.055,0.111,0.048,0.0,,,,,,34.26,126050796.0,48.2,39002.223,13.05,0.919
60973,Japan,JPN,2020-03-02,2.205,0.151,0.048,0.0,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
60974,Japan,JPN,2020-03-03,2.364,0.159,0.048,0.0,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
60975,Japan,JPN,2020-03-04,2.642,0.278,0.055999999999999994,0.008,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
60976,Japan,JPN,2020-03-05,2.8960000000000004,0.254,0.055999999999999994,0.0,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
60977,Japan,JPN,2020-03-06,3.332,0.436,0.055999999999999994,0.0,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
60978,Japan,JPN,2020-03-07,3.697,0.365,0.055999999999999994,0.0,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
60979,Japan,JPN,2020-03-08,3.9589999999999996,0.262,0.063,0.008,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
60980,Japan,JPN,2020-03-09,4.181,0.222,0.079,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60981,Japan,JPN,2020-03-10,4.641,0.46,0.10300000000000001,0.024,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60982,Japan,JPN,2020-03-11,5.077,0.436,0.11900000000000001,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60983,Japan,JPN,2020-03-12,5.522,0.444,0.151,0.032,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60984,Japan,JPN,2020-03-13,5.815,0.294,0.16699999999999998,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60985,Japan,JPN,2020-03-14,6.307,0.49200000000000005,0.175,0.008,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60986,Japan,JPN,2020-03-15,6.553,0.24600000000000002,0.19,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60987,Japan,JPN,2020-03-16,6.688,0.135,0.23800000000000002,0.048,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60988,Japan,JPN,2020-03-17,7.084,0.397,0.23800000000000002,0.0,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60989,Japan,JPN,2020-03-18,7.362,0.278,0.254,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60990,Japan,JPN,2020-03-19,7.678999999999999,0.317,0.262,0.008,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60991,Japan,JPN,2020-03-20,8.107999999999999,0.428,0.27,0.008,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60992,Japan,JPN,2020-03-21,8.401,0.294,0.28600000000000003,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60993,Japan,JPN,2020-03-22,8.758,0.35700000000000004,0.317,0.032,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60994,Japan,JPN,2020-03-23,9.076,0.317,0.325,0.008,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60995,Japan,JPN,2020-03-24,9.655,0.579,0.33299999999999996,0.008,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60996,Japan,JPN,2020-03-25,10.424000000000001,0.77,0.35700000000000004,0.024,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60997,Japan,JPN,2020-03-26,11.234000000000002,0.809,0.373,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60998,Japan,JPN,2020-03-27,12.138,0.904,0.42,0.048,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
60999,Japan,JPN,2020-03-28,13.709000000000001,1.571,0.444,0.024,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
61000,Japan,JPN,2020-03-29,15.129000000000001,1.42,0.5,0.055999999999999994,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
61001,Japan,JPN,2020-03-30,15.875,0.746,0.516,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
61002,Japan,JPN,2020-03-31,17.89,2.015,0.532,0.016,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
61003,Japan,JPN,2020-04-01,20.111,2.221,0.5710000000000001,0.04,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
61004,Japan,JPN,2020-04-02,22.355999999999998,2.245,0.595,0.024,,,,,,40.74,126050796.0,48.2,39002.223,13.05,0.919
61005,Japan,JPN,2020-04-03,25.022,2.6660000000000004,0.643,0.048,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
61006,Japan,JPN,2020-04-04,27.965,2.943,0.69,0.048,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
61007,Japan,JPN,2020-04-05,30.75,2.785,0.738,0.048,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
61008,Japan,JPN,2020-04-06,32.606,1.8559999999999999,0.762,0.024,,,,,,43.52,126050796.0,48.2,39002.223,13.05,0.919
61009,Japan,JPN,2020-04-07,35.580999999999996,2.975,0.777,0.016,,,,,,45.37,126050796.0,48.2,39002.223,13.05,0.919
61010,Japan,JPN,2020-04-08,39.825,4.244,0.833,0.055999999999999994,,,,,,45.37,126050796.0,48.2,39002.223,13.05,0.919
61011,Japan,JPN,2020-04-09,44.538000000000004,4.712,0.8959999999999999,0.063,,,,,,45.37,126050796.0,48.2,39002.223,13.05,0.919
61012,Japan,JPN,2020-04-10,49.583,5.046,0.992,0.095,,,,,,45.37,126050796.0,48.2,39002.223,13.05,0.919
61013,Japan,JPN,2020-04-11,55.144,5.561,1.095,0.10300000000000001,,,,,,45.37,126050796.0,48.2,39002.223,13.05,0.919
61014,Japan,JPN,2020-04-12,59.286,4.141,1.166,0.071,,,,,,45.37,126050796.0,48.2,39002.223,13.05,0.919
