,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
63081,Kenya,KEN,2020-03-06,,,,,,,,,,13.89,54985702.0,20.0,2993.028,1.4,0.601
63082,Kenya,KEN,2020-03-07,,,,,,,,,,13.89,54985702.0,20.0,2993.028,1.4,0.601
63083,Kenya,KEN,2020-03-08,,,,,,,,,,13.89,54985702.0,20.0,2993.028,1.4,0.601
63084,Kenya,KEN,2020-03-09,,,,,,,,,,13.89,54985702.0,20.0,2993.028,1.4,0.601
63085,Kenya,KEN,2020-03-10,,,,,,,,,,13.89,54985702.0,20.0,2993.028,1.4,0.601
63086,Kenya,KEN,2020-03-11,,,,,,,,,,13.89,54985702.0,20.0,2993.028,1.4,0.601
63087,Kenya,KEN,2020-03-12,,,,,,,,,,13.89,54985702.0,20.0,2993.028,1.4,0.601
63088,Kenya,KEN,2020-03-13,0.018000000000000002,0.018000000000000002,,,,,,,,36.11,54985702.0,20.0,2993.028,1.4,0.601
63089,Kenya,KEN,2020-03-14,0.018000000000000002,0.0,,,,,,,,36.11,54985702.0,20.0,2993.028,1.4,0.601
63090,Kenya,KEN,2020-03-15,0.055,0.036000000000000004,,,,,,,,50.93,54985702.0,20.0,2993.028,1.4,0.601
63091,Kenya,KEN,2020-03-16,0.055,0.0,,,,,,,,50.93,54985702.0,20.0,2993.028,1.4,0.601
63092,Kenya,KEN,2020-03-17,0.055,0.0,,,,,,,,59.26,54985702.0,20.0,2993.028,1.4,0.601
63093,Kenya,KEN,2020-03-18,0.055,0.0,,,,,,,,59.26,54985702.0,20.0,2993.028,1.4,0.601
63094,Kenya,KEN,2020-03-19,0.127,0.073,,,,,,,,59.26,54985702.0,20.0,2993.028,1.4,0.601
63095,Kenya,KEN,2020-03-20,0.127,0.0,,,,,,,,68.52,54985702.0,20.0,2993.028,1.4,0.601
63096,Kenya,KEN,2020-03-21,0.127,0.0,,,,,,,,68.52,54985702.0,20.0,2993.028,1.4,0.601
63097,Kenya,KEN,2020-03-22,0.273,0.145,,,,,,,,68.52,54985702.0,20.0,2993.028,1.4,0.601
63098,Kenya,KEN,2020-03-23,0.29100000000000004,0.018000000000000002,,,,,,,,68.52,54985702.0,20.0,2993.028,1.4,0.601
63099,Kenya,KEN,2020-03-24,0.455,0.16399999999999998,,,,,,,,72.22,54985702.0,20.0,2993.028,1.4,0.601
63100,Kenya,KEN,2020-03-25,0.509,0.055,,,,,,,,72.22,54985702.0,20.0,2993.028,1.4,0.601
63101,Kenya,KEN,2020-03-26,0.564,0.055,0.018000000000000002,0.018000000000000002,,,,,,72.22,54985702.0,20.0,2993.028,1.4,0.601
63102,Kenya,KEN,2020-03-27,0.564,0.0,0.018000000000000002,0.0,,,,,,87.04,54985702.0,20.0,2993.028,1.4,0.601
63103,Kenya,KEN,2020-03-28,0.691,0.127,0.018000000000000002,0.0,,,,,,87.04,54985702.0,20.0,2993.028,1.4,0.601
63104,Kenya,KEN,2020-03-29,0.764,0.073,0.018000000000000002,0.0,,,,,,87.04,54985702.0,20.0,2993.028,1.4,0.601
63105,Kenya,KEN,2020-03-30,0.909,0.145,0.018000000000000002,0.0,,,,,,87.04,54985702.0,20.0,2993.028,1.4,0.601
