,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
65134,Kyrgyzstan,KGZ,2020-03-18,0.45299999999999996,0.45299999999999996,,,,,,,,63.89,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65135,Kyrgyzstan,KGZ,2020-03-19,0.45299999999999996,0.0,,,,,,,,63.89,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65136,Kyrgyzstan,KGZ,2020-03-20,0.905,0.45299999999999996,,,,,,,,63.89,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65137,Kyrgyzstan,KGZ,2020-03-21,2.112,1.207,,,,,,,,63.89,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65138,Kyrgyzstan,KGZ,2020-03-22,2.112,0.0,,,,,,,,69.44,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65139,Kyrgyzstan,KGZ,2020-03-23,2.414,0.302,,,,,,,,69.44,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65140,Kyrgyzstan,KGZ,2020-03-24,6.336,3.923,,,,,,,,69.44,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65141,Kyrgyzstan,KGZ,2020-03-25,6.638,0.302,,,,,,,,92.13,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65142,Kyrgyzstan,KGZ,2020-03-26,6.638,0.0,,,,,,,,92.13,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65143,Kyrgyzstan,KGZ,2020-03-27,8.75,2.112,,,,,,,,92.13,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65144,Kyrgyzstan,KGZ,2020-03-28,8.75,0.0,,,,,,,,92.13,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65145,Kyrgyzstan,KGZ,2020-03-29,12.673,3.923,,,,,,,,92.13,6628347.0,26.3,3393.474,4.5,0.6970000000000001
65146,Kyrgyzstan,KGZ,2020-03-30,14.182,1.5090000000000001,,,,,,,,92.13,6628347.0,26.3,3393.474,4.5,0.6970000000000001
